Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
04-26_730_measured_optical_power_vs_acquisition_duration.jpg;04-26_730_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
15.921200000000002;13.33079350218275;37.67;-0.001;236.6090495691279;-0.005309405612030638

Result table values
power_instruction;730_power;730_error
0.0;-1.0;-0.1
1.0;561.0;56.1
2.0;1326.0;132.6
5.0;2425.0;242.5
10.0;4425.0;442.5
20.0;8323.0;832.3
30.0;12455.0;1245.5
40.0;15575.0;1557.5
50.0;19525.0;1952.5
60.0;22911.0;2291.1
70.0;26573.0;2657.3
80.0;30691.0;3069.1
90.0;34418.0;3441.8
100.0;37476.0;3747.6
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;0.05480000000000001;0.548
6.0;0.0564;0.564
7.0;0.05610000000000001;0.561
8.0;0.05620000000000001;0.562
9.0;0.056799999999999996;0.568
10.0;0.0564;0.564
11.0;0.056499999999999995;0.565
12.0;0.1322;1.322
13.0;0.13260000000000002;1.326
14.0;0.1257;1.257
15.0;0.12050000000000001;1.205
16.0;0.1886;1.886
17.0;0.2425;2.425
18.0;0.2398;2.398
19.0;0.23650000000000004;2.365
20.0;0.2379;2.379
21.0;0.339;3.39
22.0;0.4422;4.422
23.0;0.4425;4.425
24.0;0.44630000000000003;4.463
25.0;0.44630000000000003;4.463
26.0;0.7174;7.174
27.0;0.8323;8.323
28.0;0.8375;8.375
29.0;0.8435000000000001;8.435
30.0;0.8386;8.386
31.0;0.8272;8.272
32.0;1.1812;11.812
33.0;1.2455;12.455
34.0;1.2550000000000001;12.55
35.0;1.2177;12.177
36.0;1.3615000000000002;13.615
37.0;1.562;15.62
38.0;1.5575;15.575
39.0;1.5590000000000002;15.59
40.0;1.5883;15.883
41.0;1.6529;16.529
42.0;1.9428;19.428
43.0;1.9525;19.525
44.0;1.9224;19.224
45.0;1.8840000000000001;18.84
46.0;1.9738;19.738
47.0;2.2975000000000003;22.975
48.0;2.2911;22.911
49.0;2.2792000000000003;22.792
50.0;2.2947;22.947
51.0;2.2978;22.978
52.0;2.6334;26.334
53.0;2.6573;26.573
54.0;2.5938;25.938
55.0;2.6441;26.441
56.0;2.7892;27.892
57.0;3.0820000000000003;30.82
58.0;3.0881000000000003;30.881
59.0;3.0691;30.691
60.0;3.0792;30.792
61.0;3.0757000000000003;30.757
62.0;3.0837000000000003;30.837
63.0;3.4345999999999997;34.346
64.0;3.4418;34.418
65.0;3.4452;34.452
66.0;3.4171;34.171
67.0;3.4537;34.537
68.0;3.6536000000000004;36.536
69.0;3.7402;37.402
70.0;3.7476000000000003;37.476
71.0;3.6901000000000006;36.901
72.0;3.7394;37.394
73.0;3.7670000000000003;37.67
74.0;3.7049000000000003;37.049
