Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
05-26_785_measured_optical_power_vs_acquisition_duration.jpg;05-26_785_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
7.064640625;5.669605887446207;16.125;-0.0;228.24940228293636;0.0

Result table values
power_instruction;785_power;785_error
0.0;-0.0;-0.0
1.0;201.0;20.1
2.0;299.0;29.9
5.0;929.0;92.9
10.0;1847.0;184.7
20.0;3335.0;333.5
30.0;4957.0;495.7
40.0;6977.0;697.7
50.0;8570.0;857.0
60.0;10311.0;1031.1
70.0;11521.0;1152.1
80.0;13132.0;1313.2
90.0;14499.0;1449.9
100.0;16053.0;1605.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;0.0;0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.009600000000000001;0.096
5.0;0.020200000000000003;0.202
6.0;0.020200000000000003;0.202
7.0;0.020100000000000003;0.201
8.0;0.020200000000000003;0.202
9.0;0.020200000000000003;0.202
10.0;0.021400000000000002;0.214
11.0;0.031100000000000003;0.311
12.0;0.0299;0.299
13.0;0.0296;0.296
14.0;0.0297;0.297
15.0;0.09090000000000001;0.909
16.0;0.09290000000000001;0.929
17.0;0.09290000000000001;0.929
18.0;0.09280000000000001;0.928
19.0;0.1847;1.847
20.0;0.18730000000000002;1.873
21.0;0.1864;1.864
22.0;0.3335;3.335
23.0;0.36850000000000005;3.685
24.0;0.3691;3.691
25.0;0.49570000000000003;4.957
26.0;0.5555;5.555
27.0;0.5558;5.558
28.0;0.6431;6.431
29.0;0.6977000000000001;6.977
30.0;0.6990000000000001;6.99
31.0;0.7439;7.439
32.0;0.8570000000000001;8.57
33.0;0.8560000000000001;8.56
34.0;0.8599000000000001;8.599
35.0;0.8601000000000001;8.601
36.0;1.0112;10.112
37.0;1.0259;10.259
38.0;1.026;10.26
39.0;1.0261;10.261
40.0;1.0294;10.294
41.0;1.0297;10.297
42.0;1.0311000000000001;10.311
43.0;1.0321;10.321
44.0;1.0295;10.295
45.0;1.0304;10.304
46.0;1.0487;10.487
47.0;1.1521000000000001;11.521
48.0;1.1560000000000001;11.56
49.0;1.1986;11.986
50.0;1.3132000000000001;13.132
51.0;1.3157;13.157
52.0;1.3174000000000001;13.174
53.0;1.3125;13.125
54.0;1.3142;13.142
55.0;1.4499000000000002;14.499
56.0;1.4513;14.513
57.0;1.4507;14.507
58.0;1.4492000000000003;14.492
59.0;1.51;15.1
60.0;1.6125;16.125
61.0;1.6072;16.072
62.0;1.6053000000000002;16.053
63.0;1.6029;16.029
