Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
18.33521649484536;13.45092266830857;40.435;-0.001;220.53734686671362;-0.004946332294597511

Result table values
power_instruction;561_power;561_error
0.0;-0.0;-0.0
2.0;969.0;96.9
5.0;2511.0;251.1
10.0;5583.0;558.3
20.0;12248.0;1224.8
30.0;16424.0;1642.4
40.0;20185.0;2018.5
50.0;24116.0;2411.6
60.0;27149.0;2714.9
70.0;30611.0;3061.1
80.0;34683.0;3468.3
90.0;37920.0;3792.0
100.0;40435.0;4043.5
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-1.0E-4;-0.001
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;0.009500000000000001;0.095
9.0;0.0963;0.963
10.0;0.09570000000000001;0.957
11.0;0.0973;0.973
12.0;0.0952;0.952
13.0;0.0955;0.955
14.0;0.2177;2.177
15.0;0.2484;2.484
16.0;0.2505;2.505
17.0;0.24550000000000002;2.455
18.0;0.25070000000000003;2.507
19.0;0.2499;2.499
20.0;0.2469;2.469
21.0;0.2459;2.459
22.0;0.2477;2.477
23.0;0.4292;4.292
24.0;0.5545;5.545
25.0;0.5559999999999999;5.56
26.0;0.5541;5.541
27.0;0.5558;5.558
28.0;0.5479;5.479
29.0;0.5516;5.516
30.0;0.5572;5.572
31.0;1.1725;11.725
32.0;1.2222;12.222
33.0;1.2233;12.233
34.0;1.2300000000000002;12.3
35.0;1.2215;12.215
36.0;1.2167000000000001;12.167
37.0;1.2269;12.269
38.0;1.3833000000000002;13.833
39.0;1.6467;16.467
40.0;1.6495000000000002;16.495
41.0;1.6424;16.424
42.0;1.6424;16.424
43.0;1.6298;16.298
44.0;1.6389;16.389
45.0;1.6458;16.458
46.0;2.027;20.27
47.0;2.0274;20.274
48.0;2.0185;20.185
49.0;2.0183;20.183
50.0;2.0049;20.049
51.0;2.0029;20.029
52.0;2.0071000000000003;20.071
53.0;2.008;20.08
54.0;2.0054;20.054
55.0;2.0050000000000003;20.05
56.0;2.2801;22.801
57.0;2.4306;24.306
58.0;2.4127;24.127
59.0;2.4116;24.116
60.0;2.4073;24.073
61.0;2.4120000000000004;24.12
62.0;2.4073;24.073
63.0;2.4063;24.063
64.0;2.4038000000000004;24.038
65.0;2.6568000000000005;26.568
66.0;2.7163000000000004;27.163
67.0;2.7163000000000004;27.163
68.0;2.7149;27.149
69.0;2.7099;27.099
70.0;2.7007000000000003;27.007
71.0;2.6952000000000003;26.952
72.0;3.0817;30.817
73.0;3.065;30.65
74.0;3.0601000000000003;30.601
75.0;3.0570000000000004;30.57
76.0;3.0615;30.615
77.0;3.0624000000000002;30.624
78.0;3.0616000000000003;30.616
79.0;3.4911000000000003;34.911
80.0;3.4746000000000006;34.746
81.0;3.4673000000000003;34.673
82.0;3.4579000000000004;34.579
83.0;3.4588;34.588
84.0;3.4596;34.596
85.0;3.6616999999999997;36.617
86.0;3.8354999999999997;38.355
87.0;3.8129;38.129
88.0;3.7920000000000003;37.92
89.0;3.7769;37.769
90.0;3.7666;37.666
91.0;3.7644;37.644
92.0;4.0315;40.315
93.0;4.0342;40.342
94.0;4.0348999999999995;40.349
95.0;4.043500000000001;40.435
96.0;4.0417000000000005;40.417
