Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.9345038167938932;0.9146364310550011;2.477;0.0;265.0604476392746;0.0

Result table values
power_instruction;785_power;785_error
0.0;-0.0;-0.0
1.0;43.0;4.3
2.0;64.0;6.4
5.0;178.0;17.8
10.0;367.0;36.7
20.0;733.0;73.3
30.0;946.0;94.6
40.0;1334.0;133.4
50.0;1552.0;155.2
60.0;1857.0;185.7
70.0;2017.0;201.7
80.0;2181.0;218.1
90.0;2355.0;235.5
100.0;2464.0;246.4
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;-0.0;-0.0
25.0;-0.0;-0.0
26.0;0.0;0.0
27.0;0.0028000000000000004;0.028
28.0;0.0043;0.043
29.0;0.0043;0.043
30.0;0.0043;0.043
31.0;0.0043;0.043
32.0;0.0043;0.043
33.0;0.0043;0.043
34.0;0.0043;0.043
35.0;0.0043;0.043
36.0;0.0043;0.043
37.0;0.0043;0.043
38.0;0.0052;0.052
39.0;0.006700000000000001;0.067
40.0;0.006500000000000001;0.065
41.0;0.0064;0.064
42.0;0.0064;0.064
43.0;0.0063;0.063
44.0;0.0063;0.063
45.0;0.013500000000000002;0.135
46.0;0.0179;0.179
47.0;0.0178;0.178
48.0;0.0177;0.177
49.0;0.0178;0.178
50.0;0.0178;0.178
51.0;0.0177;0.177
52.0;0.0176;0.176
53.0;0.0183;0.183
54.0;0.0366;0.366
55.0;0.0367;0.367
56.0;0.0368;0.368
57.0;0.0366;0.366
58.0;0.0368;0.368
59.0;0.0367;0.367
60.0;0.0729;0.729
61.0;0.0732;0.732
62.0;0.0733;0.733
63.0;0.0732;0.732
64.0;0.0732;0.732
65.0;0.0729;0.729
66.0;0.0729;0.729
67.0;0.0728;0.728
68.0;0.0728;0.728
69.0;0.0728;0.728
70.0;0.073;0.73
71.0;0.0728;0.728
72.0;0.073;0.73
73.0;0.0946;0.946
74.0;0.1068;1.068
75.0;0.1068;1.068
76.0;0.10720000000000002;1.072
77.0;0.1068;1.068
78.0;0.12270000000000002;1.227
79.0;0.1338;1.338
80.0;0.1337;1.337
81.0;0.1338;1.338
82.0;0.13360000000000002;1.336
83.0;0.13340000000000002;1.334
84.0;0.1335;1.335
85.0;0.1338;1.338
86.0;0.1335;1.335
87.0;0.1331;1.331
88.0;0.1494;1.494
89.0;0.1557;1.557
90.0;0.1552;1.552
91.0;0.1555;1.555
92.0;0.1559;1.559
93.0;0.1565;1.565
94.0;0.1805;1.805
95.0;0.18580000000000002;1.858
96.0;0.18580000000000002;1.858
97.0;0.1857;1.857
98.0;0.1854;1.854
99.0;0.18530000000000002;1.853
100.0;0.18680000000000002;1.868
101.0;0.2026;2.026
102.0;0.20179999999999998;2.018
103.0;0.2017;2.017
104.0;0.20110000000000003;2.011
105.0;0.2015;2.015
106.0;0.2025;2.025
107.0;0.2191;2.191
108.0;0.21930000000000002;2.193
109.0;0.2187;2.187
110.0;0.21810000000000002;2.181
111.0;0.2182;2.182
112.0;0.21810000000000002;2.181
113.0;0.21840000000000004;2.184
114.0;0.21789999999999998;2.179
115.0;0.2174;2.174
116.0;0.22890000000000002;2.289
117.0;0.23670000000000002;2.367
118.0;0.23620000000000002;2.362
119.0;0.2356;2.356
120.0;0.23550000000000001;2.355
121.0;0.23550000000000001;2.355
122.0;0.23550000000000001;2.355
123.0;0.2358;2.358
124.0;0.23500000000000001;2.35
125.0;0.23540000000000003;2.354
126.0;0.24280000000000002;2.428
127.0;0.2477;2.477
128.0;0.24660000000000004;2.466
129.0;0.2464;2.464
130.0;0.24670000000000003;2.467
