Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
01-26_405_measured_optical_power_vs_acquisition_duration.jpg;01-26_405_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
39.244084112149544;30.791180771485614;88.989;0.001;226.75519639009812;0.0022474435329877807

Result table values
power_instruction;405_power;405_error
0.0;2.0;0.2
1.0;882.0;88.2
2.0;2239.0;223.9
5.0;4184.0;418.4
10.0;7922.0;792.2
20.0;16555.0;1655.5
30.0;25533.0;2553.3
40.0;34587.0;3458.7
50.0;42907.0;4290.7
60.0;51507.0;5150.7
70.0;60715.0;6071.5
80.0;69646.0;6964.6
90.0;78550.0;7855.0
100.0;87676.0;8767.6
time;measured_optical_power_error;measured_optical_power_average
0.0;4.0E-4;0.004
1.0;2.0E-4;0.002
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;1.0E-4;0.001
6.0;0.0752;0.752
7.0;0.08810000000000001;0.881
8.0;0.0882;0.882
9.0;0.0882;0.882
10.0;0.08800000000000001;0.88
11.0;0.08800000000000001;0.88
12.0;0.11220000000000002;1.122
13.0;0.2663;2.663
14.0;0.23530000000000004;2.353
15.0;0.2239;2.239
16.0;0.2162;2.162
17.0;0.21070000000000003;2.107
18.0;0.20579999999999998;2.058
19.0;0.39670000000000005;3.967
20.0;0.4212;4.212
21.0;0.41840000000000005;4.184
22.0;0.41550000000000004;4.155
23.0;0.41340000000000005;4.134
24.0;0.41180000000000005;4.118
25.0;0.6645;6.645
26.0;0.7955000000000001;7.955
27.0;0.7943;7.943
28.0;0.7922;7.922
29.0;0.7905000000000001;7.905
30.0;0.7889;7.889
31.0;0.7876000000000001;7.876
32.0;1.3381;13.381
33.0;1.6620000000000001;16.62
34.0;1.658;16.58
35.0;1.6555;16.555
36.0;1.6528;16.528
37.0;1.6522;16.522
38.0;1.6510000000000002;16.51
39.0;1.7497;17.497
40.0;2.5593000000000004;25.593
41.0;2.5533;25.533
42.0;2.5500000000000003;25.5
43.0;2.5487;25.487
44.0;2.5463000000000005;25.463
45.0;3.3762000000000003;33.762
46.0;3.4612000000000003;34.612
47.0;3.4593000000000007;34.593
48.0;3.4587000000000003;34.587
49.0;3.4563000000000006;34.563
50.0;3.4557;34.557
51.0;3.4556;34.556
52.0;3.4525;34.525
53.0;3.4495;34.495
54.0;4.0391;40.391
55.0;4.2931;42.931
56.0;4.2907;42.907
57.0;4.2866;42.866
58.0;4.287;42.87
59.0;4.924900000000001;49.249
60.0;8.898900000000001;88.989
61.0;8.8473;88.473
62.0;6.4636;64.636
63.0;5.1352;51.352
64.0;5.147600000000001;51.476
65.0;5.1507000000000005;51.507
66.0;5.1530000000000005;51.53
67.0;5.150600000000001;51.506
68.0;5.1501;51.501
69.0;5.1519;51.519
70.0;5.5308;55.308
71.0;6.0784;60.784
72.0;6.0702;60.702
73.0;6.0715;60.715
74.0;6.066700000000001;60.667
75.0;6.0677;60.677
76.0;6.0692;60.692
77.0;6.0665000000000004;60.665
78.0;6.065;60.65
79.0;6.065200000000001;60.652
80.0;6.0619000000000005;60.619
81.0;6.7723;67.723
82.0;6.9712000000000005;69.712
83.0;6.967600000000001;69.676
84.0;6.964600000000001;69.646
85.0;6.9622;69.622
86.0;6.9588;69.588
87.0;6.9542;69.542
88.0;6.9529;69.529
89.0;6.956;69.56
90.0;7.4944999999999995;74.945
91.0;7.8589;78.589
92.0;7.855;78.55
93.0;7.8484;78.484
94.0;7.8464;78.464
95.0;7.842400000000001;78.424
96.0;7.866;78.66
97.0;8.7886;87.886
98.0;8.7742;87.742
99.0;8.7678;87.678
100.0;8.7676;87.676
101.0;8.767100000000001;87.671
102.0;8.7635;87.635
103.0;8.763200000000001;87.632
104.0;8.7614;87.614
105.0;8.7564;87.564
106.0;4.6676;46.676
