Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
03-26_785_measured_optical_power_vs_acquisition_duration.jpg;03-26_785_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
7.229936170212765;5.929466318659001;17.418;-0.001;240.92882136036047;-0.011483033817549781

Result table values
power_instruction;785_power;785_error
0.0;-1.0;-0.1
1.0;212.0;21.2
2.0;408.0;40.8
5.0;1033.0;103.3
10.0;2044.0;204.4
20.0;4062.0;406.2
30.0;6007.0;600.7
40.0;7737.0;773.7
50.0;9541.0;954.1
60.0;11115.0;1111.5
70.0;12857.0;1285.7
80.0;14519.0;1451.9
90.0;15775.0;1577.5
100.0;17313.0;1731.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-0.0;-0.0
2.0;-1.0E-4;-0.001
3.0;-0.0;-0.0
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;0.017;0.17
7.0;0.0212;0.212
8.0;0.0212;0.212
9.0;0.0212;0.212
10.0;0.0212;0.212
11.0;0.0212;0.212
12.0;0.0407;0.407
13.0;0.0408;0.408
14.0;0.040400000000000005;0.404
15.0;0.04000000000000001;0.4
16.0;0.0396;0.396
17.0;0.046700000000000005;0.467
18.0;0.1031;1.031
19.0;0.10320000000000001;1.032
20.0;0.1033;1.033
21.0;0.1033;1.033
22.0;0.10320000000000001;1.032
23.0;0.1033;1.033
24.0;0.1391;1.391
25.0;0.2041;2.041
26.0;0.20430000000000004;2.043
27.0;0.20440000000000003;2.044
28.0;0.2049;2.049
29.0;0.205;2.05
30.0;0.20510000000000003;2.051
31.0;0.3175;3.175
32.0;0.4051;4.051
33.0;0.4052;4.052
34.0;0.40540000000000004;4.054
35.0;0.4047;4.047
36.0;0.40620000000000006;4.062
37.0;0.40620000000000006;4.062
38.0;0.40330000000000005;4.033
39.0;0.40480000000000005;4.048
40.0;0.5894;5.894
41.0;0.5982999999999999;5.983
42.0;0.6000000000000001;6.0
43.0;0.6007;6.007
44.0;0.6015;6.015
45.0;0.601;6.01
46.0;0.6011000000000001;6.011
47.0;0.6000000000000001;6.0
48.0;0.7674000000000001;7.674
49.0;0.7737;7.737
50.0;0.7725;7.725
51.0;0.7736000000000001;7.736
52.0;0.7738;7.738
53.0;0.7733;7.733
54.0;0.7761;7.761
55.0;0.7761;7.761
56.0;0.7767000000000001;7.767
57.0;0.7794;7.794
58.0;0.9556;9.556
59.0;0.9541000000000001;9.541
60.0;0.9547000000000001;9.547
61.0;0.9542;9.542
62.0;0.9521000000000002;9.521
63.0;1.0408;10.408
64.0;1.1078;11.078
65.0;1.1115000000000002;11.115
66.0;1.108;11.08
67.0;1.1109;11.109
68.0;1.1287;11.287
69.0;1.2916;12.916
70.0;1.2871000000000001;12.871
71.0;1.2857;12.857
72.0;1.2798;12.798
73.0;1.2814;12.814
74.0;1.2994;12.994
75.0;1.445;14.45
76.0;1.4519000000000002;14.519
77.0;1.4529;14.529
78.0;1.4511;14.511
79.0;1.4645000000000001;14.645
80.0;1.5738;15.738
81.0;1.5775000000000001;15.775
82.0;1.5706;15.706
83.0;1.5698;15.698
84.0;1.5673000000000001;15.673
85.0;1.5716;15.716
86.0;1.5758;15.758
87.0;1.7418;17.418
88.0;1.7373000000000003;17.373
89.0;1.7313;17.313
90.0;1.7309999999999999;17.31
91.0;1.7324000000000002;17.324
92.0;1.7307;17.307
93.0;1.7316;17.316
