Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
5.588087248322149;5.494273835500348;17.09;-0.002;305.8649452034228;-0.023408239700350997

Result table values
power_instruction;405_power;405_error
0.0;-1.0;-0.1
1.0;157.0;15.7
2.0;375.0;37.5
5.0;748.0;74.8
10.0;1463.0;146.3
20.0;3153.0;315.3
30.0;4900.0;490.0
40.0;6674.0;667.4
50.0;8284.0;828.4
60.0;9989.0;998.9
70.0;11760.0;1176.0
80.0;13479.0;1347.9
90.0;15226.0;1522.6
100.0;17047.0;1704.7
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-2.0E-4;-0.002
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;-1.0E-4;-0.001
11.0;-1.0E-4;-0.001
12.0;-1.0E-4;-0.001
13.0;-1.0E-4;-0.001
14.0;-1.0E-4;-0.001
15.0;-1.0E-4;-0.001
16.0;-1.0E-4;-0.001
17.0;-1.0E-4;-0.001
18.0;-1.0E-4;-0.001
19.0;-1.0E-4;-0.001
20.0;-1.0E-4;-0.001
21.0;0.0087;0.087
22.0;0.015700000000000002;0.157
23.0;0.0158;0.158
24.0;0.0158;0.158
25.0;0.015700000000000002;0.157
26.0;0.0158;0.158
27.0;0.015700000000000002;0.157
28.0;0.015700000000000002;0.157
29.0;0.0158;0.158
30.0;0.046700000000000005;0.467
31.0;0.039400000000000004;0.394
32.0;0.037500000000000006;0.375
33.0;0.0362;0.362
34.0;0.0351;0.351
35.0;0.034300000000000004;0.343
36.0;0.044700000000000004;0.447
37.0;0.07600000000000001;0.76
38.0;0.07540000000000001;0.754
39.0;0.0748;0.748
40.0;0.0745;0.745
41.0;0.0743;0.743
42.0;0.07390000000000001;0.739
43.0;0.0737;0.737
44.0;0.0734;0.734
45.0;0.0734;0.734
46.0;0.1442;1.442
47.0;0.1471;1.471
48.0;0.1469;1.469
49.0;0.1466;1.466
50.0;0.1464;1.464
51.0;0.1463;1.463
52.0;0.1461;1.461
53.0;0.146;1.46
54.0;0.1458;1.458
55.0;0.14570000000000002;1.457
56.0;0.1456;1.456
57.0;0.14550000000000002;1.455
58.0;0.1454;1.454
59.0;0.2599;2.599
60.0;0.3166;3.166
61.0;0.3163;3.163
62.0;0.3159;3.159
63.0;0.3158;3.158
64.0;0.31570000000000004;3.157
65.0;0.3155;3.155
66.0;0.3155;3.155
67.0;0.3153;3.153
68.0;0.31520000000000004;3.152
69.0;0.3153;3.153
70.0;0.3151;3.151
71.0;0.3151;3.151
72.0;0.3149;3.149
73.0;0.315;3.15
74.0;0.315;3.15
75.0;0.3149;3.149
76.0;0.3148;3.148
77.0;0.3148;3.148
78.0;0.3149;3.149
79.0;0.42990000000000006;4.299
80.0;0.4911;4.911
81.0;0.4904;4.904
82.0;0.49000000000000005;4.9
83.0;0.4898;4.898
84.0;0.4898;4.898
85.0;0.48940000000000006;4.894
86.0;0.48940000000000006;4.894
87.0;0.4893;4.893
88.0;0.5165000000000001;5.165
89.0;0.6688000000000001;6.688
90.0;0.6675;6.675
91.0;0.6674000000000001;6.674
92.0;0.6667000000000001;6.667
93.0;0.6667000000000001;6.667
94.0;0.6665000000000001;6.665
95.0;0.6663000000000001;6.663
96.0;0.6661;6.661
97.0;0.6662;6.662
98.0;0.7197;7.197
99.0;0.8302;8.302
100.0;0.8295;8.295
101.0;0.8284000000000001;8.284
102.0;0.8284000000000001;8.284
103.0;0.8282;8.282
104.0;0.8279000000000001;8.279
105.0;0.828;8.28
106.0;0.8276;8.276
107.0;1.0002000000000002;10.002
108.0;0.9999000000000001;9.999
109.0;0.9989000000000001;9.989
110.0;0.9990000000000001;9.99
111.0;0.9984000000000001;9.984
112.0;0.9979;9.979
113.0;0.9982;9.982
114.0;1.0553000000000001;10.553
115.0;1.1773;11.773
116.0;1.176;11.76
117.0;1.1749;11.749
118.0;1.1746;11.746
119.0;1.1738;11.738
120.0;1.1740000000000002;11.74
121.0;1.1733;11.733
122.0;1.3119;13.119
123.0;1.3512000000000002;13.512
124.0;1.3502;13.502
125.0;1.3492000000000002;13.492
126.0;1.3494000000000002;13.494
127.0;1.3485;13.485
128.0;1.3484;13.484
129.0;1.3486000000000002;13.486
130.0;1.3479;13.479
131.0;1.3479;13.479
132.0;1.3477000000000001;13.477
133.0;1.3475000000000001;13.475
134.0;1.3474000000000002;13.474
135.0;1.3470000000000002;13.47
136.0;1.5132;15.132
137.0;1.5248;15.248
138.0;1.5236;15.236
139.0;1.5226000000000002;15.226
140.0;1.5223000000000002;15.223
141.0;1.5222;15.222
142.0;1.5217;15.217
143.0;1.5264;15.264
144.0;1.709;17.09
145.0;1.7065000000000001;17.065
146.0;1.7057;17.057
147.0;1.7047;17.047
148.0;1.7047999999999999;17.048
