Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
29.322816326530617;34.355852878569074;93.508;0.0;318.89160631339524;0.0

Result table values
power_instruction;488_power;488_error
0.0;0.0;0.0
1.0;2807.0;280.7
2.0;6356.0;635.6
5.0;18245.0;1824.5
10.0;36989.0;3698.9
20.0;74881.0;7488.1
25.0;93270.0;9327.0
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;1.0E-4;0.001
2.0;0.0;0.0
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;0.0;0.0
6.0;0.0636;0.636
7.0;0.2808;2.808
8.0;0.2811;2.811
9.0;0.2812;2.812
10.0;0.282;2.82
11.0;0.2807;2.807
12.0;0.2811;2.811
13.0;0.2808;2.808
14.0;0.46040000000000003;4.604
15.0;0.6472000000000001;6.472
16.0;0.6356;6.356
17.0;0.6258;6.258
18.0;0.6178;6.178
19.0;0.6178;6.178
20.0;1.8332000000000002;18.332
21.0;1.8324000000000003;18.324
22.0;1.8245000000000002;18.245
23.0;1.8198;18.198
24.0;1.8175000000000001;18.175
25.0;1.8148;18.148
26.0;3.2611;32.611
27.0;3.7063000000000006;37.063
28.0;3.6989;36.989
29.0;3.694;36.94
30.0;3.69;36.9
31.0;3.6867;36.867
32.0;4.345300000000001;43.453
33.0;7.5188999999999995;75.189
34.0;7.4949;74.949
35.0;7.4881;74.881
36.0;7.4726;74.726
37.0;7.4689;74.689
38.0;7.5145;75.145
39.0;9.3508;93.508
40.0;9.3366;93.366
41.0;9.327;93.27
42.0;9.3217;93.217
43.0;9.317400000000001;93.174
44.0;9.3054;93.054
45.0;0.10060000000000001;1.006
46.0;0.0018;0.018
47.0;0.0011;0.011
48.0;8.0E-4;0.008
