Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_Argon_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_Argon_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.5334070796460176;0.4497735182740864;1.481;0.0;277.6491082538367;0.0

Result table values
power_instruction;488_power;488_error
1.0;15.0;1.5
5.0;70.0;7.0
10.0;138.0;13.8
20.0;276.0;27.6
30.0;412.0;41.2
40.0;554.0;55.4
50.0;696.0;69.6
60.0;837.0;83.7
70.0;978.0;97.8
80.0;1132.0;113.2
90.0;1291.0;129.1
100.0;1481.0;148.1
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;1.0E-4;0.001
2.0;0.0;0.0
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;0.0;0.0
6.0;1.0E-4;0.001
7.0;1.0E-4;0.001
8.0;1.0E-4;0.001
9.0;0.0014000000000000002;0.014
10.0;0.0015;0.015
11.0;0.0037;0.037
12.0;0.0152;0.152
13.0;0.0151;0.151
14.0;0.0152;0.152
15.0;0.0151;0.151
16.0;0.015;0.15
17.0;0.0152;0.152
18.0;0.0103;0.103
19.0;0.0015;0.015
20.0;0.0015;0.015
21.0;0.0015;0.015
22.0;0.0014000000000000002;0.014
23.0;0.0015;0.015
24.0;0.0015;0.015
25.0;0.0015;0.015
26.0;0.006900000000000001;0.069
27.0;0.007000000000000001;0.07
28.0;0.007000000000000001;0.07
29.0;0.006900000000000001;0.069
30.0;0.007000000000000001;0.07
31.0;0.007000000000000001;0.07
32.0;0.0106;0.106
33.0;0.013800000000000002;0.138
34.0;0.013800000000000002;0.138
35.0;0.013800000000000002;0.138
36.0;0.013800000000000002;0.138
37.0;0.013700000000000002;0.137
38.0;0.013700000000000002;0.137
39.0;0.013800000000000002;0.138
40.0;0.0183;0.183
41.0;0.027700000000000002;0.277
42.0;0.027400000000000004;0.274
43.0;0.027600000000000003;0.276
44.0;0.027600000000000003;0.276
45.0;0.027500000000000004;0.275
46.0;0.027700000000000002;0.277
47.0;0.027700000000000002;0.277
48.0;0.0359;0.359
49.0;0.0412;0.412
50.0;0.0412;0.412
51.0;0.0412;0.412
52.0;0.0411;0.411
53.0;0.0413;0.413
54.0;0.0414;0.414
55.0;0.0456;0.456
56.0;0.05510000000000001;0.551
57.0;0.05510000000000001;0.551
58.0;0.054900000000000004;0.549
59.0;0.05530000000000001;0.553
60.0;0.055400000000000005;0.554
61.0;0.055200000000000006;0.552
62.0;0.05510000000000001;0.551
63.0;0.055200000000000006;0.552
64.0;0.0583;0.583
65.0;0.0692;0.692
66.0;0.06949999999999999;0.695
67.0;0.0696;0.696
68.0;0.06899999999999999;0.69
69.0;0.0692;0.692
70.0;0.0692;0.692
71.0;0.0689;0.689
72.0;0.0694;0.694
73.0;0.0696;0.696
74.0;0.0693;0.693
75.0;0.0691;0.691
76.0;0.0691;0.691
77.0;0.071;0.71
78.0;0.0835;0.835
79.0;0.0837;0.837
80.0;0.0837;0.837
81.0;0.083;0.83
82.0;0.0834;0.834
83.0;0.0833;0.833
84.0;0.08310000000000001;0.831
85.0;0.08360000000000001;0.836
86.0;0.0854;0.854
87.0;0.098;0.98
88.0;0.0979;0.979
89.0;0.0978;0.978
90.0;0.0981;0.981
91.0;0.098;0.98
92.0;0.0984;0.984
93.0;0.0984;0.984
94.0;0.09870000000000001;0.987
95.0;0.1128;1.128
96.0;0.11270000000000001;1.127
97.0;0.11240000000000001;1.124
98.0;0.1132;1.132
99.0;0.1134;1.134
100.0;0.1128;1.128
101.0;0.1128;1.128
102.0;0.1128;1.128
103.0;0.1278;1.278
104.0;0.1288;1.288
105.0;0.1291;1.291
106.0;0.1292;1.292
107.0;0.128;1.28
108.0;0.143;1.43
109.0;0.14770000000000003;1.477
110.0;0.1472;1.472
111.0;0.1481;1.481
112.0;0.1481;1.481
