Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
561_WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;561_WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2051844660194175;0.14244621139089883;0.427;0.001;207.61805621273774;0.4672897196261738

Result table values
power_instruction;561_power;561_error
1.0;7.0;0.7
5.0;28.0;2.8
10.0;53.0;5.3
20.0;104.0;10.4
30.0;153.0;15.3
40.0;201.0;20.1
50.0;247.0;24.7
60.0;292.0;29.2
70.0;334.0;33.4
80.0;377.0;37.7
90.0;411.0;41.1
100.0;426.0;42.6
time;measured_optical_power_error;measured_optical_power_average
0.0;2.0E-4;0.002
1.0;1.0E-4;0.001
2.0;5.0E-4;0.005
3.0;7.000000000000001E-4;0.007
4.0;7.000000000000001E-4;0.007
5.0;6.000000000000001E-4;0.006
6.0;7.000000000000001E-4;0.007
7.0;7.000000000000001E-4;0.007
8.0;7.000000000000001E-4;0.007
9.0;0.0019;0.019
10.0;0.0028000000000000004;0.028
11.0;0.0028000000000000004;0.028
12.0;0.0028000000000000004;0.028
13.0;0.0028000000000000004;0.028
14.0;0.0028000000000000004;0.028
15.0;0.0028000000000000004;0.028
16.0;0.0028000000000000004;0.028
17.0;0.0028000000000000004;0.028
18.0;0.0046;0.046
19.0;0.0053;0.053
20.0;0.0054;0.054
21.0;0.0053;0.053
22.0;0.0053;0.053
23.0;0.0053;0.053
24.0;0.0053;0.053
25.0;0.0054;0.054
26.0;0.0054;0.054
27.0;0.006700000000000001;0.067
28.0;0.0104;0.104
29.0;0.0104;0.104
30.0;0.0104;0.104
31.0;0.0104;0.104
32.0;0.0105;0.105
33.0;0.0104;0.104
34.0;0.0104;0.104
35.0;0.0104;0.104
36.0;0.011500000000000002;0.115
37.0;0.015300000000000001;0.153
38.0;0.015300000000000001;0.153
39.0;0.0154;0.154
40.0;0.015300000000000001;0.153
41.0;0.0152;0.152
42.0;0.015300000000000001;0.153
43.0;0.015300000000000001;0.153
44.0;0.0152;0.152
45.0;0.0154;0.154
46.0;0.015700000000000002;0.157
47.0;0.020000000000000004;0.2
48.0;0.020100000000000003;0.201
49.0;0.020100000000000003;0.201
50.0;0.020000000000000004;0.2
51.0;0.020200000000000003;0.202
52.0;0.020200000000000003;0.202
53.0;0.020200000000000003;0.202
54.0;0.020000000000000004;0.2
55.0;0.0222;0.222
56.0;0.024800000000000003;0.248
57.0;0.0247;0.247
58.0;0.024900000000000002;0.249
59.0;0.024900000000000002;0.249
60.0;0.0247;0.247
61.0;0.024800000000000003;0.248
62.0;0.0247;0.247
63.0;0.0247;0.247
64.0;0.025400000000000002;0.254
65.0;0.0293;0.293
66.0;0.0292;0.292
67.0;0.0292;0.292
68.0;0.0292;0.292
69.0;0.0292;0.292
70.0;0.0291;0.291
71.0;0.0293;0.293
72.0;0.0293;0.293
73.0;0.0309;0.309
74.0;0.0335;0.335
75.0;0.033600000000000005;0.336
76.0;0.033400000000000006;0.334
77.0;0.033600000000000005;0.336
78.0;0.0337;0.337
79.0;0.033600000000000005;0.336
80.0;0.0335;0.335
81.0;0.0363;0.363
82.0;0.037500000000000006;0.375
83.0;0.0374;0.374
84.0;0.037700000000000004;0.377
85.0;0.037700000000000004;0.377
86.0;0.0374;0.374
87.0;0.037500000000000006;0.375
88.0;0.037500000000000006;0.375
89.0;0.0374;0.374
90.0;0.038400000000000004;0.384
91.0;0.0413;0.413
92.0;0.0411;0.411
93.0;0.0412;0.412
94.0;0.0411;0.411
95.0;0.0411;0.411
96.0;0.0409;0.409
97.0;0.0417;0.417
98.0;0.0427;0.427
99.0;0.0425;0.425
100.0;0.0426;0.426
101.0;0.0425;0.425
102.0;0.042300000000000004;0.423
