Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.21846601941747576;0.18480989258992275;0.542;0.001;247.63576570971466;0.36832412523020164

Result table values
power_instruction;633_power;633_error
1.0;8.0;0.8
5.0;33.0;3.3
10.0;63.0;6.3
20.0;123.0;12.3
30.0;182.0;18.2
40.0;240.0;24.0
50.0;297.0;29.7
60.0;352.0;35.2
70.0;404.0;40.4
80.0;460.0;46.0
90.0;511.0;51.1
100.0;542.0;54.2
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;1.0E-4;0.001
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;1.0E-4;0.001
6.0;1.0E-4;0.001
7.0;1.0E-4;0.001
8.0;1.0E-4;0.001
9.0;1.0E-4;0.001
10.0;1.0E-4;0.001
11.0;1.0E-4;0.001
12.0;1.0E-4;0.001
13.0;1.0E-4;0.001
14.0;1.0E-4;0.001
15.0;5.0E-4;0.005
16.0;8.0E-4;0.008
17.0;8.0E-4;0.008
18.0;8.0E-4;0.008
19.0;8.0E-4;0.008
20.0;8.0E-4;0.008
21.0;8.0E-4;0.008
22.0;0.0033000000000000004;0.033
23.0;0.0033000000000000004;0.033
24.0;0.0033000000000000004;0.033
25.0;0.0033000000000000004;0.033
26.0;0.0033000000000000004;0.033
27.0;0.0033000000000000004;0.033
28.0;0.0033000000000000004;0.033
29.0;0.006;0.06
30.0;0.0063;0.063
31.0;0.0063;0.063
32.0;0.0063;0.063
33.0;0.0063;0.063
34.0;0.006200000000000001;0.062
35.0;0.0063;0.063
36.0;0.0063;0.063
37.0;0.009800000000000001;0.098
38.0;0.0123;0.123
39.0;0.0123;0.123
40.0;0.0123;0.123
41.0;0.0123;0.123
42.0;0.012400000000000001;0.124
43.0;0.012400000000000001;0.124
44.0;0.0123;0.123
45.0;0.018;0.18
46.0;0.0181;0.181
47.0;0.018;0.18
48.0;0.0182;0.182
49.0;0.0182;0.182
50.0;0.0181;0.181
51.0;0.0182;0.182
52.0;0.0181;0.181
53.0;0.020000000000000004;0.2
54.0;0.0239;0.239
55.0;0.024;0.24
56.0;0.024;0.24
57.0;0.0239;0.239
58.0;0.024;0.24
59.0;0.024;0.24
60.0;0.0238;0.238
61.0;0.0286;0.286
62.0;0.0297;0.297
63.0;0.0296;0.296
64.0;0.0297;0.297
65.0;0.0296;0.296
66.0;0.0295;0.295
67.0;0.0296;0.296
68.0;0.0327;0.327
69.0;0.0353;0.353
70.0;0.0351;0.351
71.0;0.0352;0.352
72.0;0.0352;0.352
73.0;0.0349;0.349
74.0;0.0352;0.352
75.0;0.0353;0.353
76.0;0.04050000000000001;0.405
77.0;0.0408;0.408
78.0;0.0407;0.407
79.0;0.040400000000000005;0.404
80.0;0.0407;0.407
81.0;0.0408;0.408
82.0;0.0408;0.408
83.0;0.0407;0.407
84.0;0.0415;0.415
85.0;0.0459;0.459
86.0;0.045500000000000006;0.455
87.0;0.046000000000000006;0.46
88.0;0.0461;0.461
89.0;0.0459;0.459
90.0;0.0461;0.461
91.0;0.046000000000000006;0.46
92.0;0.046000000000000006;0.46
93.0;0.050800000000000005;0.508
94.0;0.051000000000000004;0.51
95.0;0.051100000000000007;0.511
96.0;0.050800000000000005;0.508
97.0;0.0509;0.509
98.0;0.051800000000000006;0.518
99.0;0.053500000000000006;0.535
100.0;0.05410000000000001;0.541
101.0;0.054200000000000005;0.542
102.0;0.0539;0.539
