Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
0.2056;0.1293;0.4510;0.0000;219.3431;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;405_power;405_error
1.0;5.0;1.0
5.0;22.0;2.0
10.0;45.0;4.0
20.0;85.0;8.0
30.0;130.0;13.0
40.0;176.0;18.0
50.0;222.0;22.0
70.0;311.0;31.0
80.0;348.0;35.0
90.0;403.0;40.0
100.0;451.0;45.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;0.0050;0.0010
1.0000;0.0050;0.0010
2.0000;0.0050;0.0000
3.0000;0.0020;0.0000
4.0000;0.0000;0.0000
5.0000;0.0000;0.0000
6.0000;0.0000;0.0000
7.0000;0.0020;0.0000
8.0000;0.0060;0.0010
9.0000;0.0050;0.0010
10.0000;0.0060;0.0010
11.0000;0.0060;0.0010
12.0000;0.0050;0.0010
13.0000;0.0050;0.0010
14.0000;0.0210;0.0020
15.0000;0.0230;0.0020
16.0000;0.0220;0.0020
17.0000;0.0210;0.0020
18.0000;0.0230;0.0020
19.0000;0.0230;0.0020
20.0000;0.0240;0.0020
21.0000;0.0450;0.0050
22.0000;0.0420;0.0040
23.0000;0.0450;0.0040
24.0000;0.0450;0.0040
25.0000;0.0450;0.0040
26.0000;0.0440;0.0040
27.0000;0.0430;0.0040
28.0000;0.0830;0.0080
29.0000;0.0890;0.0090
30.0000;0.0850;0.0080
31.0000;0.0880;0.0090
32.0000;0.0870;0.0090
33.0000;0.0880;0.0090
34.0000;0.1020;0.0100
35.0000;0.1330;0.0130
36.0000;0.1300;0.0130
37.0000;0.1300;0.0130
38.0000;0.1310;0.0130
39.0000;0.1330;0.0130
40.0000;0.1330;0.0130
41.0000;0.1220;0.0120
42.0000;0.1570;0.0160
43.0000;0.1760;0.0180
44.0000;0.1760;0.0180
45.0000;0.1760;0.0180
46.0000;0.1730;0.0170
47.0000;0.1750;0.0180
48.0000;0.1770;0.0180
49.0000;0.1740;0.0170
50.0000;0.2090;0.0210
51.0000;0.2170;0.0220
52.0000;0.2220;0.0220
53.0000;0.2220;0.0220
54.0000;0.2190;0.0220
55.0000;0.2180;0.0220
56.0000;0.2140;0.0210
57.0000;0.2480;0.0250
58.0000;0.2650;0.0260
59.0000;0.2650;0.0260
60.0000;0.2660;0.0270
61.0000;0.2560;0.0260
62.0000;0.2640;0.0260
63.0000;0.2690;0.0270
64.0000;0.2650;0.0270
65.0000;0.2660;0.0270
66.0000;0.2640;0.0260
67.0000;0.2640;0.0260
68.0000;0.2650;0.0270
69.0000;0.2660;0.0270
70.0000;0.2570;0.0260
71.0000;0.2660;0.0270
72.0000;0.2660;0.0270
73.0000;0.2670;0.0270
74.0000;0.2650;0.0270
75.0000;0.2570;0.0260
76.0000;0.2660;0.0270
77.0000;0.2630;0.0260
78.0000;0.2660;0.0270
79.0000;0.2620;0.0260
80.0000;0.2640;0.0260
81.0000;0.2610;0.0260
82.0000;0.2670;0.0270
83.0000;0.2640;0.0260
84.0000;0.2610;0.0260
85.0000;0.2660;0.0270
86.0000;0.2690;0.0270
87.0000;0.2690;0.0270
88.0000;0.2620;0.0260
89.0000;0.2620;0.0260
90.0000;0.2660;0.0270
91.0000;0.2640;0.0260
92.0000;0.2640;0.0260
93.0000;0.2570;0.0260
94.0000;0.2580;0.0260
95.0000;0.2720;0.0270
96.0000;0.3110;0.0310
97.0000;0.3150;0.0320
98.0000;0.3050;0.0300
99.0000;0.3110;0.0310
100.0000;0.3100;0.0310
101.0000;0.3140;0.0310
102.0000;0.3060;0.0310
103.0000;0.2990;0.0300
104.0000;0.3130;0.0310
105.0000;0.3280;0.0330
106.0000;0.3570;0.0360
107.0000;0.3480;0.0350
108.0000;0.3500;0.0350
109.0000;0.3640;0.0360
110.0000;0.3580;0.0360
111.0000;0.3510;0.0350
112.0000;0.3540;0.0350
113.0000;0.3820;0.0380
114.0000;0.4050;0.0400
115.0000;0.4030;0.0400
116.0000;0.3980;0.0400
117.0000;0.3910;0.0390
118.0000;0.3830;0.0380
119.0000;0.4450;0.0450
120.0000;0.4470;0.0450
121.0000;0.4510;0.0450
122.0000;0.4390;0.0440
123.0000;0.4360;0.0440
