Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488Argon_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488Argon_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.9027450980392155;0.7659429320092196;2.365;-0.002;262.2002606429192;-0.169276343630953

Result table values
power_instruction;488_power;488_error
1.0;23.0;2.3
5.0;115.0;11.5
10.0;227.0;22.7
20.0;457.0;45.7
30.0;680.0;68.0
40.0;913.0;91.3
50.0;1145.0;114.5
60.0;1382.0;138.2
70.0;1615.0;161.5
80.0;1846.0;184.6
90.0;2072.0;207.2
100.0;2335.0;233.5
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-2.0E-4;-0.002
2.0;-0.0;-0.0
3.0;2.0E-4;0.002
4.0;2.0E-4;0.002
5.0;2.0E-4;0.002
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0018;0.018
10.0;0.0023;0.023
11.0;0.0023;0.023
12.0;0.0023;0.023
13.0;0.0023;0.023
14.0;0.0023;0.023
15.0;0.0023;0.023
16.0;0.0038;0.038
17.0;0.011500000000000002;0.115
18.0;0.011500000000000002;0.115
19.0;0.0114;0.114
20.0;0.011500000000000002;0.115
21.0;0.011500000000000002;0.115
22.0;0.011500000000000002;0.115
23.0;0.0114;0.114
24.0;0.0166;0.166
25.0;0.0228;0.228
26.0;0.022600000000000002;0.226
27.0;0.0227;0.227
28.0;0.0227;0.227
29.0;0.022600000000000002;0.226
30.0;0.0228;0.228
31.0;0.0228;0.228
32.0;0.0227;0.227
33.0;0.043000000000000003;0.43
34.0;0.0456;0.456
35.0;0.04530000000000001;0.453
36.0;0.045700000000000005;0.457
37.0;0.04580000000000001;0.458
38.0;0.04580000000000001;0.458
39.0;0.045500000000000006;0.455
40.0;0.045700000000000005;0.457
41.0;0.045700000000000005;0.457
42.0;0.0591;0.591
43.0;0.0685;0.685
44.0;0.0685;0.685
45.0;0.068;0.68
46.0;0.06830000000000001;0.683
47.0;0.06820000000000001;0.682
48.0;0.0679;0.679
49.0;0.06830000000000001;0.683
50.0;0.06860000000000001;0.686
51.0;0.08650000000000001;0.865
52.0;0.0908;0.908
53.0;0.0912;0.912
54.0;0.0913;0.913
55.0;0.0907;0.907
56.0;0.09160000000000001;0.916
57.0;0.0918;0.918
58.0;0.09110000000000001;0.911
59.0;0.1038;1.038
60.0;0.11430000000000001;1.143
61.0;0.1139;1.139
62.0;0.1145;1.145
63.0;0.11499999999999999;1.15
64.0;0.1149;1.149
65.0;0.1139;1.139
66.0;0.12350000000000001;1.235
67.0;0.13740000000000002;1.374
68.0;0.1368;1.368
69.0;0.13799999999999998;1.38
70.0;0.1382;1.382
71.0;0.137;1.37
72.0;0.1376;1.376
73.0;0.13740000000000002;1.374
74.0;0.1565;1.565
75.0;0.16140000000000002;1.614
76.0;0.1617;1.617
77.0;0.1615;1.615
78.0;0.1602;1.602
79.0;0.1613;1.613
80.0;0.1612;1.612
81.0;0.16920000000000002;1.692
82.0;0.18530000000000002;1.853
83.0;0.18500000000000003;1.85
84.0;0.1829;1.829
85.0;0.18460000000000001;1.846
86.0;0.18510000000000001;1.851
87.0;0.18500000000000003;1.85
88.0;0.1845;1.845
89.0;0.19930000000000003;1.993
90.0;0.2088;2.088
91.0;0.20720000000000002;2.072
92.0;0.2097;2.097
93.0;0.2096;2.096
94.0;0.23010000000000003;2.301
95.0;0.23550000000000001;2.355
96.0;0.23540000000000003;2.354
97.0;0.2335;2.335
98.0;0.23570000000000002;2.357
99.0;0.23650000000000004;2.365
100.0;0.2358;2.358
101.0;0.032600000000000004;0.326
