Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.1494032258064516;0.1528169946118679;0.463;0.0;309.89960056137323;0.0

Result table values
power_instruction;405_power;405_error
1.0;6.0;0.6
5.0;23.0;2.3
10.0;45.0;4.5
20.0;90.0;9.0
30.0;133.0;13.3
40.0;181.0;18.1
50.0;227.0;22.7
60.0;270.0;27.0
70.0;321.0;32.1
80.0;369.0;36.9
90.0;416.0;41.6
100.0;462.0;46.2
time;measured_optical_power_error;measured_optical_power_average
0.0;3.0000000000000003E-4;0.003
1.0;4.0E-4;0.004
2.0;4.0E-4;0.004
3.0;4.0E-4;0.004
4.0;3.0000000000000003E-4;0.003
5.0;3.0000000000000003E-4;0.003
6.0;4.0E-4;0.004
7.0;4.0E-4;0.004
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;5.0E-4;0.005
15.0;6.000000000000001E-4;0.006
16.0;6.000000000000001E-4;0.006
17.0;6.000000000000001E-4;0.006
18.0;5.0E-4;0.005
19.0;6.000000000000001E-4;0.006
20.0;6.000000000000001E-4;0.006
21.0;0.0011;0.011
22.0;0.0023;0.023
23.0;0.0023;0.023
24.0;0.0023;0.023
25.0;0.0023;0.023
26.0;0.0023;0.023
27.0;0.0023;0.023
28.0;0.0023;0.023
29.0;0.0023;0.023
30.0;0.0023;0.023
31.0;0.0023;0.023
32.0;0.0023;0.023
33.0;0.0023;0.023
34.0;0.0023;0.023
35.0;0.0023;0.023
36.0;0.0023;0.023
37.0;0.0023;0.023
38.0;0.0023;0.023
39.0;0.0023;0.023
40.0;0.0023;0.023
41.0;0.0023;0.023
42.0;0.0023;0.023
43.0;0.0023;0.023
44.0;0.0023;0.023
45.0;0.0023;0.023
46.0;0.0023;0.023
47.0;0.0024000000000000002;0.024
48.0;0.0023;0.023
49.0;0.0029000000000000002;0.029
50.0;0.0045;0.045
51.0;0.0045;0.045
52.0;0.0045;0.045
53.0;0.0045;0.045
54.0;0.0045;0.045
55.0;0.0045;0.045
56.0;0.0046;0.046
57.0;0.0045;0.045
58.0;0.0046;0.046
59.0;0.0055000000000000005;0.055
60.0;0.009;0.09
61.0;0.009;0.09
62.0;0.009;0.09
63.0;0.009;0.09
64.0;0.009;0.09
65.0;0.0089;0.089
66.0;0.011600000000000001;0.116
67.0;0.013500000000000002;0.135
68.0;0.013400000000000002;0.134
69.0;0.013300000000000001;0.133
70.0;0.013400000000000002;0.134
71.0;0.013500000000000002;0.135
72.0;0.013300000000000001;0.133
73.0;0.0141;0.141
74.0;0.0181;0.181
75.0;0.018;0.18
76.0;0.0181;0.181
77.0;0.0181;0.181
78.0;0.0181;0.181
79.0;0.018;0.18
80.0;0.0182;0.182
81.0;0.019700000000000002;0.197
82.0;0.022500000000000003;0.225
83.0;0.0228;0.228
84.0;0.0227;0.227
85.0;0.022500000000000003;0.225
86.0;0.0227;0.227
87.0;0.0227;0.227
88.0;0.022600000000000002;0.226
89.0;0.0257;0.257
90.0;0.027300000000000005;0.273
91.0;0.027200000000000002;0.272
92.0;0.027000000000000003;0.27
93.0;0.027200000000000002;0.272
94.0;0.027300000000000005;0.273
95.0;0.027000000000000003;0.27
96.0;0.027200000000000002;0.272
97.0;0.0317;0.317
98.0;0.031900000000000005;0.319
99.0;0.0317;0.317
100.0;0.032100000000000004;0.321
101.0;0.032;0.32
102.0;0.0318;0.318
103.0;0.032100000000000004;0.321
104.0;0.0368;0.368
105.0;0.0368;0.368
106.0;0.0367;0.367
107.0;0.0369;0.369
108.0;0.0369;0.369
109.0;0.0366;0.366
110.0;0.0369;0.369
111.0;0.040400000000000005;0.404
112.0;0.0412;0.412
113.0;0.0416;0.416
114.0;0.0416;0.416
115.0;0.0414;0.414
116.0;0.0425;0.425
117.0;0.04630000000000001;0.463
118.0;0.04630000000000001;0.463
119.0;0.0459;0.459
120.0;0.046200000000000005;0.462
121.0;0.04630000000000001;0.463
122.0;0.04580000000000001;0.458
123.0;0.046200000000000005;0.462
