Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
561POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;561POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2574725274725274;0.20030440123088702;0.578;-0.0;224.489970123773;0.0

Result table values
power_instruction;561_power;561_error
1.0;8.0;0.8
5.0;37.0;3.7
10.0;72.0;7.2
20.0;140.0;14.0
30.0;207.0;20.7
40.0;274.0;27.4
50.0;336.0;33.6
60.0;396.0;39.6
70.0;452.0;45.2
80.0;512.0;51.2
90.0;560.0;56.0
100.0;576.0;57.6
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;7.000000000000001E-4;0.007
12.0;8.0E-4;0.008
13.0;8.0E-4;0.008
14.0;8.0E-4;0.008
15.0;7.000000000000001E-4;0.007
16.0;0.0036;0.036
17.0;0.0037;0.037
18.0;0.0037;0.037
19.0;0.0037;0.037
20.0;0.0037;0.037
21.0;0.0037;0.037
22.0;0.0059;0.059
23.0;0.0072;0.072
24.0;0.0072;0.072
25.0;0.0070999999999999995;0.071
26.0;0.0070999999999999995;0.071
27.0;0.0070999999999999995;0.071
28.0;0.0070999999999999995;0.071
29.0;0.012700000000000001;0.127
30.0;0.0141;0.141
31.0;0.014000000000000002;0.14
32.0;0.014000000000000002;0.14
33.0;0.014000000000000002;0.14
34.0;0.0141;0.141
35.0;0.013900000000000003;0.139
36.0;0.016800000000000002;0.168
37.0;0.0207;0.207
38.0;0.0206;0.206
39.0;0.0207;0.207
40.0;0.0208;0.208
41.0;0.0207;0.207
42.0;0.0206;0.206
43.0;0.0221;0.221
44.0;0.027400000000000004;0.274
45.0;0.027100000000000003;0.271
46.0;0.027400000000000004;0.274
47.0;0.027400000000000004;0.274
48.0;0.027200000000000002;0.272
49.0;0.027300000000000005;0.273
50.0;0.027300000000000005;0.273
51.0;0.0282;0.282
52.0;0.0335;0.335
53.0;0.033600000000000005;0.336
54.0;0.033600000000000005;0.336
55.0;0.0332;0.332
56.0;0.0335;0.335
57.0;0.033600000000000005;0.336
58.0;0.0355;0.355
59.0;0.03950000000000001;0.395
60.0;0.03950000000000001;0.395
61.0;0.0396;0.396
62.0;0.0393;0.393
63.0;0.03950000000000001;0.395
64.0;0.0396;0.396
65.0;0.0391;0.391
66.0;0.0454;0.454
67.0;0.045500000000000006;0.455
68.0;0.045200000000000004;0.452
69.0;0.045500000000000006;0.455
70.0;0.045500000000000006;0.455
71.0;0.0456;0.456
72.0;0.04530000000000001;0.453
73.0;0.0456;0.456
74.0;0.045700000000000005;0.457
75.0;0.0495;0.495
76.0;0.051100000000000007;0.511
77.0;0.0512;0.512
78.0;0.050800000000000005;0.508
79.0;0.051000000000000004;0.51
80.0;0.051100000000000007;0.511
81.0;0.05280000000000001;0.528
82.0;0.05550000000000001;0.555
83.0;0.05600000000000001;0.56
84.0;0.05600000000000001;0.56
85.0;0.055400000000000005;0.554
86.0;0.0566;0.566
87.0;0.0578;0.578
88.0;0.0574;0.574
89.0;0.0576;0.576
90.0;0.0576;0.576
