Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
New folder_measured_optical_power_vs_acquisition_duration.jpg;New folder_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2195076923076925;0.1832896750406695;0.582;-0.0;265.13877207737573;0.0

Result table values
power_instruction;405_power;405_error
0.0;0.0;0.0
1.0;9.0;0.9
5.0;30.0;3.0
10.0;59.0;5.9
20.0;116.0;11.6
30.0;175.0;17.5
40.0;232.0;23.2
50.0;291.0;29.1
60.0;349.0;34.9
70.0;407.0;40.7
80.0;461.0;46.1
90.0;519.0;51.9
100.0;581.0;58.1
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0048000000000000004;0.048
1.0;0.0046;0.046
2.0;0.0047;0.047
3.0;0.0047;0.047
4.0;0.0047;0.047
5.0;0.0046;0.046
6.0;0.0047;0.047
7.0;-0.0;-0.0
8.0;1.0E-4;0.001
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;0.0;0.0
12.0;0.0;0.0
13.0;0.0;0.0
14.0;1.0E-4;0.001
15.0;0.0;0.0
16.0;1.0E-4;0.001
17.0;1.0E-4;0.001
18.0;-0.0;-0.0
19.0;0.0;0.0
20.0;0.0;0.0
21.0;0.0;0.0
22.0;5.0E-4;0.005
23.0;8.0E-4;0.008
24.0;9.0E-4;0.009
25.0;8.0E-4;0.008
26.0;9.0E-4;0.009
27.0;9.0E-4;0.009
28.0;9.0E-4;0.009
29.0;8.0E-4;0.008
30.0;9.0E-4;0.009
31.0;8.0E-4;0.008
32.0;9.0E-4;0.009
33.0;9.0E-4;0.009
34.0;8.0E-4;0.008
35.0;8.0E-4;0.008
36.0;9.0E-4;0.009
37.0;8.0E-4;0.008
38.0;8.0E-4;0.008
39.0;8.0E-4;0.008
40.0;8.0E-4;0.008
41.0;0.0029000000000000002;0.029
42.0;0.0031000000000000003;0.031
43.0;0.0031000000000000003;0.031
44.0;0.003;0.03
45.0;0.0031000000000000003;0.031
46.0;0.0031000000000000003;0.031
47.0;0.0031000000000000003;0.031
48.0;0.0031000000000000003;0.031
49.0;0.0031000000000000003;0.031
50.0;0.0031000000000000003;0.031
51.0;0.003;0.03
52.0;0.0053;0.053
53.0;0.0059;0.059
54.0;0.0059;0.059
55.0;0.0058000000000000005;0.058
56.0;0.0059;0.059
57.0;0.0059;0.059
58.0;0.0059;0.059
59.0;0.0059;0.059
60.0;0.0059;0.059
61.0;0.0059;0.059
62.0;0.0059;0.059
63.0;0.006600000000000001;0.066
64.0;0.011600000000000001;0.116
65.0;0.011600000000000001;0.116
66.0;0.011700000000000002;0.117
67.0;0.011600000000000001;0.116
68.0;0.011600000000000001;0.116
69.0;0.011600000000000001;0.116
70.0;0.011500000000000002;0.115
71.0;0.011700000000000002;0.117
72.0;0.011700000000000002;0.117
73.0;0.011600000000000001;0.116
74.0;0.011700000000000002;0.117
75.0;0.011700000000000002;0.117
76.0;0.0184;0.184
77.0;0.023100000000000002;0.231
78.0;0.023200000000000002;0.232
79.0;0.023100000000000002;0.231
80.0;0.023200000000000002;0.232
81.0;0.0206;0.206
82.0;0.0174;0.174
83.0;0.0173;0.173
84.0;0.0174;0.174
85.0;0.0174;0.174
86.0;0.0173;0.173
87.0;0.017499999999999998;0.175
88.0;0.017499999999999998;0.175
89.0;0.0173;0.173
90.0;0.0174;0.174
91.0;0.0174;0.174
92.0;0.0174;0.174
