Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
02-26_790_measured_optical_power_vs_acquisition_duration.jpg;02-26_790_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.14693333333333328;0.1509514064167;0.431;-0.002;294.69147005444654;-0.932400932400923

Result table values
power_instruction;790_power;790_error
0.0;-2.0;-0.2
1.0;3.0;0.3
5.0;22.0;2.2
10.0;46.0;4.6
20.0;93.0;9.3
30.0;141.0;14.1
40.0;186.0;18.6
50.0;233.0;23.3
60.0;277.0;27.7
70.0;321.0;32.1
80.0;362.0;36.2
90.0;399.0;39.9
100.0;430.0;43.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-2.0E-4;-0.002
2.0;-2.0E-4;-0.002
3.0;-2.0E-4;-0.002
4.0;-2.0E-4;-0.002
5.0;-2.0E-4;-0.002
6.0;-2.0E-4;-0.002
7.0;-2.0E-4;-0.002
8.0;-2.0E-4;-0.002
9.0;-2.0E-4;-0.002
10.0;-2.0E-4;-0.002
11.0;-2.0E-4;-0.002
12.0;1.0E-4;0.001
13.0;3.0000000000000003E-4;0.003
14.0;3.0000000000000003E-4;0.003
15.0;3.0000000000000003E-4;0.003
16.0;3.0000000000000003E-4;0.003
17.0;3.0000000000000003E-4;0.003
18.0;3.0000000000000003E-4;0.003
19.0;-2.0E-4;-0.002
20.0;-2.0E-4;-0.002
21.0;-2.0E-4;-0.002
22.0;-2.0E-4;-0.002
23.0;-2.0E-4;-0.002
24.0;-2.0E-4;-0.002
25.0;-2.0E-4;-0.002
26.0;-2.0E-4;-0.002
27.0;-2.0E-4;-0.002
28.0;-2.0E-4;-0.002
29.0;-2.0E-4;-0.002
30.0;-2.0E-4;-0.002
31.0;-2.0E-4;-0.002
32.0;0.0014000000000000002;0.014
33.0;0.0022;0.022
34.0;0.0022;0.022
35.0;0.0022;0.022
36.0;0.0022;0.022
37.0;0.0022;0.022
38.0;0.0022;0.022
39.0;0.0022;0.022
40.0;0.0022;0.022
41.0;0.0022;0.022
42.0;0.0022;0.022
43.0;0.0022;0.022
44.0;0.0022;0.022
45.0;0.0022;0.022
46.0;0.0022;0.022
47.0;4.0E-4;0.004
48.0;3.0000000000000003E-4;0.003
49.0;3.0000000000000003E-4;0.003
50.0;3.0000000000000003E-4;0.003
51.0;3.0000000000000003E-4;0.003
52.0;3.0000000000000003E-4;0.003
53.0;3.0000000000000003E-4;0.003
54.0;0.0012000000000000001;0.012
55.0;0.0022;0.022
56.0;0.0022;0.022
57.0;0.0022;0.022
58.0;0.0022;0.022
59.0;0.0022;0.022
60.0;0.0022;0.022
61.0;0.0022;0.022
62.0;0.0044;0.044
63.0;0.0046;0.046
64.0;0.0046;0.046
65.0;0.0046;0.046
66.0;0.0046;0.046
67.0;0.0046;0.046
68.0;0.0046;0.046
69.0;0.0046;0.046
70.0;0.0051;0.051
71.0;0.009300000000000001;0.093
72.0;0.009300000000000001;0.093
73.0;0.0092;0.092
74.0;0.009300000000000001;0.093
75.0;0.009300000000000001;0.093
76.0;0.009300000000000001;0.093
77.0;0.009300000000000001;0.093
78.0;0.009300000000000001;0.093
79.0;0.009500000000000001;0.095
80.0;0.014000000000000002;0.14
81.0;0.0141;0.141
82.0;0.0141;0.141
83.0;0.014000000000000002;0.14
84.0;0.014000000000000002;0.14
85.0;0.014000000000000002;0.14
86.0;0.013900000000000003;0.139
87.0;0.014000000000000002;0.14
88.0;0.014199999999999999;0.142
89.0;0.0187;0.187
90.0;0.0187;0.187
91.0;0.0187;0.187
92.0;0.018600000000000002;0.186
93.0;0.0185;0.185
94.0;0.0187;0.187
95.0;0.0187;0.187
96.0;0.018600000000000002;0.186
97.0;0.020200000000000003;0.202
98.0;0.023200000000000002;0.232
99.0;0.023100000000000002;0.231
100.0;0.0233;0.233
101.0;0.0233;0.233
102.0;0.023200000000000002;0.232
103.0;0.0233;0.233
104.0;0.0233;0.233
105.0;0.0245;0.245
106.0;0.027700000000000002;0.277
107.0;0.027800000000000005;0.278
108.0;0.027800000000000005;0.278
109.0;0.027700000000000002;0.277
110.0;0.027800000000000005;0.278
111.0;0.027700000000000002;0.277
112.0;0.027500000000000004;0.275
113.0;0.027700000000000002;0.277
114.0;0.027700000000000002;0.277
115.0;0.028399999999999998;0.284
116.0;0.032100000000000004;0.321
117.0;0.0322;0.322
118.0;0.032100000000000004;0.321
119.0;0.032;0.32
120.0;0.032100000000000004;0.321
121.0;0.032100000000000004;0.321
122.0;0.032100000000000004;0.321
123.0;0.0322;0.322
124.0;0.032100000000000004;0.321
125.0;0.0333;0.333
126.0;0.0362;0.362
127.0;0.0363;0.363
128.0;0.0362;0.362
129.0;0.0363;0.363
130.0;0.0364;0.364
131.0;0.0363;0.363
132.0;0.0361;0.361
133.0;0.0363;0.363
134.0;0.0365;0.365
135.0;0.04020000000000001;0.402
136.0;0.040400000000000005;0.404
137.0;0.0403;0.403
138.0;0.039900000000000005;0.399
139.0;0.04020000000000001;0.402
140.0;0.0403;0.403
141.0;0.04020000000000001;0.402
142.0;0.0403;0.403
143.0;0.0416;0.416
144.0;0.0427;0.427
145.0;0.0429;0.429
146.0;0.043000000000000003;0.43
147.0;0.043000000000000003;0.43
148.0;0.0429;0.429
149.0;0.0431;0.431
