"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__power_instruction","metricsArrayString__488_power","metricsArrayString__488_error","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-24T15:03:26Z","0","0","0.001","powerMeter","1","2","0","-0.917431192660545","0.07604009698552416","250.06458279514322","0.219","0.08797727272727278","-0.001"
"","0","1","0.003","","5","13","1","","","","","",""
"","0","2","0.003","","10","25","3","","","","","",""
"","0","3","0.003","","20","52","5","","","","","",""
"","0","4","0.003","","30","74","7","","","","","",""
"","0","5","0.003","","40","101","10","","","","","",""
"","0","6","0.003","","50","122","12","","","","","",""
"","0","7","0.004","","60","145","14","","","","","",""
"","0","8","0.003","","70","167","17","","","","","",""
"","0","9","0.003","","80","190","19","","","","","",""
"","0","10","0.003","","90","209","21","","","","","",""
"","0","11","0.003","","100","219","22","","","","","",""
"","0","12","0.003","","","","","","","","","",""
"","0","13","0.003","","","","","","","","","",""
"","0","14","0.002","","","","","","","","","",""
"","0","15","0","","","","","","","","","",""
"","0","16","0","","","","","","","","","",""
"","0","17","0","","","","","","","","","",""
"","0","18","-0.001","","","","","","","","","",""
"","0","19","0","","","","","","","","","",""
"","0","20","0","","","","","","","","","",""
"","0","21","0.001","","","","","","","","","",""
"","0","22","0.002","","","","","","","","","",""
"","0","23","0.002","","","","","","","","","",""
"","0","24","0.002","","","","","","","","","",""
"","0","25","0.002","","","","","","","","","",""
"","0","26","0.003","","","","","","","","","",""
"","0.001","27","0.007","","","","","","","","","",""
"","0.001","28","0.013","","","","","","","","","",""
"","0.001","29","0.012","","","","","","","","","",""
"","0.001","30","0.012","","","","","","","","","",""
"","0.001","31","0.013","","","","","","","","","",""
"","0.001","32","0.012","","","","","","","","","",""
"","0.001","33","0.013","","","","","","","","","",""
"","0.001","34","0.013","","","","","","","","","",""
"","0.001","35","0.015","","","","","","","","","",""
"","0.002","36","0.025","","","","","","","","","",""
"","0.003","37","0.026","","","","","","","","","",""
"","0.003","38","0.026","","","","","","","","","",""
"","0.003","39","0.026","","","","","","","","","",""
"","0.003","40","0.026","","","","","","","","","",""
"","0.003","41","0.025","","","","","","","","","",""
"","0.003","42","0.026","","","","","","","","","",""
"","0.003","43","0.032","","","","","","","","","",""
"","0.004","44","0.038","","","","","","","","","",""
"","0.005","45","0.046","","","","","","","","","",""
"","0.005","46","0.051","","","","","","","","","",""
"","0.005","47","0.051","","","","","","","","","",""
"","0.005","48","0.052","","","","","","","","","",""
"","0.005","49","0.052","","","","","","","","","",""
"","0.005","50","0.052","","","","","","","","","",""
"","0.005","51","0.05","","","","","","","","","",""
"","0.006","52","0.062","","","","","","","","","",""
"","0.007","53","0.073","","","","","","","","","",""
"","0.007","54","0.075","","","","","","","","","",""
"","0.008","55","0.076","","","","","","","","","",""
"","0.007","56","0.075","","","","","","","","","",""
"","0.007","57","0.074","","","","","","","","","",""
"","0.007","58","0.075","","","","","","","","","",""
"","0.008","59","0.083","","","","","","","","","",""
"","0.01","60","0.099","","","","","","","","","",""
"","0.01","61","0.101","","","","","","","","","",""
"","0.01","62","0.101","","","","","","","","","",""
"","0.01","63","0.101","","","","","","","","","",""
"","0.01","64","0.1","","","","","","","","","",""
"","0.01","65","0.1","","","","","","","","","",""
"","0.013","66","0.135","","","","","","","","","",""
"","0.013","67","0.132","","","","","","","","","",""
"","0.013","68","0.126","","","","","","","","","",""
"","0.012","69","0.124","","","","","","","","","",""
"","0.012","70","0.123","","","","","","","","","",""
"","0.012","71","0.123","","","","","","","","","",""
"","0.012","72","0.123","","","","","","","","","",""
"","0.012","73","0.121","","","","","","","","","",""
"","0.012","74","0.122","","","","","","","","","",""
"","0.012","75","0.122","","","","","","","","","",""
"","0.013","76","0.126","","","","","","","","","",""
"","0.014","77","0.14","","","","","","","","","",""
"","0.014","78","0.141","","","","","","","","","",""
"","0.014","79","0.144","","","","","","","","","",""
"","0.014","80","0.143","","","","","","","","","",""
"","0.014","81","0.144","","","","","","","","","",""
"","0.014","82","0.145","","","","","","","","","",""
"","0.014","83","0.144","","","","","","","","","",""
"","0.014","84","0.145","","","","","","","","","",""
"","0.014","85","0.144","","","","","","","","","",""
"","0.014","86","0.143","","","","","","","","","",""
"","0.015","87","0.148","","","","","","","","","",""
"","0.017","88","0.172","","","","","","","","","",""
"","0.017","89","0.167","","","","","","","","","",""
"","0.017","90","0.166","","","","","","","","","",""
"","0.017","91","0.167","","","","","","","","","",""
"","0.017","92","0.167","","","","","","","","","",""
"","0.016","93","0.165","","","","","","","","","",""
"","0.018","94","0.178","","","","","","","","","",""
"","0.019","95","0.191","","","","","","","","","",""
