Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_561.csv_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_561.csv_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.1659704433497537;0.20364996190471332;0.565;-0.001;341.0245755669001;-0.35460992907800915

Result table values
power_instruction;561_power;561_error
0.0;-0.0;-0.0
1.0;6.0;0.6
5.0;31.0;3.1
10.0;62.0;6.2
20.0;126.0;12.6
30.0;188.0;18.8
40.0;249.0;24.9
50.0;307.0;30.7
60.0;371.0;37.1
70.0;420.0;42.0
80.0;474.0;47.4
90.0;526.0;52.6
100.0;554.0;55.4
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-0.0;-0.0
7.0;-1.0E-4;-0.001
8.0;-0.0;-0.0
9.0;-1.0E-4;-0.001
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;0.0091;0.091
13.0;0.056499999999999995;0.565
14.0;0.006900000000000001;0.069
15.0;-0.0;-0.0
16.0;-1.0E-4;-0.001
17.0;-0.0;-0.0
18.0;-1.0E-4;-0.001
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;-1.0E-4;-0.001
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;-0.0;-0.0
25.0;-0.0;-0.0
26.0;-0.0;-0.0
27.0;-0.0;-0.0
28.0;-1.0E-4;-0.001
29.0;-0.0;-0.0
30.0;-0.0;-0.0
31.0;-1.0E-4;-0.001
32.0;-0.0;-0.0
33.0;0.012700000000000001;0.127
34.0;0.055700000000000006;0.557
35.0;0.054700000000000006;0.547
36.0;0.05460000000000001;0.546
37.0;0.054700000000000006;0.547
38.0;0.05510000000000001;0.551
39.0;0.055200000000000006;0.552
40.0;0.05450000000000001;0.545
41.0;0.0317;0.317
42.0;-0.0;-0.0
43.0;-0.0;-0.0
44.0;-1.0E-4;-0.001
45.0;-0.0;-0.0
46.0;-0.0;-0.0
47.0;-1.0E-4;-0.001
48.0;-0.0;-0.0
49.0;-0.0;-0.0
50.0;-0.0;-0.0
51.0;-0.0;-0.0
52.0;-0.0;-0.0
53.0;-0.0;-0.0
54.0;-0.0;-0.0
55.0;-0.0;-0.0
56.0;-0.0;-0.0
57.0;-0.0;-0.0
58.0;-1.0E-4;-0.001
59.0;-0.0;-0.0
60.0;-0.0;-0.0
61.0;-0.0;-0.0
62.0;-0.0;-0.0
63.0;-0.0;-0.0
64.0;-0.0;-0.0
65.0;-1.0E-4;-0.001
66.0;-0.0;-0.0
67.0;-0.0;-0.0
68.0;-0.0;-0.0
69.0;-0.0;-0.0
70.0;-1.0E-4;-0.001
71.0;-0.0;-0.0
72.0;-0.0;-0.0
73.0;-0.0;-0.0
74.0;-0.0;-0.0
75.0;-0.0;-0.0
76.0;-0.0;-0.0
77.0;-1.0E-4;-0.001
78.0;-1.0E-4;-0.001
79.0;-0.0;-0.0
80.0;-0.0;-0.0
81.0;-1.0E-4;-0.001
82.0;1.0E-4;0.001
83.0;6.000000000000001E-4;0.006
84.0;6.000000000000001E-4;0.006
85.0;6.000000000000001E-4;0.006
86.0;6.000000000000001E-4;0.006
87.0;6.000000000000001E-4;0.006
88.0;6.000000000000001E-4;0.006
89.0;6.000000000000001E-4;0.006
90.0;0.0012000000000000001;0.012
91.0;0.0031000000000000003;0.031
92.0;0.0031000000000000003;0.031
93.0;0.0031000000000000003;0.031
94.0;0.0031000000000000003;0.031
95.0;0.0031000000000000003;0.031
96.0;0.0032;0.032
