Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_405_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_405_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.20615107913669065;0.17414412019865444;0.52;-0.001;252.72727272727275;-0.3853564547206201

Result table values
power_instruction;405_power;405_error
0.0;-1.0;-0.1
1.0;6.0;0.6
5.0;27.0;2.7
10.0;52.0;5.2
20.0;105.0;10.5
30.0;156.0;15.6
40.0;207.0;20.7
50.0;257.0;25.7
60.0;312.0;31.2
70.0;364.0;36.4
80.0;415.0;41.5
90.0;467.0;46.7
100.0;520.0;52.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;3.0000000000000003E-4;0.003
11.0;6.000000000000001E-4;0.006
12.0;6.000000000000001E-4;0.006
13.0;6.000000000000001E-4;0.006
14.0;6.000000000000001E-4;0.006
15.0;6.000000000000001E-4;0.006
16.0;6.000000000000001E-4;0.006
17.0;6.000000000000001E-4;0.006
18.0;6.000000000000001E-4;0.006
19.0;6.000000000000001E-4;0.006
20.0;6.000000000000001E-4;0.006
21.0;6.000000000000001E-4;0.006
22.0;6.000000000000001E-4;0.006
23.0;6.000000000000001E-4;0.006
24.0;6.000000000000001E-4;0.006
25.0;6.000000000000001E-4;0.006
26.0;6.000000000000001E-4;0.006
27.0;0.0023;0.023
28.0;0.0027;0.027
29.0;0.0027;0.027
30.0;0.0027;0.027
31.0;0.0027;0.027
32.0;0.0026;0.026
33.0;0.0027;0.027
34.0;0.0027;0.027
35.0;0.0026;0.026
36.0;0.0027;0.027
37.0;0.0048000000000000004;0.048
38.0;0.0053;0.053
39.0;0.0052;0.052
40.0;0.0052;0.052
41.0;0.0052;0.052
42.0;0.0052;0.052
43.0;0.0053;0.053
44.0;0.0053;0.053
45.0;0.0052;0.052
46.0;0.0078000000000000005;0.078
47.0;0.0105;0.105
48.0;0.0103;0.103
49.0;0.0105;0.105
50.0;0.0105;0.105
51.0;0.0105;0.105
52.0;0.0104;0.104
53.0;0.0105;0.105
54.0;0.0104;0.104
55.0;0.0104;0.104
56.0;0.0104;0.104
57.0;0.0104;0.104
58.0;0.0155;0.155
59.0;0.015700000000000002;0.157
60.0;0.015700000000000002;0.157
61.0;0.015600000000000001;0.156
62.0;0.015600000000000001;0.156
63.0;0.015600000000000001;0.156
64.0;0.015600000000000001;0.156
65.0;0.015700000000000002;0.157
66.0;0.015700000000000002;0.157
67.0;0.015700000000000002;0.157
68.0;0.016900000000000002;0.169
69.0;0.0207;0.207
70.0;0.0208;0.208
71.0;0.0207;0.207
72.0;0.0208;0.208
73.0;0.020900000000000002;0.209
74.0;0.0208;0.208
75.0;0.0208;0.208
76.0;0.0208;0.208
77.0;0.0207;0.207
78.0;0.0207;0.207
79.0;0.0208;0.208
80.0;0.0208;0.208
81.0;0.0245;0.245
82.0;0.026000000000000002;0.26
83.0;0.025900000000000003;0.259
84.0;0.0257;0.257
85.0;0.025900000000000003;0.259
86.0;0.026000000000000002;0.26
87.0;0.025900000000000003;0.259
88.0;0.026000000000000002;0.26
89.0;0.025900000000000003;0.259
90.0;0.025900000000000003;0.259
91.0;0.0302;0.302
92.0;0.031200000000000002;0.312
93.0;0.0313;0.313
94.0;0.031200000000000002;0.312
95.0;0.031200000000000002;0.312
96.0;0.031200000000000002;0.312
97.0;0.0309;0.309
98.0;0.031100000000000003;0.311
99.0;0.031200000000000002;0.312
100.0;0.031100000000000003;0.311
101.0;0.0348;0.348
102.0;0.0364;0.364
103.0;0.0363;0.363
104.0;0.0362;0.362
105.0;0.0364;0.364
106.0;0.0366;0.366
107.0;0.0363;0.363
108.0;0.0364;0.364
109.0;0.0363;0.363
110.0;0.036;0.36
111.0;0.0411;0.411
112.0;0.0417;0.417
113.0;0.0415;0.415
114.0;0.0416;0.416
115.0;0.0416;0.416
116.0;0.0412;0.412
117.0;0.0415;0.415
118.0;0.0415;0.415
119.0;0.0417;0.417
120.0;0.043000000000000003;0.43
121.0;0.04680000000000001;0.468
122.0;0.046700000000000005;0.467
123.0;0.04630000000000001;0.463
124.0;0.0466;0.466
125.0;0.04680000000000001;0.468
126.0;0.04650000000000001;0.465
127.0;0.046700000000000005;0.467
128.0;0.0483;0.483
129.0;0.05160000000000001;0.516
130.0;0.0517;0.517
131.0;0.051800000000000006;0.518
132.0;0.052000000000000005;0.52
133.0;0.0517;0.517
134.0;0.0519;0.519
135.0;0.0517;0.517
136.0;0.051300000000000005;0.513
137.0;0.05160000000000001;0.516
138.0;0.051800000000000006;0.518
