Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_2025_09_16_633_measured_optical_power_vs_acquisition_duration.jpg;power_meter_2025_09_16_633_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.39639583333333345;0.3169599113787661;0.899;-0.001;227.04577705366052;-0.22271714922048602

Result table values
power_instruction;633_power;633_error
0.0;-0.0;-0.0
1.0;10.0;1.0
5.0;50.0;5.0
10.0;102.0;10.2
20.0;202.0;20.2
30.0;304.0;30.4
40.0;403.0;40.3
50.0;500.0;50.0
60.0;593.0;59.3
70.0;685.0;68.5
80.0;776.0;77.6
90.0;852.0;85.2
100.0;899.0;89.9
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;5.0E-4;0.005
10.0;0.001;0.01
11.0;0.001;0.01
12.0;0.001;0.01
13.0;0.001;0.01
14.0;0.001;0.01
15.0;0.001;0.01
16.0;0.004;0.04
17.0;0.005000000000000001;0.05
18.0;0.005000000000000001;0.05
19.0;0.005000000000000001;0.05
20.0;0.005000000000000001;0.05
21.0;0.0051;0.051
22.0;0.0051;0.051
23.0;0.0051;0.051
24.0;0.009600000000000001;0.096
25.0;0.0102;0.102
26.0;0.0102;0.102
27.0;0.010100000000000001;0.101
28.0;0.0102;0.102
29.0;0.0102;0.102
30.0;0.010100000000000001;0.101
31.0;0.014000000000000002;0.14
32.0;0.020200000000000003;0.202
33.0;0.020200000000000003;0.202
34.0;0.020300000000000002;0.203
35.0;0.020300000000000002;0.203
36.0;0.020300000000000002;0.203
37.0;0.020200000000000003;0.202
38.0;0.026800000000000004;0.268
39.0;0.0304;0.304
40.0;0.0302;0.302
41.0;0.0304;0.304
42.0;0.0304;0.304
43.0;0.030100000000000002;0.301
44.0;0.0302;0.302
45.0;0.0303;0.303
46.0;0.0359;0.359
47.0;0.0403;0.403
48.0;0.0403;0.403
49.0;0.0403;0.403
50.0;0.039900000000000005;0.399
51.0;0.040100000000000004;0.401
52.0;0.0403;0.403
53.0;0.0444;0.444
54.0;0.05;0.5
55.0;0.05;0.5
56.0;0.0495;0.495
57.0;0.049800000000000004;0.498
58.0;0.049800000000000004;0.498
59.0;0.049800000000000004;0.498
60.0;0.056999999999999995;0.57
61.0;0.0596;0.596
62.0;0.0595;0.595
63.0;0.059;0.59
64.0;0.0593;0.593
65.0;0.0595;0.595
66.0;0.0591;0.591
67.0;0.0596;0.596
68.0;0.0621;0.621
69.0;0.06820000000000001;0.682
70.0;0.0685;0.685
71.0;0.06870000000000001;0.687
72.0;0.06830000000000001;0.683
73.0;0.0688;0.688
74.0;0.0689;0.689
75.0;0.0756;0.756
76.0;0.07680000000000001;0.768
77.0;0.07730000000000001;0.773
78.0;0.0776;0.776
79.0;0.0771;0.771
80.0;0.0776;0.776
81.0;0.0776;0.776
82.0;0.07740000000000001;0.774
83.0;0.0853;0.853
84.0;0.0854;0.854
85.0;0.0852;0.852
86.0;0.08560000000000001;0.856
87.0;0.08510000000000001;0.851
88.0;0.0845;0.845
89.0;0.0845;0.845
90.0;0.08860000000000001;0.886
91.0;0.0898;0.898
92.0;0.0892;0.892
93.0;0.08990000000000001;0.899
94.0;0.0897;0.897
95.0;0.0889;0.889
