Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
10_25_750_measured_optical_power_vs_acquisition_duration.jpg;10_25_750_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.27537373737373727;0.2174097013341578;0.618;-0.002;225.14855843298372;-0.6493506493506551

Result table values
power_instruction;750_power;750_error
0.0;-1.0;-0.1
1.0;6.0;0.6
5.0;33.0;3.3
10.0;67.0;6.7
20.0;135.0;13.5
30.0;202.0;20.2
40.0;269.0;26.9
50.0;336.0;33.6
60.0;397.0;39.7
70.0;463.0;46.3
80.0;523.0;52.3
90.0;580.0;58.0
100.0;613.0;61.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;6.000000000000001E-4;0.006
11.0;6.000000000000001E-4;0.006
12.0;6.000000000000001E-4;0.006
13.0;6.000000000000001E-4;0.006
14.0;5.0E-4;0.005
15.0;5.0E-4;0.005
16.0;0.0014000000000000002;0.014
17.0;0.0033000000000000004;0.033
18.0;0.0033000000000000004;0.033
19.0;0.0033000000000000004;0.033
20.0;0.0033000000000000004;0.033
21.0;0.0033000000000000004;0.033
22.0;0.0033000000000000004;0.033
23.0;0.005000000000000001;0.05
24.0;0.006700000000000001;0.067
25.0;0.006700000000000001;0.067
26.0;0.006700000000000001;0.067
27.0;0.006700000000000001;0.067
28.0;0.006700000000000001;0.067
29.0;0.006700000000000001;0.067
30.0;0.0077;0.077
31.0;0.013500000000000002;0.135
32.0;0.013500000000000002;0.135
33.0;0.013500000000000002;0.135
34.0;0.013500000000000002;0.135
35.0;0.013500000000000002;0.135
36.0;0.013500000000000002;0.135
37.0;0.013500000000000002;0.135
38.0;0.0188;0.188
39.0;0.020200000000000003;0.202
40.0;0.020200000000000003;0.202
41.0;0.020300000000000002;0.203
42.0;0.020300000000000002;0.203
43.0;0.020300000000000002;0.203
44.0;0.0204;0.204
45.0;0.022000000000000002;0.22
46.0;0.026800000000000004;0.268
47.0;0.026900000000000004;0.269
48.0;0.026900000000000004;0.269
49.0;0.027000000000000003;0.27
50.0;0.027000000000000003;0.27
51.0;0.027000000000000003;0.27
52.0;0.026800000000000004;0.268
53.0;0.027200000000000002;0.272
54.0;0.0335;0.335
55.0;0.0335;0.335
56.0;0.033600000000000005;0.336
57.0;0.033600000000000005;0.336
58.0;0.0333;0.333
59.0;0.0335;0.335
60.0;0.0335;0.335
61.0;0.0335;0.335
62.0;0.037200000000000004;0.372
63.0;0.040100000000000004;0.401
64.0;0.039700000000000006;0.397
65.0;0.039900000000000005;0.399
66.0;0.04000000000000001;0.4
67.0;0.039900000000000005;0.399
68.0;0.039900000000000005;0.399
69.0;0.0439;0.439
70.0;0.046000000000000006;0.46
71.0;0.0461;0.461
72.0;0.04630000000000001;0.463
73.0;0.046200000000000005;0.462
74.0;0.04630000000000001;0.463
75.0;0.04630000000000001;0.463
76.0;0.048600000000000004;0.486
77.0;0.052300000000000006;0.523
78.0;0.052300000000000006;0.523
79.0;0.052300000000000006;0.523
80.0;0.0524;0.524
81.0;0.0524;0.524
82.0;0.0522;0.522
83.0;0.052300000000000006;0.523
84.0;0.0569;0.569
85.0;0.057999999999999996;0.58
86.0;0.057999999999999996;0.58
87.0;0.0581;0.581
88.0;0.0581;0.581
89.0;0.0577;0.577
90.0;0.057999999999999996;0.58
91.0;0.0604;0.604
92.0;0.0615;0.615
93.0;0.0618;0.618
94.0;0.061700000000000005;0.617
95.0;0.0613;0.613
96.0;0.061700000000000005;0.617
97.0;0.0616;0.616
98.0;0.0618;0.618
