Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.30638857142857145;0.25133971531248583;0.675;-0.001;220.63486142713268;-0.29673590504450953

Result table values
power_instruction;633_power;633_error
0.0;-1.0;-0.1
1.0;6.0;0.6
5.0;33.0;3.3
10.0;67.0;6.7
20.0;136.0;13.6
30.0;204.0;20.4
40.0;273.0;27.3
50.0;342.0;34.2
60.0;407.0;40.7
70.0;477.0;47.7
80.0;543.0;54.3
90.0;601.0;60.1
100.0;674.0;67.4
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;-1.0E-4;-0.001
11.0;-1.0E-4;-0.001
12.0;-1.0E-4;-0.001
13.0;-1.0E-4;-0.001
14.0;-1.0E-4;-0.001
15.0;-1.0E-4;-0.001
16.0;-1.0E-4;-0.001
17.0;-1.0E-4;-0.001
18.0;-1.0E-4;-0.001
19.0;-1.0E-4;-0.001
20.0;-1.0E-4;-0.001
21.0;-1.0E-4;-0.001
22.0;-1.0E-4;-0.001
23.0;-1.0E-4;-0.001
24.0;-0.0;-0.0
25.0;1.0E-4;0.001
26.0;6.000000000000001E-4;0.006
27.0;6.000000000000001E-4;0.006
28.0;6.000000000000001E-4;0.006
29.0;6.000000000000001E-4;0.006
30.0;6.000000000000001E-4;0.006
31.0;6.000000000000001E-4;0.006
32.0;6.000000000000001E-4;0.006
33.0;6.000000000000001E-4;0.006
34.0;6.000000000000001E-4;0.006
35.0;8.0E-4;0.008
36.0;0.0033000000000000004;0.033
37.0;0.0033000000000000004;0.033
38.0;0.0033000000000000004;0.033
39.0;0.0033000000000000004;0.033
40.0;0.0033000000000000004;0.033
41.0;0.0033000000000000004;0.033
42.0;0.0033000000000000004;0.033
43.0;0.0033000000000000004;0.033
44.0;0.0033000000000000004;0.033
45.0;0.0033000000000000004;0.033
46.0;0.006200000000000001;0.062
47.0;0.006700000000000001;0.067
48.0;0.006700000000000001;0.067
49.0;0.006700000000000001;0.067
50.0;0.006700000000000001;0.067
51.0;0.006700000000000001;0.067
52.0;0.006700000000000001;0.067
53.0;0.0068000000000000005;0.068
54.0;0.006700000000000001;0.067
55.0;0.006700000000000001;0.067
56.0;0.011300000000000001;0.113
57.0;0.013600000000000001;0.136
58.0;0.013400000000000002;0.134
59.0;0.013600000000000001;0.136
60.0;0.013600000000000001;0.136
61.0;0.013500000000000002;0.135
62.0;0.013400000000000002;0.134
63.0;0.013600000000000001;0.136
64.0;0.013600000000000001;0.136
