Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.190926605504587;1.1480002887168252;3.373;-0.0;283.2248422706859;0.0

Result table values
power_instruction;405_power;405_error
1.0;33.0;3.3
5.0;164.0;16.4
10.0;332.0;33.2
20.0;667.0;66.7
30.0;1002.0;100.2
40.0;1325.0;132.5
50.0;1671.0;167.1
60.0;2021.0;202.1
70.0;2371.0;237.1
80.0;2722.0;272.2
90.0;2966.0;296.6
100.0;3300.0;330.0
time;measured_optical_power_error;measured_optical_power_average
0.0;8.0E-4;0.008
1.0;8.0E-4;0.008
2.0;8.0E-4;0.008
3.0;7.000000000000001E-4;0.007
4.0;8.0E-4;0.008
5.0;8.0E-4;0.008
6.0;9.0E-4;0.009
7.0;8.0E-4;0.008
8.0;9.0E-4;0.009
9.0;8.0E-4;0.008
10.0;8.0E-4;0.008
11.0;8.0E-4;0.008
12.0;9.0E-4;0.009
13.0;8.0E-4;0.008
14.0;-0.0;-0.0
15.0;0.0;0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;0.0027;0.027
20.0;0.0033000000000000004;0.033
21.0;0.0033000000000000004;0.033
22.0;0.0033000000000000004;0.033
23.0;0.0033000000000000004;0.033
24.0;0.0033000000000000004;0.033
25.0;0.0033000000000000004;0.033
26.0;0.0033000000000000004;0.033
27.0;0.0111;0.111
28.0;0.0165;0.165
29.0;0.0165;0.165
30.0;0.0164;0.164
31.0;0.0164;0.164
32.0;0.0165;0.165
33.0;0.0165;0.165
34.0;0.0166;0.166
35.0;0.027500000000000004;0.275
36.0;0.032900000000000006;0.329
37.0;0.0332;0.332
38.0;0.0332;0.332
39.0;0.033;0.33
40.0;0.0332;0.332
41.0;0.0333;0.333
42.0;0.0332;0.332
43.0;0.033100000000000004;0.331
44.0;0.0332;0.332
45.0;0.033400000000000006;0.334
46.0;0.054700000000000006;0.547
47.0;0.06680000000000001;0.668
48.0;0.06670000000000001;0.667
49.0;0.0659;0.659
50.0;0.06680000000000001;0.668
51.0;0.06670000000000001;0.667
52.0;0.06570000000000001;0.657
53.0;0.07440000000000001;0.744
54.0;0.0993;0.993
55.0;0.10049999999999999;1.005
56.0;0.10020000000000001;1.002
57.0;0.0985;0.985
58.0;0.1011;1.011
59.0;0.1003;1.003
60.0;0.0995;0.995
61.0;0.1189;1.189
62.0;0.13340000000000002;1.334
63.0;0.13360000000000002;1.336
64.0;0.1325;1.325
65.0;0.1308;1.308
66.0;0.1319;1.319
67.0;0.13460000000000003;1.346
68.0;0.163;1.63
69.0;0.1684;1.684
70.0;0.16710000000000003;1.671
71.0;0.1676;1.676
72.0;0.16810000000000003;1.681
73.0;0.1688;1.688
74.0;0.1824;1.824
75.0;0.1996;1.996
76.0;0.2021;2.021
77.0;0.2041;2.041
78.0;0.2015;2.015
79.0;0.2008;2.008
80.0;0.2029;2.029
81.0;0.2344;2.344
82.0;0.2364;2.364
83.0;0.2371;2.371
84.0;0.2359;2.359
85.0;0.2344;2.344
86.0;0.2364;2.364
87.0;0.24260000000000004;2.426
88.0;0.2697;2.697
89.0;0.2716;2.716
90.0;0.2722;2.722
91.0;0.2682;2.682
92.0;0.2701;2.701
93.0;0.2696;2.696
94.0;0.2649;2.649
95.0;0.29910000000000003;2.991
96.0;0.3058;3.058
97.0;0.29660000000000003;2.966
98.0;0.3064;3.064
99.0;0.29960000000000003;2.996
100.0;0.3034;3.034
101.0;0.30790000000000006;3.079
102.0;0.3065;3.065
103.0;0.3054;3.054
104.0;0.3088;3.088
105.0;0.33730000000000004;3.373
106.0;0.336;3.36
107.0;0.33;3.3
108.0;0.3327;3.327
