Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.067172131147541;0.06730757576807561;0.202;-0.007;311.14093959731537;-7.179487179487176

Result table values
power_instruction;488_power;488_error
1.0;2.0;0.2
5.0;10.0;1.0
10.0;20.0;2.0
20.0;41.0;4.1
30.0;61.0;6.1
40.0;82.0;8.2
50.0;103.0;10.3
60.0;123.0;12.3
70.0;143.0;14.3
80.0;164.0;16.4
90.0;183.0;18.3
100.0;200.0;20.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-7.000000000000001E-4;-0.007
1.0;-6.000000000000001E-4;-0.006
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;-0.0;-0.0
6.0;0.0;0.0
7.0;-0.0;-0.0
8.0;0.0;0.0
9.0;1.0E-4;0.001
10.0;2.0E-4;0.002
11.0;2.0E-4;0.002
12.0;2.0E-4;0.002
13.0;2.0E-4;0.002
14.0;2.0E-4;0.002
15.0;5.0E-4;0.005
16.0;0.001;0.01
17.0;0.001;0.01
18.0;0.001;0.01
19.0;0.001;0.01
20.0;0.001;0.01
21.0;0.001;0.01
22.0;0.001;0.01
23.0;0.0011;0.011
24.0;0.001;0.01
25.0;0.001;0.01
26.0;0.001;0.01
27.0;0.0017000000000000001;0.017
28.0;0.002;0.02
29.0;0.0021000000000000003;0.021
30.0;0.002;0.02
31.0;0.002;0.02
32.0;0.0021000000000000003;0.021
33.0;0.0015;0.015
34.0;0.0;0.0
35.0;-0.0;-0.0
36.0;0.0;0.0
37.0;0.0;0.0
38.0;0.0;0.0
39.0;0.0;0.0
40.0;-0.0;-0.0
41.0;0.0;0.0
42.0;0.0;0.0
43.0;0.0;0.0
44.0;-0.0;-0.0
45.0;0.0;0.0
46.0;-0.0;-0.0
47.0;0.0;0.0
48.0;0.0;0.0
49.0;0.0;0.0
50.0;0.0;0.0
51.0;0.0;0.0
52.0;0.0018;0.018
53.0;0.004200000000000001;0.042
54.0;0.0041;0.041
55.0;0.0041;0.041
56.0;0.004200000000000001;0.042
57.0;0.004200000000000001;0.042
58.0;0.0041;0.041
59.0;0.0041;0.041
60.0;0.0041;0.041
61.0;0.0041;0.041
62.0;0.0046;0.046
63.0;0.006200000000000001;0.062
64.0;0.0061;0.061
65.0;0.0061;0.061
66.0;0.0061;0.061
67.0;0.006200000000000001;0.062
68.0;0.0061;0.061
69.0;0.006200000000000001;0.062
70.0;0.006200000000000001;0.062
71.0;0.007000000000000001;0.07
72.0;0.0083;0.083
73.0;0.0082;0.082
74.0;0.0082;0.082
75.0;0.0082;0.082
76.0;0.0083;0.083
77.0;0.0082;0.082
78.0;0.0082;0.082
79.0;0.010100000000000001;0.101
80.0;0.0103;0.103
81.0;0.0102;0.102
82.0;0.0103;0.103
83.0;0.0103;0.103
84.0;0.0103;0.103
85.0;0.0103;0.103
86.0;0.010700000000000001;0.107
87.0;0.0122;0.122
88.0;0.0123;0.123
89.0;0.012400000000000001;0.124
90.0;0.0123;0.123
91.0;0.0123;0.123
92.0;0.0123;0.123
93.0;0.012400000000000001;0.124
94.0;0.0123;0.123
95.0;0.0123;0.123
96.0;0.013900000000000003;0.139
97.0;0.0143;0.143
98.0;0.0143;0.143
99.0;0.0143;0.143
100.0;0.014199999999999999;0.142
101.0;0.0143;0.143
102.0;0.0149;0.149
103.0;0.016300000000000002;0.163
104.0;0.0164;0.164
105.0;0.0164;0.164
106.0;0.0164;0.164
107.0;0.0164;0.164
108.0;0.0164;0.164
109.0;0.016800000000000002;0.168
110.0;0.0183;0.183
111.0;0.0183;0.183
112.0;0.0183;0.183
113.0;0.0182;0.182
114.0;0.0184;0.184
115.0;0.0184;0.184
116.0;0.0182;0.182
117.0;0.0198;0.198
118.0;0.020200000000000003;0.202
119.0;0.020200000000000003;0.202
120.0;0.020000000000000004;0.2
121.0;0.020100000000000003;0.201
