Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
09-25_405_measured_optical_power_vs_acquisition_duration.jpg;09-25_405_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.8677925925925922;1.585290362220366;4.618;0.0;247.2437260065358;0.0

Result table values
power_instruction;405_power;405_error
0.0;0.0;0.0
1.0;46.0;4.6
5.0;225.0;22.5
10.0;448.0;44.8
20.0;903.0;90.3
30.0;1365.0;136.5
40.0;1839.0;183.9
50.0;2295.0;229.5
60.0;2768.0;276.8
70.0;3233.0;323.3
80.0;3703.0;370.3
90.0;4158.0;415.8
100.0;4582.0;458.2
time;measured_optical_power_error;measured_optical_power_average
0.0;6.000000000000001E-4;0.006
1.0;5.0E-4;0.005
2.0;6.000000000000001E-4;0.006
3.0;5.0E-4;0.005
4.0;0.0;0.0
5.0;0.0;0.0
6.0;1.0E-4;0.001
7.0;0.0;0.0
8.0;0.0;0.0
9.0;1.0E-4;0.001
10.0;0.0;0.0
11.0;0.0;0.0
12.0;0.0;0.0
13.0;0.0;0.0
14.0;0.0;0.0
15.0;0.0024000000000000002;0.024
16.0;0.0045;0.045
17.0;0.0045;0.045
18.0;0.0045;0.045
19.0;0.0046;0.046
20.0;0.0045;0.045
21.0;0.0045;0.045
22.0;0.0046;0.046
23.0;0.0046;0.046
24.0;0.013400000000000002;0.134
25.0;0.022600000000000002;0.226
26.0;0.0223;0.223
27.0;0.022600000000000002;0.226
28.0;0.022600000000000002;0.226
29.0;0.022500000000000003;0.225
30.0;0.022500000000000003;0.225
31.0;0.022500000000000003;0.225
32.0;0.022600000000000002;0.226
33.0;0.022400000000000003;0.224
34.0;0.022500000000000003;0.225
35.0;0.031400000000000004;0.314
36.0;0.045000000000000005;0.45
37.0;0.0451;0.451
38.0;0.045000000000000005;0.45
39.0;0.044800000000000006;0.448
40.0;0.04530000000000001;0.453
41.0;0.04530000000000001;0.453
42.0;0.0451;0.451
43.0;0.045200000000000004;0.452
44.0;0.045500000000000006;0.455
45.0;0.05380000000000001;0.538
46.0;0.09040000000000001;0.904
47.0;0.09050000000000001;0.905
48.0;0.0907;0.907
49.0;0.0903;0.903
50.0;0.09140000000000001;0.914
51.0;0.09040000000000001;0.904
52.0;0.0902;0.902
53.0;0.09060000000000001;0.906
54.0;0.09160000000000001;0.916
55.0;0.0903;0.903
56.0;0.09140000000000001;0.914
57.0;0.1368;1.368
58.0;0.1361;1.361
59.0;0.1368;1.368
60.0;0.1365;1.365
61.0;0.1365;1.365
62.0;0.1361;1.361
63.0;0.1369;1.369
64.0;0.136;1.36
65.0;0.1361;1.361
66.0;0.1653;1.653
67.0;0.1825;1.825
68.0;0.1814;1.814
69.0;0.1825;1.825
70.0;0.1839;1.839
71.0;0.18180000000000002;1.818
72.0;0.1826;1.826
73.0;0.1827;1.827
74.0;0.1817;1.817
75.0;0.1824;1.824
76.0;0.1841;1.841
77.0;0.2251;2.251
78.0;0.2291;2.291
79.0;0.2308;2.308
80.0;0.22930000000000003;2.293
81.0;0.2295;2.295
82.0;0.2288;2.288
83.0;0.22940000000000002;2.294
84.0;0.2298;2.298
85.0;0.24;2.4
86.0;0.2785;2.785
87.0;0.2758;2.758
88.0;0.27730000000000005;2.773
89.0;0.2768;2.768
90.0;0.2755;2.755
91.0;0.2758;2.758
92.0;0.2786;2.786
93.0;0.2757;2.757
94.0;0.3057;3.057
95.0;0.3255;3.255
96.0;0.32420000000000004;3.242
97.0;0.32400000000000007;3.24
98.0;0.32330000000000003;3.233
99.0;0.3267;3.267
100.0;0.32230000000000003;3.223
101.0;0.3245;3.245
102.0;0.3266;3.266
103.0;0.32180000000000003;3.218
104.0;0.32420000000000004;3.242
105.0;0.3426;3.426
106.0;0.3678;3.678
107.0;0.37000000000000005;3.7
108.0;0.37220000000000003;3.722
109.0;0.3703;3.703
110.0;0.36840000000000006;3.684
111.0;0.3699;3.699
112.0;0.3709;3.709
113.0;0.36960000000000004;3.696
114.0;0.37220000000000003;3.722
115.0;0.3995;3.995
116.0;0.4188;4.188
117.0;0.41769999999999996;4.177
118.0;0.4175;4.175
119.0;0.41580000000000006;4.158
120.0;0.4192;4.192
121.0;0.41870000000000007;4.187
122.0;0.41420000000000007;4.142
123.0;0.41630000000000006;4.163
124.0;0.4196;4.196
125.0;0.4263;4.263
126.0;0.4571;4.571
127.0;0.4605000000000001;4.605
128.0;0.4611;4.611
129.0;0.4589000000000001;4.589
130.0;0.4582;4.582
131.0;0.46180000000000004;4.618
132.0;0.45810000000000006;4.581
133.0;0.4595;4.595
134.0;0.4603;4.603
