Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
09-25_633_measured_optical_power_vs_acquisition_duration.jpg;09-25_633_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.48242000000000035;0.38753962859845437;1.117;-0.001;231.74826914307016;-0.17921146953403522

Result table values
power_instruction;633_power;633_error
0.0;-1.0;-0.1
1.0;10.0;1.0
5.0;54.0;5.4
10.0;111.0;11.1
20.0;222.0;22.2
30.0;334.0;33.4
40.0;447.0;44.7
50.0;555.0;55.5
60.0;671.0;67.1
70.0;785.0;78.5
80.0;895.0;89.5
90.0;1010.0;101.0
100.0;1116.0;111.6
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;-1.0E-4;-0.001
11.0;-1.0E-4;-0.001
12.0;-1.0E-4;-0.001
13.0;-1.0E-4;-0.001
14.0;-1.0E-4;-0.001
15.0;-1.0E-4;-0.001
16.0;-1.0E-4;-0.001
17.0;-1.0E-4;-0.001
18.0;8.0E-4;0.008
19.0;0.001;0.01
20.0;0.001;0.01
21.0;0.001;0.01
22.0;0.001;0.01
23.0;0.001;0.01
24.0;0.001;0.01
25.0;0.001;0.01
26.0;0.001;0.01
27.0;0.0053;0.053
28.0;0.0054;0.054
29.0;0.0054;0.054
30.0;0.0054;0.054
31.0;0.0054;0.054
32.0;0.0054;0.054
33.0;0.0054;0.054
34.0;0.0054;0.054
35.0;0.0055000000000000005;0.055
36.0;0.0054;0.054
37.0;0.0054;0.054
38.0;0.0054;0.054
39.0;0.0054;0.054
40.0;0.0055000000000000005;0.055
41.0;0.0054;0.054
42.0;0.0088;0.088
43.0;0.011000000000000001;0.11
44.0;0.0111;0.111
45.0;0.0111;0.111
46.0;0.011000000000000001;0.11
47.0;0.011000000000000001;0.11
48.0;0.011000000000000001;0.11
49.0;0.011000000000000001;0.11
50.0;0.0155;0.155
51.0;0.0221;0.221
52.0;0.0221;0.221
53.0;0.0222;0.222
54.0;0.0222;0.222
55.0;0.022000000000000002;0.22
56.0;0.0222;0.222
57.0;0.0223;0.223
58.0;0.0222;0.222
59.0;0.025800000000000003;0.258
60.0;0.033400000000000006;0.334
61.0;0.033400000000000006;0.334
62.0;0.0333;0.333
63.0;0.033400000000000006;0.334
64.0;0.0333;0.333
65.0;0.0332;0.332
66.0;0.0335;0.335
67.0;0.0367;0.367
68.0;0.0441;0.441
69.0;0.044500000000000005;0.445
70.0;0.044700000000000004;0.447
71.0;0.044500000000000005;0.445
72.0;0.0444;0.444
73.0;0.0446;0.446
74.0;0.0454;0.454
75.0;0.05580000000000001;0.558
76.0;0.05550000000000001;0.555
77.0;0.055700000000000006;0.557
78.0;0.05550000000000001;0.555
79.0;0.055900000000000005;0.559
80.0;0.05580000000000001;0.558
81.0;0.055400000000000005;0.554
82.0;0.055900000000000005;0.559
83.0;0.05600000000000001;0.56
84.0;0.0655;0.655
85.0;0.06680000000000001;0.668
86.0;0.0671;0.671
87.0;0.06720000000000001;0.672
88.0;0.0671;0.671
89.0;0.0671;0.671
90.0;0.067;0.67
91.0;0.0669;0.669
92.0;0.06720000000000001;0.672
93.0;0.0669;0.669
94.0;0.0729;0.729
95.0;0.07840000000000001;0.784
96.0;0.07850000000000001;0.785
97.0;0.0777;0.777
98.0;0.07830000000000001;0.783
99.0;0.07840000000000001;0.784
100.0;0.0782;0.782
101.0;0.0832;0.832
102.0;0.0893;0.893
103.0;0.08940000000000001;0.894
104.0;0.08950000000000001;0.895
105.0;0.08960000000000001;0.896
106.0;0.08940000000000001;0.894
107.0;0.0889;0.889
108.0;0.08990000000000001;0.899
109.0;0.0897;0.897
110.0;0.0888;0.888
111.0;0.0898;0.898
112.0;0.0898;0.898
113.0;0.08940000000000001;0.894
114.0;0.0893;0.893
115.0;0.0897;0.897
116.0;0.0898;0.898
117.0;0.0892;0.892
118.0;0.0854;0.854
119.0;0.07850000000000001;0.785
120.0;0.07830000000000001;0.783
121.0;0.0787;0.787
122.0;0.07840000000000001;0.784
123.0;0.0782;0.782
124.0;0.08020000000000001;0.802
125.0;0.0898;0.898
126.0;0.0889;0.889
127.0;0.08950000000000001;0.895
128.0;0.08990000000000001;0.899
129.0;0.0892;0.892
130.0;0.08950000000000001;0.895
131.0;0.0897;0.897
132.0;0.08950000000000001;0.895
133.0;0.08990000000000001;0.899
134.0;0.09190000000000001;0.919
135.0;0.10060000000000001;1.006
136.0;0.1008;1.008
137.0;0.101;1.01
138.0;0.1008;1.008
139.0;0.0999;0.999
140.0;0.1011;1.011
141.0;0.1013;1.013
142.0;0.1001;1.001
143.0;0.10460000000000001;1.046
144.0;0.11170000000000001;1.117
145.0;0.11100000000000002;1.11
146.0;0.1111;1.111
147.0;0.11130000000000001;1.113
148.0;0.11160000000000002;1.116
149.0;0.11140000000000001;1.114
