Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
SP8 STED QC_measured_optical_power_vs_acquisition_duration.jpg;SP8 STED QC_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2477590361445784;0.20531040511316972;0.642;-0.001;259.52635673993376;-0.31201248049921304

Result table values
power_instruction;405_power;405_error
1.0;7.0;0.7
5.0;32.0;3.2
10.0;63.0;6.3
20.0;125.0;12.5
30.0;188.0;18.8
40.0;250.0;25.0
50.0;316.0;31.6
60.0;380.0;38.0
70.0;443.0;44.3
80.0;507.0;50.7
90.0;573.0;57.3
100.0;637.0;63.7
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-0.0;-0.0
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;0.0;0.0
6.0;-0.0;-0.0
7.0;3.0000000000000003E-4;0.003
8.0;8.0E-4;0.008
9.0;7.000000000000001E-4;0.007
10.0;8.0E-4;0.008
11.0;7.000000000000001E-4;0.007
12.0;8.0E-4;0.008
13.0;7.000000000000001E-4;0.007
14.0;0.0018;0.018
15.0;0.0032;0.032
16.0;0.0032;0.032
17.0;0.0032;0.032
18.0;0.0032;0.032
19.0;0.0032;0.032
20.0;0.0038;0.038
21.0;0.006200000000000001;0.062
22.0;0.006200000000000001;0.062
23.0;0.0063;0.063
24.0;0.0063;0.063
25.0;0.0063;0.063
26.0;0.0063;0.063
27.0;0.011500000000000002;0.115
28.0;0.0125;0.125
29.0;0.0125;0.125
30.0;0.0125;0.125
31.0;0.012400000000000001;0.124
32.0;0.0125;0.125
33.0;0.0155;0.155
34.0;0.018600000000000002;0.186
35.0;0.0187;0.187
36.0;0.0188;0.188
37.0;0.0187;0.187
38.0;0.018600000000000002;0.186
39.0;0.0187;0.187
40.0;0.0187;0.187
41.0;0.022500000000000003;0.225
42.0;0.0251;0.251
43.0;0.025;0.25
44.0;0.024900000000000002;0.249
45.0;0.0251;0.251
46.0;0.0252;0.252
47.0;0.027400000000000004;0.274
48.0;0.0315;0.315
49.0;0.0316;0.316
50.0;0.0316;0.316
51.0;0.031400000000000004;0.314
52.0;0.0316;0.316
53.0;0.0316;0.316
54.0;0.0368;0.368
55.0;0.038000000000000006;0.38
56.0;0.038000000000000006;0.38
57.0;0.0381;0.381
58.0;0.0379;0.379
59.0;0.038000000000000006;0.38
60.0;0.038000000000000006;0.38
61.0;0.039700000000000006;0.397
62.0;0.0444;0.444
63.0;0.0444;0.444
64.0;0.044300000000000006;0.443
65.0;0.0442;0.442
66.0;0.044300000000000006;0.443
67.0;0.044300000000000006;0.443
68.0;0.0479;0.479
69.0;0.0507;0.507
70.0;0.0507;0.507
71.0;0.050300000000000004;0.503
72.0;0.050800000000000005;0.508
73.0;0.050800000000000005;0.508
74.0;0.0524;0.524
75.0;0.0573;0.573
76.0;0.0574;0.574
77.0;0.0573;0.573
78.0;0.0573;0.573
79.0;0.06280000000000001;0.628
80.0;0.06420000000000001;0.642
81.0;0.0637;0.637
82.0;0.0641;0.641
