Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
SP8 STED QC_measured_optical_power_vs_acquisition_duration.jpg;SP8 STED QC_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.1542134831460675;0.11593898974559977;0.329;-0.0;213.3406193078323;0.0

Result table values
power_instruction;561_power;561_error
1.0;4.0;0.4
5.0;21.0;2.1
10.0;40.0;4.0
20.0;79.0;7.9
30.0;116.0;11.6
40.0;153.0;15.3
50.0;187.0;18.7
60.0;222.0;22.2
70.0;255.0;25.5
80.0;287.0;28.7
90.0;316.0;31.6
100.0;329.0;32.9
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;0.0;0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.0;0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;1.0E-4;0.001
8.0;5.0E-4;0.005
9.0;4.0E-4;0.004
10.0;5.0E-4;0.005
11.0;5.0E-4;0.005
12.0;5.0E-4;0.005
13.0;0.002;0.02
14.0;0.0021000000000000003;0.021
15.0;0.0021000000000000003;0.021
16.0;0.0021000000000000003;0.021
17.0;0.0021000000000000003;0.021
18.0;0.0021000000000000003;0.021
19.0;0.0021000000000000003;0.021
20.0;0.003;0.03
21.0;0.004;0.04
22.0;0.004;0.04
23.0;0.0039000000000000003;0.039
24.0;0.004;0.04
25.0;0.004;0.04
26.0;0.004;0.04
27.0;0.0074;0.074
28.0;0.0078000000000000005;0.078
29.0;0.0079;0.079
30.0;0.0078000000000000005;0.078
31.0;0.0079;0.079
32.0;0.0079;0.079
33.0;0.0083;0.083
34.0;0.011500000000000002;0.115
35.0;0.011600000000000001;0.116
36.0;0.011600000000000001;0.116
37.0;0.011500000000000002;0.115
38.0;0.011600000000000001;0.116
39.0;0.011600000000000001;0.116
40.0;0.012400000000000001;0.124
41.0;0.015300000000000001;0.153
42.0;0.015300000000000001;0.153
43.0;0.015300000000000001;0.153
44.0;0.015300000000000001;0.153
45.0;0.015300000000000001;0.153
46.0;0.015300000000000001;0.153
47.0;0.0154;0.154
48.0;0.0188;0.188
49.0;0.0188;0.188
50.0;0.0187;0.187
51.0;0.0188;0.188
52.0;0.0188;0.188
53.0;0.0187;0.187
54.0;0.020100000000000003;0.201
55.0;0.0222;0.222
56.0;0.0222;0.222
57.0;0.022000000000000002;0.22
58.0;0.0222;0.222
59.0;0.0222;0.222
60.0;0.022500000000000003;0.225
61.0;0.025500000000000002;0.255
62.0;0.0256;0.256
63.0;0.025500000000000002;0.255
64.0;0.025400000000000002;0.254
65.0;0.025500000000000002;0.255
66.0;0.025500000000000002;0.255
67.0;0.026900000000000004;0.269
68.0;0.0287;0.287
69.0;0.0286;0.286
70.0;0.028499999999999998;0.285
71.0;0.0287;0.287
72.0;0.0287;0.287
73.0;0.0286;0.286
74.0;0.0287;0.287
75.0;0.0288;0.288
76.0;0.0288;0.288
77.0;0.0286;0.286
78.0;0.0298;0.298
79.0;0.0316;0.316
80.0;0.031400000000000004;0.314
81.0;0.0316;0.316
82.0;0.0316;0.316
83.0;0.031900000000000005;0.319
84.0;0.0328;0.328
85.0;0.032900000000000006;0.329
86.0;0.032900000000000006;0.329
87.0;0.032600000000000004;0.326
88.0;0.0328;0.328
