Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
SP8 STED QC_measured_optical_power_vs_acquisition_duration.jpg;SP8 STED QC_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.19067088607594934;0.14766302723860417;0.439;0.0;230.23966009427076;0.0

Result table values
power_instruction;633_power;633_error
1.0;6.0;0.6
5.0;26.0;2.6
10.0;49.0;4.9
20.0;98.0;9.8
30.0;144.0;14.4
40.0;190.0;19.0
50.0;237.0;23.7
60.0;281.0;28.1
70.0;326.0;32.6
80.0;369.0;36.9
90.0;411.0;41.1
100.0;438.0;43.8
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;0.0;0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.0;0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;5.0E-4;0.005
8.0;6.000000000000001E-4;0.006
9.0;6.000000000000001E-4;0.006
10.0;6.000000000000001E-4;0.006
11.0;6.000000000000001E-4;0.006
12.0;0.0022;0.022
13.0;0.0026;0.026
14.0;0.0026;0.026
15.0;0.0026;0.026
16.0;0.0026;0.026
17.0;0.0026;0.026
18.0;0.0046;0.046
19.0;0.005000000000000001;0.05
20.0;0.004900000000000001;0.049
21.0;0.004900000000000001;0.049
22.0;0.005000000000000001;0.05
23.0;0.004900000000000001;0.049
24.0;0.0088;0.088
25.0;0.009800000000000001;0.098
26.0;0.0097;0.097
27.0;0.009800000000000001;0.098
28.0;0.009800000000000001;0.098
29.0;0.009800000000000001;0.098
30.0;0.009800000000000001;0.098
31.0;0.014000000000000002;0.14
32.0;0.014499999999999999;0.145
33.0;0.0144;0.144
34.0;0.014499999999999999;0.145
35.0;0.014499999999999999;0.145
36.0;0.014499999999999999;0.145
37.0;0.0181;0.181
38.0;0.019200000000000002;0.192
39.0;0.019200000000000002;0.192
40.0;0.019000000000000003;0.19
41.0;0.019200000000000002;0.192
42.0;0.019200000000000002;0.192
43.0;0.019500000000000003;0.195
44.0;0.0237;0.237
45.0;0.0237;0.237
46.0;0.0237;0.237
47.0;0.0236;0.236
48.0;0.0237;0.237
49.0;0.0237;0.237
50.0;0.026900000000000004;0.269
51.0;0.028100000000000003;0.281
52.0;0.028100000000000003;0.281
53.0;0.027900000000000005;0.279
54.0;0.028100000000000003;0.281
55.0;0.0282;0.282
56.0;0.0307;0.307
57.0;0.0325;0.325
58.0;0.032600000000000004;0.326
59.0;0.032600000000000004;0.326
60.0;0.0325;0.325
61.0;0.0327;0.327
62.0;0.032900000000000006;0.329
63.0;0.0366;0.366
64.0;0.0369;0.369
65.0;0.0369;0.369
66.0;0.0369;0.369
67.0;0.0369;0.369
68.0;0.037;0.37
69.0;0.037;0.37
70.0;0.038400000000000004;0.384
71.0;0.0411;0.411
72.0;0.0411;0.411
73.0;0.0409;0.409
74.0;0.0411;0.411
75.0;0.0436;0.436
76.0;0.043500000000000004;0.435
77.0;0.043800000000000006;0.438
78.0;0.0439;0.439
