Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.21942000000000003;0.28647980718809934;0.611;-0.002;279.372892170267;-0.6568144499178974

Result table values
power_instruction;405_power;405_error
1.0;7.0;0.7
5.0;30.0;3.0
100.0;611.0;61.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-2.0E-4;-0.002
2.0;-2.0E-4;-0.002
3.0;-2.0E-4;-0.002
4.0;-2.0E-4;-0.002
5.0;0.0;0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-1.0E-4;-0.001
10.0;-0.0;-0.0
11.0;-1.0E-4;-0.001
12.0;-1.0E-4;-0.001
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;5.0E-4;0.005
16.0;7.000000000000001E-4;0.007
17.0;7.000000000000001E-4;0.007
18.0;7.000000000000001E-4;0.007
19.0;7.000000000000001E-4;0.007
20.0;7.000000000000001E-4;0.007
21.0;7.000000000000001E-4;0.007
22.0;0.003;0.03
23.0;0.0031000000000000003;0.031
24.0;0.0031000000000000003;0.031
25.0;0.0031000000000000003;0.031
26.0;0.003;0.03
27.0;0.0031000000000000003;0.031
28.0;0.0031000000000000003;0.031
29.0;0.0031000000000000003;0.031
30.0;0.003;0.03
31.0;0.0031000000000000003;0.031
32.0;0.0294;0.294
33.0;0.0608;0.608
34.0;0.0606;0.606
35.0;0.0608;0.608
36.0;0.0608;0.608
37.0;0.060200000000000004;0.602
38.0;0.0608;0.608
39.0;0.061;0.61
40.0;0.060700000000000004;0.607
41.0;0.061;0.61
42.0;0.0608;0.608
43.0;0.0605;0.605
44.0;0.060700000000000004;0.607
45.0;0.061;0.61
46.0;0.0611;0.611
47.0;0.0608;0.608
48.0;0.0611;0.611
49.0;0.0609;0.609
