Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
0.5912;0.4257;1.2880;-0.0000;217.8652;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;488_power;488_error
1.0;13.0;1.0
5.0;68.0;7.0
10.0;134.0;13.0
20.0;272.0;27.0
30.0;404.0;40.0
40.0;528.0;53.0
50.0;661.0;66.0
60.0;942.0;94.0
70.0;919.0;92.0
80.0;1051.0;105.0
90.0;1188.0;119.0
100.0;1269.0;127.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;0.3330;0.0330
1.0000;0.0030;0.0000
2.0000;0.0030;0.0000
3.0000;0.0030;0.0000
4.0000;0.0020;0.0000
5.0000;-0.0000;-0.0000
6.0000;-0.0000;-0.0000
7.0000;-0.0000;-0.0000
8.0000;0.0070;0.0010
9.0000;0.0140;0.0010
10.0000;0.0130;0.0010
11.0000;0.0140;0.0010
12.0000;0.0130;0.0010
13.0000;0.0140;0.0010
14.0000;0.0140;0.0010
15.0000;0.0130;0.0010
16.0000;0.0360;0.0040
17.0000;0.0670;0.0070
18.0000;0.0680;0.0070
19.0000;0.0680;0.0070
20.0000;0.0680;0.0070
21.0000;0.0670;0.0070
22.0000;0.0680;0.0070
23.0000;0.0660;0.0070
24.0000;0.0680;0.0070
25.0000;0.1220;0.0120
26.0000;0.1320;0.0130
27.0000;0.1340;0.0130
28.0000;0.1340;0.0130
29.0000;0.1300;0.0130
30.0000;0.1360;0.0140
31.0000;0.1320;0.0130
32.0000;0.1570;0.0160
33.0000;0.2700;0.0270
34.0000;0.2680;0.0270
35.0000;0.2720;0.0270
36.0000;0.2640;0.0260
37.0000;0.2690;0.0270
38.0000;0.2710;0.0270
39.0000;0.2670;0.0270
40.0000;0.2760;0.0280
41.0000;0.3950;0.0400
42.0000;0.4000;0.0400
43.0000;0.4040;0.0400
44.0000;0.4000;0.0400
45.0000;0.3820;0.0380
46.0000;0.3850;0.0380
47.0000;0.3980;0.0400
48.0000;0.4170;0.0420
49.0000;0.5310;0.0530
50.0000;0.5330;0.0530
51.0000;0.5280;0.0530
52.0000;0.5310;0.0530
53.0000;0.5380;0.0540
54.0000;0.5410;0.0540
55.0000;0.5270;0.0530
56.0000;0.5610;0.0560
57.0000;0.6620;0.0660
58.0000;0.6750;0.0680
59.0000;0.6610;0.0660
60.0000;0.6640;0.0660
61.0000;0.6470;0.0650
62.0000;0.6700;0.0670
63.0000;0.6580;0.0660
64.0000;0.7230;0.0720
65.0000;0.7990;0.0800
66.0000;0.7790;0.0780
67.0000;0.7980;0.0800
68.0000;0.7770;0.0780
69.0000;0.8030;0.0800
70.0000;0.7990;0.0800
71.0000;0.7580;0.0760
72.0000;0.8190;0.0820
73.0000;0.9510;0.0950
74.0000;0.9430;0.0940
75.0000;0.9420;0.0940
76.0000;0.9220;0.0920
77.0000;0.9300;0.0930
78.0000;0.9550;0.0960
79.0000;0.9420;0.0940
80.0000;0.9320;0.0930
81.0000;0.8880;0.0890
82.0000;0.9290;0.0930
83.0000;0.9410;0.0940
84.0000;0.9360;0.0940
85.0000;0.9410;0.0940
86.0000;0.9070;0.0910
87.0000;0.9190;0.0920
88.0000;0.9390;0.0940
89.0000;0.9070;0.0910
90.0000;0.9270;0.0930
91.0000;0.9070;0.0910
92.0000;1.0040;0.1000
93.0000;1.0730;0.1070
94.0000;1.0420;0.1040
95.0000;1.0400;0.1040
96.0000;1.0510;0.1050
97.0000;1.0520;0.1050
98.0000;1.0350;0.1040
99.0000;1.0570;0.1060
100.0000;1.0280;0.1030
101.0000;1.0640;0.1060
102.0000;1.0610;0.1060
103.0000;1.1820;0.1180
104.0000;1.1790;0.1180
105.0000;1.1680;0.1170
106.0000;1.1880;0.1190
107.0000;1.1810;0.1180
108.0000;1.1900;0.1190
109.0000;1.1460;0.1150
110.0000;1.2730;0.1270
111.0000;1.2860;0.1290
112.0000;1.2880;0.1290
113.0000;1.2690;0.1270
114.0000;1.2770;0.1280
115.0000;1.2830;0.1280
