Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
0.3160;0.2438;0.7410;0.0000;234.4704;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;633_power;633_error
1.0;9.0;1.0
5.0;44.0;4.0
10.0;87.0;9.0
20.0;171.0;17.0
30.0;251.0;25.0
40.0;332.0;33.0
50.0;408.0;41.0
60.0;484.0;48.0
70.0;557.0;56.0
80.0;623.0;62.0
90.0;700.0;70.0
100.0;715.0;71.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;0.2810;0.0280
1.0000;0.0020;0.0000
2.0000;0.0020;0.0000
3.0000;0.0020;0.0000
4.0000;0.0020;0.0000
5.0000;0.0020;0.0000
6.0000;0.0000;0.0000
7.0000;-0.0000;-0.0000
8.0000;-0.0000;-0.0000
9.0000;-0.0000;-0.0000
10.0000;0.0080;0.0010
11.0000;0.0090;0.0010
12.0000;0.0090;0.0010
13.0000;0.0090;0.0010
14.0000;0.0090;0.0010
15.0000;0.0090;0.0010
16.0000;0.0130;0.0010
17.0000;0.0450;0.0040
18.0000;0.0420;0.0040
19.0000;0.0440;0.0040
20.0000;0.0440;0.0040
21.0000;0.0450;0.0040
22.0000;0.0430;0.0040
23.0000;0.0420;0.0040
24.0000;0.0700;0.0070
25.0000;0.0860;0.0090
26.0000;0.0860;0.0090
27.0000;0.0870;0.0090
28.0000;0.0860;0.0090
29.0000;0.0830;0.0080
30.0000;0.0850;0.0090
31.0000;0.0870;0.0090
32.0000;0.1190;0.0120
33.0000;0.1650;0.0160
34.0000;0.1670;0.0170
35.0000;0.1710;0.0170
36.0000;0.1690;0.0170
37.0000;0.1700;0.0170
38.0000;0.1630;0.0160
39.0000;0.1690;0.0170
40.0000;0.1700;0.0170
41.0000;0.2050;0.0210
42.0000;0.2490;0.0250
43.0000;0.2470;0.0250
44.0000;0.2510;0.0250
45.0000;0.2500;0.0250
46.0000;0.2500;0.0250
47.0000;0.2480;0.0250
48.0000;0.2450;0.0240
49.0000;0.2530;0.0250
50.0000;0.3280;0.0330
51.0000;0.3230;0.0320
52.0000;0.3230;0.0320
53.0000;0.3290;0.0330
54.0000;0.3320;0.0330
55.0000;0.3300;0.0330
56.0000;0.3210;0.0320
57.0000;0.3210;0.0320
58.0000;0.3310;0.0330
59.0000;0.3840;0.0380
60.0000;0.4140;0.0410
61.0000;0.3900;0.0390
62.0000;0.4080;0.0410
63.0000;0.4090;0.0410
64.0000;0.4010;0.0400
65.0000;0.4050;0.0400
66.0000;0.3890;0.0390
67.0000;0.4520;0.0450
68.0000;0.4880;0.0490
69.0000;0.4840;0.0480
70.0000;0.4840;0.0480
71.0000;0.4610;0.0460
72.0000;0.4890;0.0490
73.0000;0.4710;0.0470
74.0000;0.4840;0.0480
75.0000;0.5430;0.0540
76.0000;0.5450;0.0540
77.0000;0.5570;0.0560
78.0000;0.5580;0.0560
79.0000;0.5570;0.0560
80.0000;0.5510;0.0550
81.0000;0.5630;0.0560
82.0000;0.5550;0.0560
83.0000;0.5930;0.0590
84.0000;0.6270;0.0630
85.0000;0.6130;0.0610
86.0000;0.6230;0.0620
87.0000;0.6140;0.0610
88.0000;0.6160;0.0620
89.0000;0.6220;0.0620
90.0000;0.6210;0.0620
91.0000;0.6540;0.0650
92.0000;0.6950;0.0690
93.0000;0.7000;0.0700
94.0000;0.6750;0.0670
95.0000;0.6870;0.0690
96.0000;0.7100;0.0710
97.0000;0.7410;0.0740
98.0000;0.7290;0.0730
99.0000;0.7150;0.0710
100.0000;0.7360;0.0740
101.0000;0.7380;0.0740
