Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.17749541284403675;0.16053123237386896;0.482;0.0;271.5563136403576;0.0

Result table values
power_instruction;405_power;405_error
1.0;6.0;0.6
5.0;25.0;2.5
10.0;47.0;4.7
20.0;93.0;9.3
30.0;140.0;14.0
40.0;189.0;18.9
50.0;236.0;23.6
60.0;283.0;28.3
70.0;330.0;33.0
80.0;378.0;37.8
90.0;432.0;43.2
100.0;482.0;48.2
time;measured_optical_power_error;measured_optical_power_average
0.0;5.0E-4;0.005
1.0;4.0E-4;0.004
2.0;3.0000000000000003E-4;0.003
3.0;4.0E-4;0.004
4.0;4.0E-4;0.004
5.0;4.0E-4;0.004
6.0;4.0E-4;0.004
7.0;4.0E-4;0.004
8.0;4.0E-4;0.004
9.0;4.0E-4;0.004
10.0;4.0E-4;0.004
11.0;4.0E-4;0.004
12.0;4.0E-4;0.004
13.0;4.0E-4;0.004
14.0;0.0;0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;4.0E-4;0.004
19.0;6.000000000000001E-4;0.006
20.0;6.000000000000001E-4;0.006
21.0;6.000000000000001E-4;0.006
22.0;6.000000000000001E-4;0.006
23.0;6.000000000000001E-4;0.006
24.0;6.000000000000001E-4;0.006
25.0;0.0023;0.023
26.0;0.0024000000000000002;0.024
27.0;0.0024000000000000002;0.024
28.0;0.0025000000000000005;0.025
29.0;0.0024000000000000002;0.024
30.0;0.0025000000000000005;0.025
31.0;0.0025000000000000005;0.025
32.0;0.0025000000000000005;0.025
33.0;0.0044;0.044
34.0;0.0047;0.047
35.0;0.0047;0.047
36.0;0.0047;0.047
37.0;0.0048000000000000004;0.048
38.0;0.0047;0.047
39.0;0.0047;0.047
40.0;0.0047;0.047
41.0;0.007000000000000001;0.07
42.0;0.009300000000000001;0.093
43.0;0.009300000000000001;0.093
44.0;0.009300000000000001;0.093
45.0;0.009300000000000001;0.093
46.0;0.009300000000000001;0.093
47.0;0.009300000000000001;0.093
48.0;0.011300000000000001;0.113
49.0;0.013900000000000003;0.139
50.0;0.0141;0.141
51.0;0.014000000000000002;0.14
52.0;0.014000000000000002;0.14
53.0;0.0141;0.141
54.0;0.0141;0.141
55.0;0.014000000000000002;0.14
56.0;0.014000000000000002;0.14
57.0;0.016700000000000003;0.167
58.0;0.0189;0.189
59.0;0.0188;0.188
60.0;0.019000000000000003;0.19
61.0;0.0189;0.189
62.0;0.0188;0.188
63.0;0.0189;0.189
64.0;0.0188;0.188
65.0;0.020900000000000002;0.209
66.0;0.0237;0.237
67.0;0.0237;0.237
68.0;0.0236;0.236
69.0;0.0235;0.235
70.0;0.0236;0.236
71.0;0.0235;0.235
72.0;0.0235;0.235
73.0;0.027900000000000005;0.279
74.0;0.028399999999999998;0.284
75.0;0.028100000000000003;0.281
76.0;0.0283;0.283
77.0;0.0283;0.283
78.0;0.028000000000000004;0.28
79.0;0.028399999999999998;0.284
80.0;0.028399999999999998;0.284
81.0;0.028499999999999998;0.285
82.0;0.0333;0.333
83.0;0.0332;0.332
84.0;0.0332;0.332
85.0;0.033;0.33
86.0;0.0335;0.335
87.0;0.033400000000000006;0.334
88.0;0.033100000000000004;0.331
89.0;0.037200000000000004;0.372
90.0;0.038200000000000005;0.382
91.0;0.0378;0.378
92.0;0.0383;0.383
93.0;0.0383;0.383
94.0;0.038200000000000005;0.382
95.0;0.038000000000000006;0.38
96.0;0.0425;0.425
97.0;0.0429;0.429
98.0;0.0426;0.426
99.0;0.0432;0.432
100.0;0.0431;0.431
101.0;0.0444;0.444
102.0;0.048;0.48
103.0;0.0478;0.478
104.0;0.0476;0.476
105.0;0.048100000000000004;0.481
106.0;0.0482;0.482
107.0;0.048;0.48
108.0;0.0477;0.477
