Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.44013513513513536;0.28590510573657624;0.852;-0.0;193.57691126803797;0.0

Result table values
power_instruction;633_power;633_error
1.0;11.0;1.1
5.0;52.0;5.2
10.0;101.0;10.1
20.0;199.0;19.9
30.0;292.0;29.2
40.0;386.0;38.6
50.0;477.0;47.7
60.0;567.0;56.7
70.0;656.0;65.6
80.0;736.0;73.6
90.0;803.0;80.3
100.0;852.0;85.2
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;1.0E-4;0.001
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.0;0.001;0.01
13.0;0.0011;0.011
14.0;0.0011;0.011
15.0;0.0011;0.011
16.0;0.0011;0.011
17.0;0.0011;0.011
18.0;0.0011;0.011
19.0;0.0029000000000000002;0.029
20.0;0.0052;0.052
21.0;0.0052;0.052
22.0;0.0052;0.052
23.0;0.0052;0.052
24.0;0.0052;0.052
25.0;0.0052;0.052
26.0;0.0052;0.052
27.0;0.0070999999999999995;0.071
28.0;0.010100000000000001;0.101
29.0;0.010100000000000001;0.101
30.0;0.0102;0.102
31.0;0.010100000000000001;0.101
32.0;0.010000000000000002;0.1
33.0;0.010100000000000001;0.101
34.0;0.010100000000000001;0.101
35.0;0.010100000000000001;0.101
36.0;0.019500000000000003;0.195
37.0;0.020000000000000004;0.2
38.0;0.0199;0.199
39.0;0.019700000000000002;0.197
40.0;0.0199;0.199
41.0;0.0199;0.199
42.0;0.0198;0.198
43.0;0.020000000000000004;0.2
44.0;0.0199;0.199
45.0;0.0198;0.198
46.0;0.0292;0.292
47.0;0.0292;0.292
48.0;0.0291;0.291
49.0;0.0294;0.294
50.0;0.0294;0.294
51.0;0.0292;0.292
52.0;0.028999999999999998;0.29
53.0;0.0292;0.292
54.0;0.0293;0.293
55.0;0.0291;0.291
56.0;0.032400000000000005;0.324
57.0;0.038700000000000005;0.387
58.0;0.0383;0.383
59.0;0.0386;0.386
60.0;0.0386;0.386
61.0;0.038400000000000004;0.384
62.0;0.038700000000000005;0.387
63.0;0.038700000000000005;0.387
64.0;0.041800000000000004;0.418
65.0;0.0472;0.472
66.0;0.0477;0.477
67.0;0.0477;0.477
68.0;0.0475;0.475
69.0;0.0478;0.478
70.0;0.0478;0.478
71.0;0.0473;0.473
72.0;0.052000000000000005;0.52
73.0;0.056499999999999995;0.565
74.0;0.056299999999999996;0.563
75.0;0.0567;0.567
76.0;0.056799999999999996;0.568
77.0;0.056299999999999996;0.563
78.0;0.0564;0.564
79.0;0.0566;0.566
80.0;0.06430000000000001;0.643
81.0;0.0651;0.651
82.0;0.0656;0.656
83.0;0.0655;0.655
84.0;0.06480000000000001;0.648
85.0;0.06530000000000001;0.653
86.0;0.06530000000000001;0.653
87.0;0.0651;0.651
88.0;0.0656;0.656
89.0;0.0655;0.655
90.0;0.0651;0.651
91.0;0.06520000000000001;0.652
92.0;0.0655;0.655
93.0;0.0655;0.655
94.0;0.06520000000000001;0.652
95.0;0.06570000000000001;0.657
96.0;0.0656;0.656
97.0;0.06480000000000001;0.648
98.0;0.0654;0.654
99.0;0.0655;0.655
100.0;0.0655;0.655
101.0;0.0656;0.656
102.0;0.0656;0.656
103.0;0.0654;0.654
104.0;0.0651;0.651
105.0;0.0655;0.655
106.0;0.0655;0.655
107.0;0.06520000000000001;0.652
108.0;0.06580000000000001;0.658
109.0;0.0655;0.655
110.0;0.06480000000000001;0.648
111.0;0.0654;0.654
112.0;0.0656;0.656
113.0;0.0655;0.655
114.0;0.0656;0.656
115.0;0.0656;0.656
116.0;0.0654;0.654
117.0;0.0651;0.651
118.0;0.0656;0.656
119.0;0.0655;0.655
120.0;0.06520000000000001;0.652
121.0;0.0656;0.656
122.0;0.0654;0.654
123.0;0.06480000000000001;0.648
124.0;0.0654;0.654
125.0;0.0674;0.674
126.0;0.0736;0.736
127.0;0.0737;0.737
128.0;0.0736;0.736
129.0;0.0734;0.734
130.0;0.0732;0.732
131.0;0.0737;0.737
132.0;0.0737;0.737
133.0;0.0763;0.763
134.0;0.0814;0.814
135.0;0.08100000000000002;0.81
136.0;0.08030000000000001;0.803
137.0;0.0811;0.811
138.0;0.0813;0.813
139.0;0.08120000000000001;0.812
140.0;0.0837;0.837
141.0;0.085;0.85
142.0;0.0847;0.847
143.0;0.0844;0.844
144.0;0.08510000000000001;0.851
145.0;0.0852;0.852
146.0;0.08460000000000001;0.846
147.0;0.08510000000000001;0.851
