Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
561WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;561WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2691792452830189;0.21178783319590547;0.597;-0.001;222.15680089720672;-0.3355704697986628

Result table values
power_instruction;561_power;561_error
1.0;8.0;0.8
5.0;39.0;3.9
10.0;75.0;7.5
20.0;148.0;14.8
30.0;218.0;21.8
40.0;285.0;28.5
50.0;353.0;35.3
60.0;417.0;41.7
70.0;477.0;47.7
80.0;533.0;53.3
90.0;584.0;58.4
100.0;597.0;59.7
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-0.0;-0.0
5.0;1.0E-4;0.001
6.0;1.0E-4;0.001
7.0;2.0E-4;0.002
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;3.0000000000000003E-4;0.003
13.0;8.0E-4;0.008
14.0;8.0E-4;0.008
15.0;8.0E-4;0.008
16.0;8.0E-4;0.008
17.0;8.0E-4;0.008
18.0;0.0012000000000000001;0.012
19.0;0.0038;0.038
20.0;0.0039000000000000003;0.039
21.0;0.0039000000000000003;0.039
22.0;0.0039000000000000003;0.039
23.0;0.0039000000000000003;0.039
24.0;0.0039000000000000003;0.039
25.0;0.0039000000000000003;0.039
26.0;0.0061;0.061
27.0;0.0075;0.075
28.0;0.0075;0.075
29.0;0.0075;0.075
30.0;0.0075;0.075
31.0;0.0076;0.076
32.0;0.0075;0.075
33.0;0.0076;0.076
34.0;0.0076;0.076
35.0;0.0119;0.119
36.0;0.0148;0.148
37.0;0.0148;0.148
38.0;0.0148;0.148
39.0;0.0149;0.149
40.0;0.0148;0.148
41.0;0.0147;0.147
42.0;0.0148;0.148
43.0;0.0217;0.217
44.0;0.0218;0.218
45.0;0.0217;0.217
46.0;0.0218;0.218
47.0;0.0218;0.218
48.0;0.0216;0.216
49.0;0.0218;0.218
50.0;0.021900000000000003;0.219
51.0;0.0218;0.218
52.0;0.027800000000000005;0.278
53.0;0.0286;0.286
54.0;0.028399999999999998;0.284
55.0;0.028499999999999998;0.285
56.0;0.0287;0.287
57.0;0.0287;0.287
58.0;0.028499999999999998;0.285
59.0;0.0287;0.287
60.0;0.0313;0.313
61.0;0.0349;0.349
62.0;0.0352;0.352
63.0;0.0353;0.353
64.0;0.0352;0.352
65.0;0.0353;0.353
66.0;0.0353;0.353
67.0;0.0352;0.352
68.0;0.0378;0.378
69.0;0.0416;0.416
70.0;0.0416;0.416
71.0;0.0414;0.414
72.0;0.0417;0.417
73.0;0.0417;0.417
74.0;0.0413;0.413
75.0;0.0416;0.416
76.0;0.0417;0.417
77.0;0.0461;0.461
78.0;0.0478;0.478
79.0;0.0478;0.478
80.0;0.0477;0.477
81.0;0.0475;0.475
82.0;0.0478;0.478
83.0;0.0478;0.478
84.0;0.048600000000000004;0.486
85.0;0.053500000000000006;0.535
86.0;0.053500000000000006;0.535
87.0;0.0529;0.529
88.0;0.05330000000000001;0.533
89.0;0.053500000000000006;0.535
90.0;0.0534;0.534
91.0;0.053500000000000006;0.535
92.0;0.053500000000000006;0.535
93.0;0.056499999999999995;0.565
94.0;0.0581;0.581
95.0;0.0584;0.584
96.0;0.0584;0.584
97.0;0.0581;0.581
98.0;0.0586;0.586
99.0;0.05410000000000001;0.541
100.0;0.058499999999999996;0.585
101.0;0.0595;0.595
102.0;0.0595;0.595
103.0;0.0593;0.593
104.0;0.0597;0.597
105.0;0.0597;0.597
