Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488ArgonPOWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488ArgonPOWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.16315000000000002;0.13212943885111722;0.411;-0.002;253.1412810297272;-0.9779951100244544

Result table values
power_instruction;488_power;488_error
1.0;4.0;0.4
5.0;20.0;2.0
10.0;39.0;3.9
20.0;78.0;7.8
30.0;114.0;11.4
40.0;155.0;15.5
50.0;195.0;19.5
60.0;233.0;23.3
70.0;275.0;27.5
80.0;314.0;31.4
90.0;360.0;36.0
100.0;410.0;41.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;1.0E-4;0.001
2.0;2.0E-4;0.002
3.0;2.0E-4;0.002
4.0;2.0E-4;0.002
5.0;0.0;0.0
6.0;0.0;0.0
7.0;0.0;0.0
8.0;3.0000000000000003E-4;0.003
9.0;4.0E-4;0.004
10.0;4.0E-4;0.004
11.0;4.0E-4;0.004
12.0;4.0E-4;0.004
13.0;4.0E-4;0.004
14.0;0.0014000000000000002;0.014
15.0;0.002;0.02
16.0;0.002;0.02
17.0;0.002;0.02
18.0;0.0019;0.019
19.0;0.002;0.02
20.0;0.002;0.02
21.0;0.002;0.02
22.0;0.0023;0.023
23.0;0.0039000000000000003;0.039
24.0;0.0039000000000000003;0.039
25.0;0.0039000000000000003;0.039
26.0;0.0039000000000000003;0.039
27.0;0.0039000000000000003;0.039
28.0;0.0039000000000000003;0.039
29.0;0.0039000000000000003;0.039
30.0;0.006700000000000001;0.067
31.0;0.0078000000000000005;0.078
32.0;0.0077;0.077
33.0;0.0078000000000000005;0.078
34.0;0.0078000000000000005;0.078
35.0;0.0077;0.077
36.0;0.0077;0.077
37.0;0.009600000000000001;0.096
38.0;0.011500000000000002;0.115
39.0;0.011500000000000002;0.115
40.0;0.011600000000000001;0.116
41.0;0.011600000000000001;0.116
42.0;0.0114;0.114
43.0;0.011600000000000001;0.116
44.0;0.011600000000000001;0.116
45.0;0.011500000000000002;0.115
46.0;0.011600000000000001;0.116
47.0;0.0146;0.146
48.0;0.0155;0.155
49.0;0.015600000000000001;0.156
50.0;0.015600000000000001;0.156
51.0;0.0155;0.155
52.0;0.0155;0.155
53.0;0.015600000000000001;0.156
54.0;0.015600000000000001;0.156
55.0;0.0155;0.155
56.0;0.015600000000000001;0.156
57.0;0.019500000000000003;0.195
58.0;0.019500000000000003;0.195
59.0;0.0194;0.194
60.0;0.019500000000000003;0.195
61.0;0.019600000000000003;0.196
62.0;0.0194;0.194
63.0;0.019500000000000003;0.195
64.0;0.021400000000000002;0.214
65.0;0.023400000000000004;0.234
66.0;0.0235;0.235
67.0;0.0235;0.235
68.0;0.0235;0.235
69.0;0.0233;0.233
70.0;0.023400000000000004;0.234
71.0;0.023400000000000004;0.234
72.0;0.023200000000000002;0.232
73.0;0.0257;0.257
74.0;0.027500000000000004;0.275
75.0;0.027200000000000002;0.272
76.0;0.027500000000000004;0.275
77.0;0.027500000000000004;0.275
78.0;0.027500000000000004;0.275
79.0;0.027600000000000003;0.276
80.0;0.0317;0.317
81.0;0.0317;0.317
82.0;0.031400000000000004;0.314
83.0;0.0318;0.318
84.0;0.0318;0.318
85.0;0.0316;0.316
86.0;0.032100000000000004;0.321
87.0;0.0361;0.361
88.0;0.0362;0.362
89.0;0.036;0.36
90.0;0.0363;0.363
91.0;0.0363;0.363
92.0;0.038000000000000006;0.38
93.0;0.041;0.41
94.0;0.0411;0.411
95.0;0.040600000000000004;0.406
96.0;0.0408;0.408
97.0;0.041;0.41
98.0;0.0407;0.407
99.0;0.0408;0.408
