Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.3669512195121951;0.27972166506354157;0.839;-0.001;228.91326021934196;-0.23866348448686736

Result table values
power_instruction;633_power;633_error
1.0;10.0;1.0
5.0;49.0;4.9
10.0;96.0;9.6
20.0;192.0;19.2
30.0;285.0;28.5
40.0;377.0;37.7
50.0;466.0;46.6
60.0;551.0;55.1
70.0;640.0;64.0
80.0;722.0;72.2
90.0;796.0;79.6
100.0;830.0;83.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-0.0;-0.0
5.0;2.0E-4;0.002
6.0;0.001;0.01
7.0;0.001;0.01
8.0;0.001;0.01
9.0;0.001;0.01
10.0;0.001;0.01
11.0;0.0019;0.019
12.0;0.005000000000000001;0.05
13.0;0.004900000000000001;0.049
14.0;0.005000000000000001;0.05
15.0;0.005000000000000001;0.05
16.0;0.005000000000000001;0.05
17.0;0.005000000000000001;0.05
18.0;0.0097;0.097
19.0;0.0097;0.097
20.0;0.009600000000000001;0.096
21.0;0.0097;0.097
22.0;0.0097;0.097
23.0;0.009600000000000001;0.096
24.0;0.0122;0.122
25.0;0.0193;0.193
26.0;0.019100000000000002;0.191
27.0;0.019200000000000002;0.192
28.0;0.0193;0.193
29.0;0.0193;0.193
30.0;0.019200000000000002;0.192
31.0;0.021400000000000002;0.214
32.0;0.028499999999999998;0.285
33.0;0.0283;0.283
34.0;0.028499999999999998;0.285
35.0;0.0286;0.286
36.0;0.028499999999999998;0.285
37.0;0.028499999999999998;0.285
38.0;0.0286;0.286
39.0;0.0359;0.359
40.0;0.037500000000000006;0.375
41.0;0.037700000000000004;0.377
42.0;0.037700000000000004;0.377
43.0;0.0374;0.374
44.0;0.037700000000000004;0.377
45.0;0.037700000000000004;0.377
46.0;0.0429;0.429
47.0;0.046400000000000004;0.464
48.0;0.04650000000000001;0.465
49.0;0.0466;0.466
50.0;0.046000000000000006;0.46
51.0;0.046400000000000004;0.464
52.0;0.04650000000000001;0.465
53.0;0.0514;0.514
54.0;0.05510000000000001;0.551
55.0;0.05510000000000001;0.551
56.0;0.05500000000000001;0.55
57.0;0.05510000000000001;0.551
58.0;0.055200000000000006;0.552
59.0;0.05530000000000001;0.553
60.0;0.059;0.59
61.0;0.0639;0.639
62.0;0.064;0.64
63.0;0.0636;0.636
64.0;0.0639;0.639
65.0;0.064;0.64
66.0;0.064;0.64
67.0;0.0707;0.707
68.0;0.0721;0.721
69.0;0.0722;0.722
70.0;0.0715;0.715
71.0;0.0721;0.721
72.0;0.0721;0.721
73.0;0.0746;0.746
74.0;0.07950000000000002;0.795
75.0;0.0796;0.796
76.0;0.07970000000000001;0.797
77.0;0.0796;0.796
78.0;0.0839;0.839
79.0;0.0839;0.839
80.0;0.083;0.83
81.0;0.0838;0.838
