Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.19482584269662923;0.1809829830953471;0.503;-0.007;261.772254101906;-2.822580645161299

Result table values
power_instruction;561_power;561_error
0.0;-0.0;-0.0
1.0;6.0;0.6
5.0;28.0;2.8
10.0;56.0;5.6
20.0;111.0;11.1
30.0;167.0;16.7
40.0;221.0;22.1
50.0;275.0;27.5
60.0;327.0;32.7
70.0;377.0;37.7
80.0;426.0;42.6
90.0;471.0;47.1
100.0;500.0;50.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-7.000000000000001E-4;-0.007
1.0;-6.000000000000001E-4;-0.006
2.0;-6.000000000000001E-4;-0.006
3.0;-6.000000000000001E-4;-0.006
4.0;-6.000000000000001E-4;-0.006
5.0;-6.000000000000001E-4;-0.006
6.0;-6.000000000000001E-4;-0.006
7.0;-6.000000000000001E-4;-0.006
8.0;-6.000000000000001E-4;-0.006
9.0;0.0016;0.016
10.0;0.002;0.02
11.0;0.002;0.02
12.0;0.002;0.02
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;0.0;0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;-0.0;-0.0
24.0;0.0;0.0
25.0;0.0;0.0
26.0;-0.0;-0.0
27.0;0.0;0.0
28.0;-0.0;-0.0
29.0;0.0;0.0
30.0;0.0;0.0
31.0;0.0;0.0
32.0;1.0E-4;0.001
33.0;4.0E-4;0.004
34.0;5.0E-4;0.005
35.0;6.000000000000001E-4;0.006
36.0;6.000000000000001E-4;0.006
37.0;6.000000000000001E-4;0.006
38.0;6.000000000000001E-4;0.006
39.0;6.000000000000001E-4;0.006
40.0;6.000000000000001E-4;0.006
41.0;6.000000000000001E-4;0.006
42.0;6.000000000000001E-4;0.006
43.0;6.000000000000001E-4;0.006
44.0;6.000000000000001E-4;0.006
45.0;6.000000000000001E-4;0.006
46.0;6.000000000000001E-4;0.006
47.0;6.000000000000001E-4;0.006
48.0;6.000000000000001E-4;0.006
49.0;0.0011;0.011
50.0;0.0028000000000000004;0.028
51.0;0.0028000000000000004;0.028
52.0;0.0028000000000000004;0.028
53.0;0.0028000000000000004;0.028
54.0;0.0028000000000000004;0.028
55.0;0.0028000000000000004;0.028
56.0;0.0028000000000000004;0.028
57.0;0.0028000000000000004;0.028
58.0;0.0028000000000000004;0.028
59.0;0.0028000000000000004;0.028
60.0;0.0028000000000000004;0.028
61.0;0.0028000000000000004;0.028
62.0;0.0029000000000000002;0.029
63.0;0.0055000000000000005;0.055
64.0;0.005600000000000001;0.056
65.0;0.005600000000000001;0.056
66.0;0.005600000000000001;0.056
67.0;0.005600000000000001;0.056
68.0;0.005600000000000001;0.056
69.0;0.005600000000000001;0.056
70.0;0.005600000000000001;0.056
71.0;0.005600000000000001;0.056
72.0;0.005600000000000001;0.056
73.0;0.005600000000000001;0.056
74.0;0.0108;0.108
75.0;0.011200000000000002;0.112
76.0;0.0111;0.111
77.0;0.0111;0.111
78.0;0.011200000000000002;0.112
79.0;0.0111;0.111
80.0;0.0111;0.111
81.0;0.011200000000000002;0.112
82.0;0.0111;0.111
83.0;0.013800000000000002;0.138
84.0;0.0166;0.166
85.0;0.016700000000000003;0.167
86.0;0.0165;0.165
87.0;0.016700000000000003;0.167
88.0;0.016700000000000003;0.167
89.0;0.0166;0.166
90.0;0.0166;0.166
