Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
02-26_750_measured_optical_power_vs_acquisition_duration.jpg;02-26_750_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.1757938144329897;0.20071743365979755;0.603;-0.005;345.8597231996247;-1.6722408026755842

Result table values
power_instruction;750_power;750_error
0.0;-0.0;-0.0
1.0;6.0;0.6
5.0;33.0;3.3
10.0;66.0;6.6
20.0;133.0;13.3
30.0;198.0;19.8
40.0;260.0;26.0
50.0;327.0;32.7
60.0;388.0;38.8
70.0;449.0;44.9
80.0;508.0;50.8
90.0;562.0;56.2
100.0;598.0;59.8
time;measured_optical_power_error;measured_optical_power_average
0.0;-5.0E-4;-0.005
1.0;-5.0E-4;-0.005
2.0;-5.0E-4;-0.005
3.0;-5.0E-4;-0.005
4.0;2.0E-4;0.002
5.0;0.0012000000000000001;0.012
6.0;0.0012000000000000001;0.012
7.0;0.0012000000000000001;0.012
8.0;0.0012000000000000001;0.012
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;0.0;0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;4.0E-4;0.004
20.0;7.000000000000001E-4;0.007
21.0;6.000000000000001E-4;0.006
22.0;6.000000000000001E-4;0.006
23.0;1.0E-4;0.001
24.0;-0.0;-0.0
25.0;-0.0;-0.0
26.0;-0.0;-0.0
27.0;-0.0;-0.0
28.0;-0.0;-0.0
29.0;-0.0;-0.0
30.0;-0.0;-0.0
31.0;-0.0;-0.0
32.0;-0.0;-0.0
33.0;-0.0;-0.0
34.0;-0.0;-0.0
35.0;-0.0;-0.0
36.0;-0.0;-0.0
37.0;-0.0;-0.0
38.0;0.0;0.0
39.0;0.0;0.0
40.0;0.0;0.0
41.0;-0.0;-0.0
42.0;-0.0;-0.0
43.0;0.0;0.0
44.0;-0.0;-0.0
45.0;-0.0;-0.0
46.0;0.0;0.0
47.0;0.0;0.0
48.0;-0.0;-0.0
49.0;0.0;0.0
50.0;0.0;0.0
51.0;-0.0;-0.0
52.0;-0.0;-0.0
53.0;0.0;0.0
54.0;-0.0;-0.0
55.0;-0.0;-0.0
56.0;-0.0;-0.0
57.0;-0.0;-0.0
58.0;-0.0;-0.0
59.0;0.0;0.0
60.0;0.0;0.0
61.0;-0.0;-0.0
62.0;-0.0;-0.0
63.0;-0.0;-0.0
64.0;-0.0;-0.0
65.0;-0.0;-0.0
66.0;-0.0;-0.0
67.0;-0.0;-0.0
68.0;-0.0;-0.0
69.0;-0.0;-0.0
70.0;-0.0;-0.0
71.0;0.0031000000000000003;0.031
72.0;0.019700000000000002;0.197
73.0;0.019700000000000002;0.197
74.0;0.0198;0.198
75.0;0.019700000000000002;0.197
76.0;0.019700000000000002;0.197
77.0;0.019500000000000003;0.195
78.0;0.019700000000000002;0.197
79.0;0.019700000000000002;0.197
80.0;0.019500000000000003;0.195
81.0;0.019700000000000002;0.197
82.0;0.0198;0.198
83.0;0.019700000000000002;0.197
84.0;0.0131;0.131
85.0;0.0033000000000000004;0.033
86.0;0.0033000000000000004;0.033
87.0;0.0033000000000000004;0.033
88.0;0.0033000000000000004;0.033
89.0;0.0033000000000000004;0.033
90.0;0.0033000000000000004;0.033
91.0;0.0033000000000000004;0.033
92.0;0.0033000000000000004;0.033
93.0;0.0033000000000000004;0.033
94.0;0.0033000000000000004;0.033
95.0;0.0033000000000000004;0.033
96.0;0.0033000000000000004;0.033
97.0;0.0033000000000000004;0.033
98.0;0.0033000000000000004;0.033
99.0;0.0033000000000000004;0.033
