"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__405_error","metricsArrayString__power_instruction","metricsArrayString__405_power","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-24T15:00:40Z","0.001","0","0.005","powerMeter","1","1","7","0","0.17571335843282196","320.8782900114436","0.55","0.17140455341506128","0"
"","0.001","1","0.005","","3","5","30","","","","","",""
"","0.001","2","0.006","","6","10","57","","","","","",""
"","0.001","3","0.005","","11","20","113","","","","","",""
"","0.001","4","0.005","","17","30","169","","","","","",""
"","0.001","5","0.006","","22","40","224","","","","","",""
"","0","6","0.005","","28","50","278","","","","","",""
"","0","7","0.003","","33","60","333","","","","","",""
"","0","8","0","","39","70","390","","","","","",""
"","0","9","0","","45","80","445","","","","","",""
"","0","10","0","","50","90","496","","","","","",""
"","0","11","0.001","","55","100","547","","","","","",""
"","0","12","0","","","","","","","","","",""
"","0","13","0","","","","","","","","","",""
"","0","14","0","","","","","","","","","",""
"","0","15","0","","","","","","","","","",""
"","0","16","0.001","","","","","","","","","",""
"","0","17","0","","","","","","","","","",""
"","0","18","0.001","","","","","","","","","",""
"","0","19","0","","","","","","","","","",""
"","0","20","0","","","","","","","","","",""
"","0","21","0.001","","","","","","","","","",""
"","0","22","0.001","","","","","","","","","",""
"","0","23","0","","","","","","","","","",""
"","0","24","0","","","","","","","","","",""
"","0","25","0.001","","","","","","","","","",""
"","0","26","0","","","","","","","","","",""
"","0","27","0","","","","","","","","","",""
"","0","28","0.001","","","","","","","","","",""
"","0","29","0.001","","","","","","","","","",""
"","0","30","0","","","","","","","","","",""
"","0","31","0.001","","","","","","","","","",""
"","0","32","0","","","","","","","","","",""
"","0","33","0","","","","","","","","","",""
"","0","34","0","","","","","","","","","",""
"","0","35","0.001","","","","","","","","","",""
"","0","36","0","","","","","","","","","",""
"","0","37","0","","","","","","","","","",""
"","0","38","0","","","","","","","","","",""
"","0.008","39","0.085","","","","","","","","","",""
"","0.01","40","0.096","","","","","","","","","",""
"","0.01","41","0.095","","","","","","","","","",""
"","0.01","42","0.097","","","","","","","","","",""
"","0.01","43","0.095","","","","","","","","","",""
"","0.01","44","0.096","","","","","","","","","",""
"","0.01","45","0.096","","","","","","","","","",""
"","0.01","46","0.096","","","","","","","","","",""
"","0.01","47","0.097","","","","","","","","","",""
"","0.008","48","0.081","","","","","","","","","",""
"","0","49","0","","","","","","","","","",""
"","0","50","0.001","","","","","","","","","",""
"","0","51","0","","","","","","","","","",""
"","0","52","0.001","","","","","","","","","",""
"","0.001","53","0.008","","","","","","","","","",""
"","0.01","54","0.096","","","","","","","","","",""
"","0.01","55","0.096","","","","","","","","","",""
"","0.01","56","0.095","","","","","","","","","",""
"","0.007","57","0.071","","","","","","","","","",""
"","0.001","58","0.008","","","","","","","","","",""
"","0.001","59","0.008","","","","","","","","","",""
"","0.001","60","0.008","","","","","","","","","",""
"","0.001","61","0.007","","","","","","","","","",""
"","0.001","62","0.008","","","","","","","","","",""
"","0.001","63","0.008","","","","","","","","","",""
"","0.001","64","0.008","","","","","","","","","",""
"","0.001","65","0.007","","","","","","","","","",""
"","0.001","66","0.007","","","","","","","","","",""
"","0.001","67","0.007","","","","","","","","","",""
"","0.001","68","0.007","","","","","","","","","",""
"","0.001","69","0.007","","","","","","","","","",""
"","0.001","70","0.008","","","","","","","","","",""
"","0.001","71","0.009","","","","","","","","","",""
"","0.001","72","0.011","","","","","","","","","",""
"","0.001","73","0.013","","","","","","","","","",""
"","0.001","74","0.013","","","","","","","","","",""
"","0.001","75","0.014","","","","","","","","","",""
"","0.001","76","0.013","","","","","","","","","",""
"","0.002","77","0.022","","","","","","","","","",""
"","0.003","78","0.032","","","","","","","","","",""
"","0.003","79","0.029","","","","","","","","","",""
"","0.003","80","0.03","","","","","","","","","",""
"","0.003","81","0.03","","","","","","","","","",""
"","0.003","82","0.029","","","","","","","","","",""
"","0.004","83","0.045","","","","","","","","","",""
"","0.006","84","0.056","","","","","","","","","",""
"","0.006","85","0.057","","","","","","","","","",""
"","0.006","86","0.057","","","","","","","","","",""
"","0.006","87","0.057","","","","","","","","","",""
"","0.006","88","0.057","","","","","","","","","",""
"","0.006","89","0.057","","","","","","","","","",""
"","0.006","90","0.057","","","","","","","","","",""
"","0.006","91","0.058","","","","","","","","","",""
"","0.006","92","0.056","","","","","","","","","",""
"","0.006","93","0.065","","","","","","","","","",""
"","0.011","94","0.108","","","","","","","","","",""
"","0.011","95","0.114","","","","","","","","","",""
"","0.012","96","0.118","","","","","","","","","",""
"","0.011","97","0.114","","","","","","","","","",""
"","0.011","98","0.113","","","","","","","","","",""
"","0.011","99","0.113","","","","","","","","","",""
"","0.011","100","0.113","","","","","","","","","",""
"","0.011","101","0.113","","","","","","","","","",""
"","0.014","102","0.145","","","","","","","","","",""
"","0.017","103","0.166","","","","","","","","","",""
"","0.017","104","0.169","","","","","","","","","",""
"","0.017","105","0.168","","","","","","","","","",""
"","0.017","106","0.169","","","","","","","","","",""
"","0.017","107","0.169","","","","","","","","","",""
"","0.017","108","0.169","","","","","","","","","",""
"","0.017","109","0.17","","","","","","","","","",""
"","0.019","110","0.192","","","","","","","","","",""
"","0.024","111","0.241","","","","","","","","","",""
"","0.023","112","0.229","","","","","","","","","",""
"","0.022","113","0.224","","","","","","","","","",""
"","0.022","114","0.222","","","","","","","","","",""
"","0.022","115","0.223","","","","","","","","","",""
"","0.022","116","0.223","","","","","","","","","",""
"","0.022","117","0.224","","","","","","","","","",""
"","0.022","118","0.222","","","","","","","","","",""
"","0.022","119","0.223","","","","","","","","","",""
"","0.022","120","0.222","","","","","","","","","",""
"","0.022","121","0.22","","","","","","","","","",""
"","0.022","122","0.222","","","","","","","","","",""
"","0.022","123","0.222","","","","","","","","","",""
"","0.022","124","0.222","","","","","","","","","",""
"","0.022","125","0.222","","","","","","","","","",""
"","0.022","126","0.222","","","","","","","","","",""
