"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__561_power","metricsArrayString__561_error","metricsArrayString__power_instruction","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-24T15:05:31Z","0.015","0","0.146","powerMeter","6","1","1","0","0.18581357340764335","224.52067876294709","0.54","0.24051236749116617","0"
"","0","1","0.002","","31","3","5","","","","","",""
"","0","2","0.002","","63","6","10","","","","","",""
"","0","3","0.001","","120","12","20","","","","","",""
"","0","4","0","","181","18","30","","","","","",""
"","0","5","0","","239","24","40","","","","","",""
"","0","6","0","","294","29","50","","","","","",""
"","0","7","0","","351","35","60","","","","","",""
"","0","8","0","","409","41","70","","","","","",""
"","0","9","0.002","","458","46","80","","","","","",""
"","0.001","10","0.006","","511","51","90","","","","","",""
"","0.001","11","0.006","","535","54","100","","","","","",""
"","0.001","12","0.006","","","","","","","","","",""
"","0.001","13","0.006","","","","","","","","","",""
"","0.001","14","0.006","","","","","","","","","",""
"","0.001","15","0.009","","","","","","","","","",""
"","0.001","16","0.011","","","","","","","","","",""
"","0.001","17","0.012","","","","","","","","","",""
"","0.001","18","0.012","","","","","","","","","",""
"","0.002","19","0.024","","","","","","","","","",""
"","0.003","20","0.03","","","","","","","","","",""
"","0.003","21","0.031","","","","","","","","","",""
"","0.003","22","0.031","","","","","","","","","",""
"","0.004","23","0.045","","","","","","","","","",""
"","0.006","24","0.06","","","","","","","","","",""
"","0.006","25","0.064","","","","","","","","","",""
"","0.006","26","0.063","","","","","","","","","",""
"","0.006","27","0.063","","","","","","","","","",""
"","0.007","28","0.066","","","","","","","","","",""
"","0.009","29","0.095","","","","","","","","","",""
"","0.011","30","0.113","","","","","","","","","",""
"","0.012","31","0.121","","","","","","","","","",""
"","0.012","32","0.121","","","","","","","","","",""
"","0.012","33","0.12","","","","","","","","","",""
"","0.012","34","0.121","","","","","","","","","",""
"","0.018","35","0.176","","","","","","","","","",""
"","0.019","36","0.189","","","","","","","","","",""
"","0.018","37","0.183","","","","","","","","","",""
"","0.018","38","0.182","","","","","","","","","",""
"","0.018","39","0.181","","","","","","","","","",""
"","0.018","40","0.181","","","","","","","","","",""
"","0.018","41","0.184","","","","","","","","","",""
"","0.022","42","0.222","","","","","","","","","",""
"","0.024","43","0.236","","","","","","","","","",""
"","0.024","44","0.238","","","","","","","","","",""
"","0.024","45","0.239","","","","","","","","","",""
"","0.024","46","0.236","","","","","","","","","",""
"","0.026","47","0.26","","","","","","","","","",""
"","0.03","48","0.3","","","","","","","","","",""
"","0.029","49","0.289","","","","","","","","","",""
"","0.029","50","0.291","","","","","","","","","",""
"","0.03","51","0.296","","","","","","","","","",""
"","0.029","52","0.294","","","","","","","","","",""
"","0.029","53","0.294","","","","","","","","","",""
"","0.029","54","0.295","","","","","","","","","",""
"","0.034","55","0.338","","","","","","","","","",""
"","0.039","56","0.389","","","","","","","","","",""
"","0.037","57","0.37","","","","","","","","","",""
"","0.037","58","0.366","","","","","","","","","",""
"","0.035","59","0.352","","","","","","","","","",""
"","0.035","60","0.351","","","","","","","","","",""
"","0.035","61","0.351","","","","","","","","","",""
"","0.035","62","0.349","","","","","","","","","",""
"","0.038","63","0.38","","","","","","","","","",""
"","0.042","64","0.418","","","","","","","","","",""
"","0.041","65","0.409","","","","","","","","","",""
"","0.041","66","0.408","","","","","","","","","",""
"","0.041","67","0.409","","","","","","","","","",""
"","0.041","68","0.41","","","","","","","","","",""
"","0.041","69","0.41","","","","","","","","","",""
"","0.044","70","0.441","","","","","","","","","",""
"","0.046","71","0.458","","","","","","","","","",""
"","0.046","72","0.46","","","","","","","","","",""
"","0.045","73","0.455","","","","","","","","","",""
"","0.046","74","0.456","","","","","","","","","",""
"","0.046","75","0.457","","","","","","","","","",""
"","0.046","76","0.461","","","","","","","","","",""
"","0.046","77","0.462","","","","","","","","","",""
"","0.046","78","0.458","","","","","","","","","",""
"","0.046","79","0.459","","","","","","","","","",""
"","0.046","80","0.46","","","","","","","","","",""
"","0.047","81","0.47","","","","","","","","","",""
"","0.05","82","0.504","","","","","","","","","",""
"","0.051","83","0.51","","","","","","","","","",""
"","0.051","84","0.511","","","","","","","","","",""
"","0.05","85","0.505","","","","","","","","","",""
"","0.053","86","0.526","","","","","","","","","",""
"","0.054","87","0.538","","","","","","","","","",""
"","0.054","88","0.535","","","","","","","","","",""
"","0.054","89","0.54","","","","","","","","","",""
