"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__633_error","metricsArrayString__633_power","metricsArrayString__power_instruction","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-24T15:07:26Z","0.039","0","0.392","powerMeter","1","8","1","0","0.2682141499448851","225.3631982656033","0.756","0.3354584980237151","0"
"","0","1","0.002","","4","42","5","","","","","",""
"","0","2","0.002","","9","87","10","","","","","",""
"","0","3","0","","17","170","20","","","","","",""
"","0","4","0","","25","252","30","","","","","",""
"","0","5","0","","34","340","40","","","","","",""
"","0","6","0","","41","413","50","","","","","",""
"","0","7","0.001","","50","496","60","","","","","",""
"","0.001","8","0.008","","57","568","70","","","","","",""
"","0.001","9","0.008","","64","641","80","","","","","",""
"","0.001","10","0.008","","72","719","90","","","","","",""
"","0.001","11","0.008","","75","750","100","","","","","",""
"","0.001","12","0.012","","","","","","","","","",""
"","0.002","13","0.019","","","","","","","","","",""
"","0.003","14","0.027","","","","","","","","","",""
"","0.004","15","0.037","","","","","","","","","",""
"","0.005","16","0.045","","","","","","","","","",""
"","0.004","17","0.042","","","","","","","","","",""
"","0.004","18","0.042","","","","","","","","","",""
"","0.004","19","0.043","","","","","","","","","",""
"","0.005","20","0.048","","","","","","","","","",""
"","0.007","21","0.07","","","","","","","","","",""
"","0.008","22","0.079","","","","","","","","","",""
"","0.009","23","0.087","","","","","","","","","",""
"","0.009","24","0.087","","","","","","","","","",""
"","0.009","25","0.087","","","","","","","","","",""
"","0.009","26","0.087","","","","","","","","","",""
"","0.013","27","0.126","","","","","","","","","",""
"","0.016","28","0.156","","","","","","","","","",""
"","0.017","29","0.167","","","","","","","","","",""
"","0.017","30","0.169","","","","","","","","","",""
"","0.017","31","0.17","","","","","","","","","",""
"","0.017","32","0.17","","","","","","","","","",""
"","0.018","33","0.177","","","","","","","","","",""
"","0.024","34","0.236","","","","","","","","","",""
"","0.025","35","0.25","","","","","","","","","",""
"","0.025","36","0.254","","","","","","","","","",""
"","0.025","37","0.252","","","","","","","","","",""
"","0.026","38","0.259","","","","","","","","","",""
"","0.032","39","0.319","","","","","","","","","",""
"","0.034","40","0.336","","","","","","","","","",""
"","0.034","41","0.339","","","","","","","","","",""
"","0.034","42","0.34","","","","","","","","","",""
"","0.034","43","0.338","","","","","","","","","",""
"","0.039","44","0.395","","","","","","","","","",""
"","0.042","45","0.416","","","","","","","","","",""
"","0.041","46","0.413","","","","","","","","","",""
"","0.041","47","0.413","","","","","","","","","",""
"","0.042","48","0.416","","","","","","","","","",""
"","0.048","49","0.484","","","","","","","","","",""
"","0.05","50","0.496","","","","","","","","","",""
"","0.05","51","0.497","","","","","","","","","",""
"","0.05","52","0.496","","","","","","","","","",""
"","0.049","53","0.491","","","","","","","","","",""
"","0.049","54","0.494","","","","","","","","","",""
"","0.05","55","0.5","","","","","","","","","",""
"","0.054","56","0.54","","","","","","","","","",""
"","0.057","57","0.568","","","","","","","","","",""
"","0.057","58","0.574","","","","","","","","","",""
"","0.057","59","0.571","","","","","","","","","",""
"","0.057","60","0.568","","","","","","","","","",""
"","0.057","61","0.572","","","","","","","","","",""
"","0.062","62","0.616","","","","","","","","","",""
"","0.066","63","0.663","","","","","","","","","",""
"","0.065","64","0.651","","","","","","","","","",""
"","0.065","65","0.649","","","","","","","","","",""
"","0.064","66","0.641","","","","","","","","","",""
"","0.065","67","0.646","","","","","","","","","",""
"","0.066","68","0.663","","","","","","","","","",""
"","0.071","69","0.71","","","","","","","","","",""
"","0.072","70","0.718","","","","","","","","","",""
"","0.072","71","0.719","","","","","","","","","",""
"","0.071","72","0.713","","","","","","","","","",""
"","0.071","73","0.713","","","","","","","","","",""
"","0.074","74","0.735","","","","","","","","","",""
"","0.075","75","0.755","","","","","","","","","",""
"","0.075","76","0.75","","","","","","","","","",""
"","0.076","77","0.756","","","","","","","","","",""
"","0.076","78","0.756","","","","","","","","","",""
"","0.075","79","0.747","","","","","","","","","",""
