Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_750.csv_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_750.csv_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.3647218045112783;0.28947552758672473;0.832;-0.001;228.39325472087071;-0.24067388688326918

Result table values
power_instruction;750_power;750_error
0.0;-1.0;-0.1
1.0;8.0;0.8
5.0;45.0;4.5
10.0;91.0;9.1
20.0;181.0;18.1
30.0;267.0;26.7
40.0;356.0;35.6
50.0;439.0;43.9
60.0;524.0;52.4
70.0;609.0;60.9
80.0;690.0;69.0
90.0;768.0;76.8
100.0;821.0;82.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-0.0;-0.0
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;-1.0E-4;-0.001
11.0;1.0E-4;0.001
12.0;8.0E-4;0.008
13.0;8.0E-4;0.008
14.0;8.0E-4;0.008
15.0;9.0E-4;0.009
16.0;8.0E-4;0.008
17.0;8.0E-4;0.008
18.0;8.0E-4;0.008
19.0;8.0E-4;0.008
20.0;0.0044;0.044
21.0;0.0045;0.045
22.0;0.0045;0.045
23.0;0.0045;0.045
24.0;0.0045;0.045
25.0;0.0044;0.044
26.0;0.0044;0.044
27.0;0.0045;0.045
28.0;0.0058000000000000005;0.058
29.0;0.0089;0.089
30.0;0.0089;0.089
31.0;0.009;0.09
32.0;0.009;0.09
33.0;0.009;0.09
34.0;0.0089;0.089
35.0;0.0089;0.089
36.0;0.009;0.09
37.0;0.0091;0.091
38.0;0.0089;0.089
39.0;0.0089;0.089
40.0;0.0089;0.089
41.0;0.009;0.09
42.0;0.009;0.09
43.0;0.0122;0.122
44.0;0.0178;0.178
45.0;0.0179;0.179
46.0;0.0181;0.181
47.0;0.0178;0.178
48.0;0.0178;0.178
49.0;0.0179;0.179
50.0;0.018;0.18
51.0;0.0238;0.238
52.0;0.026600000000000002;0.266
53.0;0.0267;0.267
54.0;0.026800000000000004;0.268
55.0;0.027000000000000003;0.27
56.0;0.026500000000000003;0.265
57.0;0.0267;0.267
58.0;0.0267;0.267
59.0;0.026900000000000004;0.269
60.0;0.026800000000000004;0.268
61.0;0.026600000000000002;0.266
62.0;0.0267;0.267
63.0;0.0294;0.294
64.0;0.0358;0.358
65.0;0.0353;0.353
66.0;0.0354;0.354
67.0;0.0354;0.354
68.0;0.0356;0.356
69.0;0.0355;0.355
70.0;0.0354;0.354
71.0;0.0353;0.353
72.0;0.0354;0.354
73.0;0.039200000000000006;0.392
74.0;0.0439;0.439
75.0;0.0439;0.439
76.0;0.044000000000000004;0.44
77.0;0.044500000000000005;0.445
78.0;0.0439;0.439
79.0;0.0439;0.439
80.0;0.0439;0.439
81.0;0.0442;0.442
82.0;0.044300000000000006;0.443
83.0;0.0439;0.439
84.0;0.0519;0.519
85.0;0.052500000000000005;0.525
86.0;0.05310000000000001;0.531
87.0;0.052300000000000006;0.523
88.0;0.0524;0.524
89.0;0.052500000000000005;0.525
90.0;0.05280000000000001;0.528
91.0;0.053000000000000005;0.53
92.0;0.0524;0.524
93.0;0.05530000000000001;0.553
94.0;0.0611;0.611
95.0;0.0616;0.616
96.0;0.060700000000000004;0.607
97.0;0.0609;0.609
98.0;0.0611;0.611
99.0;0.0615;0.615
100.0;0.0614;0.614
101.0;0.0621;0.621
102.0;0.0692;0.692
103.0;0.0694;0.694
104.0;0.06999999999999999;0.7
105.0;0.06899999999999999;0.69
106.0;0.0692;0.692
107.0;0.0694;0.694
108.0;0.0698;0.698
109.0;0.0696;0.696
110.0;0.0692;0.692
111.0;0.07490000000000001;0.749
112.0;0.07700000000000001;0.77
113.0;0.0777;0.777
114.0;0.07680000000000001;0.768
115.0;0.07700000000000001;0.77
116.0;0.0771;0.771
117.0;0.0781;0.781
118.0;0.0767;0.767
119.0;0.07700000000000001;0.77
120.0;0.0771;0.771
121.0;0.07730000000000001;0.773
122.0;0.0819;0.819
123.0;0.0818;0.818
124.0;0.082;0.82
125.0;0.0821;0.821
126.0;0.0832;0.832
127.0;0.082;0.82
128.0;0.0821;0.821
129.0;0.0821;0.821
130.0;0.0826;0.826
131.0;0.0829;0.829
132.0;0.0821;0.821
