Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_790_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_790_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.19437606837606833;0.14532162632294202;0.426;-0.001;219.67724914255567;-0.47058823529411153

Result table values
power_instruction;790_power;790_error
0.0;-1.0;-0.1
1.0;3.0;0.3
5.0;22.0;2.2
10.0;45.0;4.5
20.0;92.0;9.2
30.0;137.0;13.7
40.0;182.0;18.2
50.0;227.0;22.7
60.0;272.0;27.2
70.0;315.0;31.5
80.0;356.0;35.6
90.0;400.0;40.0
100.0;418.0;41.8
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;0.0;0.0
8.0;3.0000000000000003E-4;0.003
9.0;3.0000000000000003E-4;0.003
10.0;3.0000000000000003E-4;0.003
11.0;3.0000000000000003E-4;0.003
12.0;3.0000000000000003E-4;0.003
13.0;3.0000000000000003E-4;0.003
14.0;3.0000000000000003E-4;0.003
15.0;3.0000000000000003E-4;0.003
16.0;7.000000000000001E-4;0.007
17.0;0.0022;0.022
18.0;0.0022;0.022
19.0;0.0022;0.022
20.0;0.0022;0.022
21.0;0.0023;0.023
22.0;0.0022;0.022
23.0;0.0022;0.022
24.0;0.0032;0.032
25.0;0.0046;0.046
26.0;0.0046;0.046
27.0;0.0045;0.045
28.0;0.0045;0.045
29.0;0.0046;0.046
30.0;0.0046;0.046
31.0;0.0045;0.045
32.0;0.0068000000000000005;0.068
33.0;0.0092;0.092
34.0;0.009300000000000001;0.093
35.0;0.0092;0.092
36.0;0.0092;0.092
37.0;0.0092;0.092
38.0;0.0092;0.092
39.0;0.009300000000000001;0.093
40.0;0.0092;0.092
41.0;0.018;0.18
42.0;0.0183;0.183
43.0;0.018600000000000002;0.186
44.0;0.0183;0.183
45.0;0.0158;0.158
46.0;0.013800000000000002;0.138
47.0;0.013800000000000002;0.138
48.0;0.013900000000000003;0.139
49.0;0.013700000000000002;0.137
50.0;0.013700000000000002;0.137
51.0;0.013800000000000002;0.138
52.0;0.013900000000000003;0.139
53.0;0.013700000000000002;0.137
54.0;0.014199999999999999;0.142
55.0;0.0183;0.183
56.0;0.0184;0.184
57.0;0.0184;0.184
58.0;0.0182;0.182
59.0;0.0183;0.183
60.0;0.0184;0.184
61.0;0.0185;0.185
62.0;0.0182;0.182
63.0;0.019200000000000002;0.192
64.0;0.0228;0.228
65.0;0.022900000000000004;0.229
66.0;0.022900000000000004;0.229
67.0;0.0227;0.227
68.0;0.0228;0.228
69.0;0.0228;0.228
70.0;0.023100000000000002;0.231
71.0;0.0227;0.227
72.0;0.0228;0.228
73.0;0.025400000000000002;0.254
74.0;0.027400000000000004;0.274
75.0;0.027300000000000005;0.273
76.0;0.027200000000000002;0.272
77.0;0.027200000000000002;0.272
78.0;0.027200000000000002;0.272
79.0;0.027500000000000004;0.275
80.0;0.027100000000000003;0.271
81.0;0.027800000000000005;0.278
82.0;0.0315;0.315
83.0;0.032;0.32
84.0;0.031400000000000004;0.314
85.0;0.0315;0.315
86.0;0.0315;0.315
87.0;0.0316;0.316
88.0;0.0318;0.318
89.0;0.0315;0.315
90.0;0.0332;0.332
91.0;0.0357;0.357
92.0;0.0361;0.361
93.0;0.0356;0.356
94.0;0.0355;0.355
95.0;0.0356;0.356
96.0;0.0358;0.358
97.0;0.036;0.36
98.0;0.0373;0.373
99.0;0.03950000000000001;0.395
100.0;0.039700000000000006;0.397
101.0;0.04000000000000001;0.4
102.0;0.039400000000000004;0.394
103.0;0.039400000000000004;0.394
104.0;0.03950000000000001;0.395
105.0;0.039700000000000006;0.397
106.0;0.0398;0.398
107.0;0.0416;0.416
108.0;0.0419;0.419
109.0;0.0422;0.422
110.0;0.0426;0.426
111.0;0.041800000000000004;0.418
112.0;0.042;0.42
113.0;0.0422;0.422
114.0;0.0424;0.424
115.0;0.042300000000000004;0.423
116.0;0.042;0.42
