Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_2025_09_16_750_measured_optical_power_vs_acquisition_duration.jpg;power_meter_2025_09_16_750_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.23532824427480925;0.23805788352431043;0.641;-0.001;272.81043207473715;-0.31250000000000444

Result table values
power_instruction;750_power;750_error
0.0;0.0;0.0
1.0;7.0;0.7
5.0;36.0;3.6
10.0;71.0;7.1
20.0;142.0;14.2
30.0;211.0;21.1
40.0;282.0;28.2
50.0;351.0;35.1
60.0;419.0;41.9
70.0;482.0;48.2
80.0;545.0;54.5
90.0;600.0;60.0
100.0;641.0;64.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;1.0E-4;0.001
9.0;1.0E-4;0.001
10.0;1.0E-4;0.001
11.0;1.0E-4;0.001
12.0;1.0E-4;0.001
13.0;1.0E-4;0.001
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;0.0;0.0
17.0;0.0;0.0
18.0;-0.0;-0.0
19.0;0.0;0.0
20.0;0.0;0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;-0.0;-0.0
25.0;-0.0;-0.0
26.0;0.0;0.0
27.0;0.0;0.0
28.0;-0.0;-0.0
29.0;0.0;0.0
30.0;0.0;0.0
31.0;0.0;0.0
32.0;0.0;0.0
33.0;0.0;0.0
34.0;0.0;0.0
35.0;7.000000000000001E-4;0.007
36.0;7.000000000000001E-4;0.007
37.0;7.000000000000001E-4;0.007
38.0;7.000000000000001E-4;0.007
39.0;7.000000000000001E-4;0.007
40.0;7.000000000000001E-4;0.007
41.0;7.000000000000001E-4;0.007
42.0;8.0E-4;0.008
43.0;0.0036;0.036
44.0;0.0036;0.036
45.0;0.0036;0.036
46.0;0.0036;0.036
47.0;0.0036;0.036
48.0;0.0036;0.036
49.0;0.0036;0.036
50.0;0.0045;0.045
51.0;0.0070999999999999995;0.071
52.0;0.0070999999999999995;0.071
53.0;0.0072;0.072
54.0;0.0070999999999999995;0.071
55.0;0.0070999999999999995;0.071
56.0;0.0070999999999999995;0.071
57.0;0.0070999999999999995;0.071
58.0;0.0070999999999999995;0.071
59.0;0.012;0.12
60.0;0.014199999999999999;0.142
61.0;0.014199999999999999;0.142
62.0;0.014199999999999999;0.142
63.0;0.0141;0.141
64.0;0.014199999999999999;0.142
65.0;0.014199999999999999;0.142
66.0;0.0143;0.143
67.0;0.0159;0.159
68.0;0.0212;0.212
69.0;0.0212;0.212
70.0;0.0211;0.211
71.0;0.0212;0.212
72.0;0.0213;0.213
73.0;0.0212;0.212
74.0;0.0212;0.212
75.0;0.0237;0.237
76.0;0.028000000000000004;0.28
77.0;0.0282;0.282
78.0;0.0282;0.282
79.0;0.0283;0.283
80.0;0.0282;0.282
81.0;0.028100000000000003;0.281
82.0;0.0316;0.316
83.0;0.0349;0.349
84.0;0.0351;0.351
85.0;0.0351;0.351
86.0;0.034999999999999996;0.35
87.0;0.034999999999999996;0.35
88.0;0.034999999999999996;0.35
89.0;0.04020000000000001;0.402
90.0;0.041800000000000004;0.418
91.0;0.0419;0.419
92.0;0.0419;0.419
93.0;0.0417;0.417
94.0;0.0417;0.417
95.0;0.041800000000000004;0.418
96.0;0.0434;0.434
97.0;0.0482;0.482
98.0;0.0484;0.484
99.0;0.0482;0.482
100.0;0.0483;0.483
101.0;0.0482;0.482
102.0;0.0478;0.478
103.0;0.0482;0.482
104.0;0.051500000000000004;0.515
105.0;0.05450000000000001;0.545
106.0;0.05460000000000001;0.546
107.0;0.05450000000000001;0.545
108.0;0.05460000000000001;0.546
109.0;0.05410000000000001;0.541
110.0;0.05460000000000001;0.546
111.0;0.054700000000000006;0.547
112.0;0.0596;0.596
113.0;0.0604;0.604
114.0;0.0603;0.603
115.0;0.06;0.6
116.0;0.0603;0.603
117.0;0.0604;0.604
118.0;0.0603;0.603
119.0;0.0604;0.604
120.0;0.0603;0.603
121.0;0.0603;0.603
122.0;0.06280000000000001;0.628
123.0;0.06380000000000001;0.638
124.0;0.0641;0.641
125.0;0.0637;0.637
126.0;0.0637;0.637
127.0;0.06380000000000001;0.638
128.0;0.0636;0.636
129.0;0.064;0.64
130.0;0.064;0.64
