Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
10_25_405_measured_optical_power_vs_acquisition_duration.jpg;10_25_405_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.1662080536912752;0.16737104086606683;0.493;0.0;296.61619220674334;0.0

Result table values
power_instruction;405_power;405_error
0.0;0.0;0.0
1.0;7.0;0.7
5.0;27.0;2.7
10.0;51.0;5.1
20.0;101.0;10.1
30.0;150.0;15.0
40.0;199.0;19.9
50.0;247.0;24.7
60.0;296.0;29.6
70.0;347.0;34.7
80.0;394.0;39.4
90.0;443.0;44.3
100.0;492.0;49.2
time;measured_optical_power_error;measured_optical_power_average
0.0;5.0E-4;0.005
1.0;4.0E-4;0.004
2.0;5.0E-4;0.005
3.0;5.0E-4;0.005
4.0;4.0E-4;0.004
5.0;1.0E-4;0.001
6.0;0.0;0.0
7.0;1.0E-4;0.001
8.0;0.0;0.0
9.0;1.0E-4;0.001
10.0;0.0;0.0
11.0;0.0;0.0
12.0;0.0;0.0
13.0;2.0E-4;0.002
14.0;7.000000000000001E-4;0.007
15.0;7.000000000000001E-4;0.007
16.0;7.000000000000001E-4;0.007
17.0;7.000000000000001E-4;0.007
18.0;7.000000000000001E-4;0.007
19.0;7.000000000000001E-4;0.007
20.0;7.000000000000001E-4;0.007
21.0;7.000000000000001E-4;0.007
22.0;7.000000000000001E-4;0.007
23.0;7.000000000000001E-4;0.007
24.0;8.0E-4;0.008
25.0;7.000000000000001E-4;0.007
26.0;8.0E-4;0.008
27.0;7.000000000000001E-4;0.007
28.0;7.000000000000001E-4;0.007
29.0;7.000000000000001E-4;0.007
30.0;7.000000000000001E-4;0.007
31.0;7.000000000000001E-4;0.007
32.0;7.000000000000001E-4;0.007
33.0;7.000000000000001E-4;0.007
34.0;7.000000000000001E-4;0.007
35.0;7.000000000000001E-4;0.007
36.0;7.000000000000001E-4;0.007
37.0;7.000000000000001E-4;0.007
38.0;7.000000000000001E-4;0.007
39.0;7.000000000000001E-4;0.007
40.0;7.000000000000001E-4;0.007
41.0;7.000000000000001E-4;0.007
42.0;7.000000000000001E-4;0.007
43.0;8.0E-4;0.008
44.0;7.000000000000001E-4;0.007
45.0;7.000000000000001E-4;0.007
46.0;7.000000000000001E-4;0.007
47.0;0.0015;0.015
48.0;0.0026;0.026
49.0;0.0026;0.026
50.0;0.0027;0.027
51.0;0.0026;0.026
52.0;0.0027;0.027
53.0;0.0027;0.027
54.0;0.0037;0.037
55.0;0.0051;0.051
56.0;0.0051;0.051
57.0;0.0051;0.051
58.0;0.0052;0.052
59.0;0.0052;0.052
60.0;0.0051;0.051
61.0;0.0051;0.051
62.0;0.0052;0.052
63.0;0.0052;0.052
64.0;0.0051;0.051
65.0;0.0051;0.051
66.0;0.0051;0.051
67.0;0.0073;0.073
68.0;0.010000000000000002;0.1
69.0;0.010000000000000002;0.1
70.0;0.010100000000000001;0.101
71.0;0.0099;0.099
72.0;0.010100000000000001;0.101
73.0;0.010000000000000002;0.1
74.0;0.010000000000000002;0.1
75.0;0.010000000000000002;0.1
76.0;0.010100000000000001;0.101
77.0;0.012400000000000001;0.124
78.0;0.0149;0.149
79.0;0.015;0.15
80.0;0.015;0.15
81.0;0.015;0.15
82.0;0.015;0.15
83.0;0.0148;0.148
84.0;0.0149;0.149
85.0;0.0149;0.149
86.0;0.0149;0.149
87.0;0.0185;0.185
88.0;0.0199;0.199
89.0;0.0198;0.198
90.0;0.0199;0.199
91.0;0.0199;0.199
92.0;0.0198;0.198
93.0;0.0198;0.198
94.0;0.0198;0.198
95.0;0.0198;0.198
96.0;0.022000000000000002;0.22
97.0;0.024800000000000003;0.248
98.0;0.0247;0.247
99.0;0.024800000000000003;0.248
100.0;0.0247;0.247
101.0;0.0247;0.247
102.0;0.0247;0.247
103.0;0.0247;0.247
104.0;0.0246;0.246
105.0;0.0292;0.292
106.0;0.0298;0.298
107.0;0.0297;0.297
108.0;0.0297;0.297
109.0;0.0296;0.296
110.0;0.0296;0.296
111.0;0.0297;0.297
112.0;0.0297;0.297
113.0;0.0297;0.297
114.0;0.0294;0.294
115.0;0.034;0.34
116.0;0.0346;0.346
117.0;0.0346;0.346
118.0;0.0347;0.347
119.0;0.0347;0.347
120.0;0.034499999999999996;0.345
121.0;0.0346;0.346
122.0;0.0346;0.346
123.0;0.0368;0.368
124.0;0.0396;0.396
125.0;0.0396;0.396
126.0;0.039400000000000004;0.394
127.0;0.03950000000000001;0.395
128.0;0.039400000000000004;0.394
129.0;0.03950000000000001;0.395
130.0;0.039400000000000004;0.394
131.0;0.0417;0.417
132.0;0.0442;0.442
133.0;0.044300000000000006;0.443
134.0;0.044300000000000006;0.443
135.0;0.044300000000000006;0.443
136.0;0.0442;0.442
137.0;0.0444;0.444
138.0;0.0441;0.441
139.0;0.0471;0.471
140.0;0.049100000000000005;0.491
141.0;0.0492;0.492
142.0;0.0492;0.492
143.0;0.049300000000000004;0.493
144.0;0.049100000000000005;0.491
145.0;0.049;0.49
146.0;0.0492;0.492
147.0;0.049;0.49
148.0;0.049100000000000005;0.491
