Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
10_25_488.csv_measured_optical_power_vs_acquisition_duration.jpg;10_25_488.csv_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.09796739130434787;0.07037096916435133;0.186;-0.002;191.90058803949842;-2.1739130434782705

Result table values
power_instruction;488_power;488_error
0.0;0.0;0.0
1.0;2.0;0.2
5.0;11.0;1.1
10.0;21.0;2.1
20.0;43.0;4.3
30.0;63.0;6.3
40.0;83.0;8.3
50.0;104.0;10.4
60.0;123.0;12.3
70.0;143.0;14.3
80.0;160.0;16.0
90.0;175.0;17.5
100.0;185.0;18.5
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-2.0E-4;-0.002
2.0;-2.0E-4;-0.002
3.0;-2.0E-4;-0.002
4.0;-2.0E-4;-0.002
5.0;-2.0E-4;-0.002
6.0;-2.0E-4;-0.002
7.0;1.0E-4;0.001
8.0;2.0E-4;0.002
9.0;3.0000000000000003E-4;0.003
10.0;3.0000000000000003E-4;0.003
11.0;2.0E-4;0.002
12.0;0.0;0.0
13.0;0.0;0.0
14.0;0.0;0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;0.0;0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;1.0E-4;0.001
21.0;2.0E-4;0.002
22.0;2.0E-4;0.002
23.0;2.0E-4;0.002
24.0;2.0E-4;0.002
25.0;2.0E-4;0.002
26.0;2.0E-4;0.002
27.0;3.0000000000000003E-4;0.003
28.0;2.0E-4;0.002
29.0;7.000000000000001E-4;0.007
30.0;0.0011;0.011
31.0;0.0011;0.011
32.0;0.0011;0.011
33.0;0.0011;0.011
34.0;0.0011;0.011
35.0;0.0011;0.011
36.0;0.0011;0.011
37.0;0.0011;0.011
38.0;0.0011;0.011
39.0;0.0011;0.011
40.0;0.0021000000000000003;0.021
41.0;0.0022;0.022
42.0;0.0022;0.022
43.0;0.0021000000000000003;0.021
44.0;0.0022;0.022
45.0;0.0021000000000000003;0.021
46.0;0.0021000000000000003;0.021
47.0;0.0021000000000000003;0.021
48.0;0.0031000000000000003;0.031
49.0;0.0043;0.043
50.0;0.0043;0.043
51.0;0.004200000000000001;0.042
52.0;0.004200000000000001;0.042
53.0;0.0043;0.043
54.0;0.0043;0.043
55.0;0.0043;0.043
56.0;0.004200000000000001;0.042
57.0;0.0043;0.043
58.0;0.0043;0.043
59.0;0.0043;0.043
60.0;0.004200000000000001;0.042
61.0;0.0043;0.043
62.0;0.0043;0.043
63.0;0.0043;0.043
64.0;0.0045;0.045
65.0;0.0063;0.063
66.0;0.0063;0.063
67.0;0.0063;0.063
68.0;0.0063;0.063
69.0;0.0064;0.064
70.0;0.006200000000000001;0.062
71.0;0.0063;0.063
72.0;0.006900000000000001;0.069
73.0;0.008400000000000001;0.084
74.0;0.008400000000000001;0.084
75.0;0.008400000000000001;0.084
76.0;0.0083;0.083
77.0;0.0083;0.083
78.0;0.008400000000000001;0.084
79.0;0.008400000000000001;0.084
80.0;0.008400000000000001;0.084
81.0;0.008400000000000001;0.084
82.0;0.0083;0.083
83.0;0.0083;0.083
84.0;0.0083;0.083
85.0;0.0083;0.083
86.0;0.008400000000000001;0.084
87.0;0.009800000000000001;0.098
88.0;0.0103;0.103
89.0;0.0103;0.103
