Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
10_25_633_measured_optical_power_vs_acquisition_duration.jpg;10_25_633_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.37076576576576575;0.2710803497619006;0.782;-0.001;211.18454622767587;-0.256081946222797

Result table values
power_instruction;633_power;633_error
0.0;-1.0;-0.1
1.0;8.0;0.8
5.0;43.0;4.3
10.0;88.0;8.8
20.0;175.0;17.5
30.0;260.0;26.0
40.0;347.0;34.7
50.0;432.0;43.2
60.0;513.0;51.3
70.0;594.0;59.4
80.0;669.0;66.9
90.0;740.0;74.0
100.0;781.0;78.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;6.000000000000001E-4;0.006
7.0;8.0E-4;0.008
8.0;8.0E-4;0.008
9.0;8.0E-4;0.008
10.0;8.0E-4;0.008
11.0;8.0E-4;0.008
12.0;8.0E-4;0.008
13.0;8.0E-4;0.008
14.0;0.0021000000000000003;0.021
15.0;0.0043;0.043
16.0;0.0043;0.043
17.0;0.0043;0.043
18.0;0.0044;0.044
19.0;0.0043;0.043
20.0;0.0043;0.043
21.0;0.0083;0.083
22.0;0.0087;0.087
23.0;0.0088;0.088
24.0;0.0088;0.088
25.0;0.0087;0.087
26.0;0.0087;0.087
27.0;0.0088;0.088
28.0;0.0088;0.088
29.0;0.012;0.12
30.0;0.017499999999999998;0.175
31.0;0.0174;0.174
32.0;0.017499999999999998;0.175
33.0;0.017499999999999998;0.175
34.0;0.017499999999999998;0.175
35.0;0.0176;0.176
36.0;0.017499999999999998;0.175
37.0;0.0174;0.174
38.0;0.022900000000000004;0.229
39.0;0.0261;0.261
40.0;0.0262;0.262
41.0;0.0261;0.261
42.0;0.0262;0.262
43.0;0.026000000000000002;0.26
44.0;0.0262;0.262
45.0;0.0261;0.261
46.0;0.0262;0.262
47.0;0.0261;0.261
48.0;0.0262;0.262
49.0;0.0261;0.261
50.0;0.025900000000000003;0.259
51.0;0.0332;0.332
52.0;0.0347;0.347
53.0;0.0347;0.347
54.0;0.0348;0.348
55.0;0.0347;0.347
56.0;0.0344;0.344
57.0;0.0347;0.347
58.0;0.0373;0.373
59.0;0.0431;0.431
60.0;0.0431;0.431
61.0;0.0432;0.432
62.0;0.042800000000000005;0.428
63.0;0.043000000000000003;0.43
64.0;0.043000000000000003;0.43
65.0;0.0432;0.432
66.0;0.0431;0.431
67.0;0.049;0.49
68.0;0.051000000000000004;0.51
69.0;0.0512;0.512
70.0;0.051300000000000005;0.513
71.0;0.051300000000000005;0.513
72.0;0.051300000000000005;0.513
73.0;0.051500000000000004;0.515
74.0;0.051000000000000004;0.51
75.0;0.054700000000000006;0.547
76.0;0.0594;0.594
77.0;0.0592;0.592
78.0;0.0594;0.594
79.0;0.0594;0.594
80.0;0.0592;0.592
81.0;0.0593;0.593
82.0;0.0594;0.594
83.0;0.0593;0.593
84.0;0.0614;0.614
85.0;0.0669;0.669
86.0;0.06680000000000001;0.668
87.0;0.0669;0.669
88.0;0.0669;0.669
89.0;0.067;0.67
90.0;0.067;0.67
91.0;0.067;0.67
92.0;0.0669;0.669
93.0;0.0717;0.717
94.0;0.07390000000000001;0.739
95.0;0.0742;0.742
96.0;0.074;0.74
97.0;0.0741;0.741
98.0;0.0741;0.741
99.0;0.0736;0.736
100.0;0.074;0.74
101.0;0.07600000000000001;0.76
102.0;0.07780000000000001;0.778
103.0;0.0782;0.782
104.0;0.0781;0.781
105.0;0.07750000000000001;0.775
106.0;0.07800000000000001;0.78
107.0;0.07790000000000001;0.779
108.0;0.07800000000000001;0.78
109.0;0.0781;0.781
110.0;0.0782;0.782
