Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.0816518518518519;0.06431972736236681;0.189;-0.001;232.69527351900555;-1.0638297872340496

Result table values
power_instruction;488_power;488_error
0.0;-0.0;-0.0
1.0;2.0;0.2
5.0;9.0;0.9
10.0;19.0;1.9
20.0;38.0;3.8
30.0;57.0;5.7
40.0;76.0;7.6
50.0;95.0;9.5
60.0;114.0;11.4
70.0;134.0;13.4
80.0;152.0;15.2
90.0;172.0;17.2
100.0;188.0;18.8
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;-1.0E-4;-0.001
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;1.0E-4;0.001
10.0;2.0E-4;0.002
11.0;1.0E-4;0.001
12.0;2.0E-4;0.002
13.0;2.0E-4;0.002
14.0;2.0E-4;0.002
15.0;2.0E-4;0.002
16.0;2.0E-4;0.002
17.0;2.0E-4;0.002
18.0;3.0000000000000003E-4;0.003
19.0;0.001;0.01
20.0;9.0E-4;0.009
21.0;9.0E-4;0.009
22.0;9.0E-4;0.009
23.0;9.0E-4;0.009
24.0;9.0E-4;0.009
25.0;9.0E-4;0.009
26.0;9.0E-4;0.009
27.0;9.0E-4;0.009
28.0;0.0014000000000000002;0.014
29.0;0.0019;0.019
30.0;0.0018;0.018
31.0;0.0019;0.019
32.0;0.0019;0.019
33.0;0.0019;0.019
34.0;0.0019;0.019
35.0;0.0019;0.019
36.0;0.0019;0.019
37.0;0.0019;0.019
38.0;0.0019;0.019
39.0;0.0025000000000000005;0.025
40.0;0.0038;0.038
41.0;0.0038;0.038
42.0;0.0038;0.038
43.0;0.0038;0.038
44.0;0.0038;0.038
45.0;0.0038;0.038
46.0;0.0038;0.038
47.0;0.0038;0.038
48.0;0.0038;0.038
49.0;0.0038;0.038
50.0;0.0038;0.038
51.0;0.0038;0.038
52.0;0.0054;0.054
53.0;0.0057;0.057
54.0;0.0057;0.057
55.0;0.0057;0.057
56.0;0.0057;0.057
57.0;0.0057;0.057
58.0;0.0057;0.057
59.0;0.0057;0.057
60.0;0.0057;0.057
61.0;0.0057;0.057
62.0;0.0057;0.057
63.0;0.006;0.06
64.0;0.0076;0.076
65.0;0.0076;0.076
66.0;0.0076;0.076
67.0;0.0076;0.076
68.0;0.0076;0.076
69.0;0.0075;0.075
70.0;0.0077;0.077
71.0;0.0076;0.076
72.0;0.0076;0.076
73.0;0.0083;0.083
74.0;0.009500000000000001;0.095
75.0;0.009600000000000001;0.096
76.0;0.009500000000000001;0.095
77.0;0.009500000000000001;0.095
78.0;0.009600000000000001;0.096
79.0;0.009500000000000001;0.095
80.0;0.009600000000000001;0.096
81.0;0.009600000000000001;0.096
82.0;0.0097;0.097
83.0;0.0099;0.099
84.0;0.011500000000000002;0.115
85.0;0.011600000000000001;0.116
86.0;0.0114;0.114
87.0;0.011500000000000002;0.115
88.0;0.011500000000000002;0.115
89.0;0.011500000000000002;0.115
90.0;0.0114;0.114
91.0;0.011500000000000002;0.115
92.0;0.011500000000000002;0.115
93.0;0.0123;0.123
94.0;0.013400000000000002;0.134
95.0;0.013400000000000002;0.134
96.0;0.013400000000000002;0.134
97.0;0.013300000000000001;0.133
98.0;0.013400000000000002;0.134
99.0;0.013500000000000002;0.135
100.0;0.013300000000000001;0.133
101.0;0.013400000000000002;0.134
102.0;0.013800000000000002;0.138
103.0;0.015300000000000001;0.153
104.0;0.0151;0.151
105.0;0.0152;0.152
106.0;0.015300000000000001;0.153
107.0;0.0152;0.152
108.0;0.0152;0.152
109.0;0.015300000000000001;0.153
110.0;0.0154;0.154
111.0;0.0152;0.152
112.0;0.015300000000000001;0.153
113.0;0.016300000000000002;0.163
114.0;0.016900000000000002;0.169
115.0;0.0171;0.171
116.0;0.0172;0.172
117.0;0.0172;0.172
118.0;0.016900000000000002;0.169
119.0;0.0172;0.172
120.0;0.0172;0.172
121.0;0.017;0.17
122.0;0.0172;0.172
123.0;0.0172;0.172
124.0;0.018600000000000002;0.186
125.0;0.018600000000000002;0.186
126.0;0.0188;0.188
127.0;0.0188;0.188
128.0;0.0188;0.188
129.0;0.0187;0.187
130.0;0.0188;0.188
131.0;0.0189;0.189
132.0;0.018600000000000002;0.186
133.0;0.0188;0.188
134.0;0.0189;0.189
