Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.32358510638297877;0.27941771520839115;0.831;0.0;256.8103363250813;0.0

Result table values
power_instruction;638_power;638_error
1.0;8.0;0.8
5.0;41.0;4.1
10.0;83.0;8.3
20.0;166.0;16.6
30.0;251.0;25.1
40.0;333.0;33.3
50.0;416.0;41.6
60.0;501.0;50.1
70.0;584.0;58.4
80.0;668.0;66.8
90.0;750.0;75.0
100.0;827.0;82.7
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;5.0E-4;0.005
6.0;8.0E-4;0.008
7.0;8.0E-4;0.008
8.0;8.0E-4;0.008
9.0;8.0E-4;0.008
10.0;8.0E-4;0.008
11.0;0.0013;0.013
12.0;0.0041;0.041
13.0;0.0041;0.041
14.0;0.0041;0.041
15.0;0.0041;0.041
16.0;0.0041;0.041
17.0;0.006;0.06
18.0;0.0083;0.083
19.0;0.0083;0.083
20.0;0.0083;0.083
21.0;0.0083;0.083
22.0;0.0083;0.083
23.0;0.0094;0.094
24.0;0.016700000000000003;0.167
25.0;0.0165;0.165
26.0;0.0166;0.166
27.0;0.0166;0.166
28.0;0.0166;0.166
29.0;0.016700000000000003;0.167
30.0;0.0244;0.244
31.0;0.024800000000000003;0.248
32.0;0.0251;0.251
33.0;0.0251;0.251
34.0;0.025;0.25
35.0;0.0222;0.222
36.0;0.0;0.0
37.0;-0.0;-0.0
38.0;-0.0;-0.0
39.0;-0.0;-0.0
40.0;-0.0;-0.0
41.0;-0.0;-0.0
42.0;-0.0;-0.0
43.0;-0.0;-0.0
44.0;-0.0;-0.0
45.0;0.0206;0.206
46.0;0.0327;0.327
47.0;0.0332;0.332
48.0;0.0333;0.333
49.0;0.033100000000000004;0.331
50.0;0.033100000000000004;0.331
51.0;0.0332;0.332
52.0;0.0332;0.332
53.0;0.033;0.33
54.0;0.040400000000000005;0.404
55.0;0.0417;0.417
56.0;0.0417;0.417
57.0;0.0413;0.413
58.0;0.0416;0.416
59.0;0.0419;0.419
60.0;0.0416;0.416
61.0;0.0417;0.417
62.0;0.0471;0.471
63.0;0.049800000000000004;0.498
64.0;0.0502;0.502
65.0;0.050100000000000006;0.501
66.0;0.049600000000000005;0.496
67.0;0.050100000000000006;0.501
68.0;0.050300000000000004;0.503
69.0;0.0583;0.583
70.0;0.057999999999999996;0.58
71.0;0.0584;0.584
72.0;0.0584;0.584
73.0;0.0581;0.581
74.0;0.0582;0.582
75.0;0.06630000000000001;0.663
76.0;0.0664;0.664
77.0;0.06670000000000001;0.667
78.0;0.06680000000000001;0.668
79.0;0.0661;0.661
80.0;0.06680000000000001;0.668
81.0;0.0669;0.669
82.0;0.0719;0.719
83.0;0.0748;0.748
84.0;0.07500000000000001;0.75
85.0;0.0751;0.751
86.0;0.0746;0.746
87.0;0.0748;0.748
88.0;0.0747;0.747
89.0;0.08040000000000001;0.804
90.0;0.0829;0.829
91.0;0.0827;0.827
92.0;0.0823;0.823
93.0;0.08310000000000001;0.831
