Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
730_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;730_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2121333333333333;0.21582443592865572;0.623;-0.0;293.6832181018228;0.0

Result table values
power_instruction;730_power;730_error
1.0;6.0;0.6
5.0;31.0;3.1
10.0;62.0;6.2
20.0;124.0;12.4
30.0;185.0;18.5
40.0;248.0;24.8
50.0;309.0;30.9
60.0;372.0;37.2
70.0;436.0;43.6
80.0;496.0;49.6
90.0;559.0;55.9
100.0;621.0;62.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;4.0E-4;0.004
7.0;6.000000000000001E-4;0.006
8.0;6.000000000000001E-4;0.006
9.0;6.000000000000001E-4;0.006
10.0;6.000000000000001E-4;0.006
11.0;6.000000000000001E-4;0.006
12.0;6.000000000000001E-4;0.006
13.0;6.000000000000001E-4;0.006
14.0;6.000000000000001E-4;0.006
15.0;6.000000000000001E-4;0.006
16.0;6.000000000000001E-4;0.006
17.0;6.000000000000001E-4;0.006
18.0;6.000000000000001E-4;0.006
19.0;6.000000000000001E-4;0.006
20.0;6.000000000000001E-4;0.006
21.0;6.000000000000001E-4;0.006
22.0;6.000000000000001E-4;0.006
23.0;6.000000000000001E-4;0.006
24.0;6.000000000000001E-4;0.006
25.0;6.000000000000001E-4;0.006
26.0;6.000000000000001E-4;0.006
27.0;0.0018;0.018
28.0;0.0031000000000000003;0.031
29.0;0.0031000000000000003;0.031
30.0;0.0031000000000000003;0.031
31.0;0.0031000000000000003;0.031
32.0;0.0033000000000000004;0.033
33.0;0.0061;0.061
34.0;0.006200000000000001;0.062
35.0;0.006200000000000001;0.062
36.0;0.0061;0.061
37.0;0.0047;0.047
38.0;-0.0;-0.0
39.0;-0.0;-0.0
40.0;-0.0;-0.0
41.0;-0.0;-0.0
42.0;-0.0;-0.0
43.0;-0.0;-0.0
44.0;-0.0;-0.0
45.0;-0.0;-0.0
46.0;-0.0;-0.0
47.0;-0.0;-0.0
48.0;-0.0;-0.0
49.0;-0.0;-0.0
50.0;-0.0;-0.0
51.0;-0.0;-0.0
52.0;-0.0;-0.0
53.0;-0.0;-0.0
54.0;-0.0;-0.0
55.0;-0.0;-0.0
56.0;-0.0;-0.0
57.0;-0.0;-0.0
58.0;-0.0;-0.0
59.0;9.0E-4;0.009
60.0;0.0183;0.183
61.0;0.0183;0.183
62.0;0.0184;0.184
63.0;0.018600000000000002;0.186
64.0;0.0185;0.185
65.0;0.0184;0.184
66.0;0.018600000000000002;0.186
67.0;0.0185;0.185
68.0;0.0185;0.185
69.0;0.0184;0.184
70.0;0.018600000000000002;0.186
71.0;0.018600000000000002;0.186
72.0;0.0185;0.185
73.0;0.0185;0.185
74.0;0.016;0.16
75.0;0.012400000000000001;0.124
76.0;0.012400000000000001;0.124
77.0;0.012400000000000001;0.124
78.0;0.05460000000000001;0.546
79.0;0.0616;0.616
80.0;0.061700000000000005;0.617
81.0;0.0611;0.611
82.0;0.0615;0.615
83.0;0.0618;0.618
84.0;0.0616;0.616
85.0;0.0615;0.615
86.0;0.0494;0.494
87.0;0.0125;0.125
88.0;0.012400000000000001;0.124
89.0;0.012400000000000001;0.124
90.0;0.012400000000000001;0.124
91.0;0.012400000000000001;0.124
92.0;0.012400000000000001;0.124
93.0;0.0123;0.123
94.0;0.0123;0.123
95.0;0.012400000000000001;0.124
96.0;0.0152;0.152
97.0;0.0185;0.185
98.0;0.0185;0.185
99.0;0.018600000000000002;0.186
100.0;0.018600000000000002;0.186
101.0;0.0185;0.185
102.0;0.0188;0.188
103.0;0.024800000000000003;0.248
104.0;0.0247;0.247
105.0;0.024800000000000003;0.248
106.0;0.0247;0.247
107.0;0.0246;0.246
108.0;0.024800000000000003;0.248
109.0;0.0299;0.299
110.0;0.0307;0.307
111.0;0.0309;0.309
112.0;0.031100000000000003;0.311
113.0;0.031;0.31
114.0;0.031;0.31
115.0;0.033400000000000006;0.334
116.0;0.037200000000000004;0.372
117.0;0.0371;0.371
118.0;0.037200000000000004;0.372
119.0;0.037200000000000004;0.372
120.0;0.037;0.37
121.0;0.0373;0.373
122.0;0.0374;0.374
123.0;0.042300000000000004;0.423
124.0;0.0434;0.434
125.0;0.0434;0.434
126.0;0.0436;0.436
127.0;0.0434;0.434
128.0;0.0434;0.434
129.0;0.043500000000000004;0.435
130.0;0.047;0.47
131.0;0.0497;0.497
132.0;0.049600000000000005;0.496
133.0;0.049600000000000005;0.496
134.0;0.0499;0.499
135.0;0.0499;0.499
136.0;0.0494;0.494
137.0;0.05380000000000001;0.538
138.0;0.05610000000000001;0.561
139.0;0.055900000000000005;0.559
140.0;0.055900000000000005;0.559
141.0;0.05600000000000001;0.56
142.0;0.055900000000000005;0.559
143.0;0.05600000000000001;0.56
144.0;0.0618;0.618
145.0;0.0621;0.621
146.0;0.0621;0.621
147.0;0.0623;0.623
148.0;0.062200000000000005;0.622
149.0;0.062;0.62
