Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
09-25_561_measured_optical_power_vs_acquisition_duration.jpg;09-25_561_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.36803787878787886;0.2907089346112616;0.835;-0.002;227.4222432638274;-0.4801920768307433

Result table values
power_instruction;561_power;561_error
0.0;-1.0;-0.1
1.0;8.0;0.8
5.0;41.0;4.1
10.0;84.0;8.4
20.0;170.0;17.0
30.0;255.0;25.5
40.0;342.0;34.2
50.0;425.0;42.5
60.0;512.0;51.2
70.0;597.0;59.7
80.0;676.0;67.6
90.0;760.0;76.0
100.0;828.0;82.8
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;-1.0E-4;-0.001
10.0;-1.0E-4;-0.001
11.0;-1.0E-4;-0.001
12.0;-1.0E-4;-0.001
13.0;7.000000000000001E-4;0.007
14.0;7.000000000000001E-4;0.007
15.0;8.0E-4;0.008
16.0;8.0E-4;0.008
17.0;8.0E-4;0.008
18.0;8.0E-4;0.008
19.0;8.0E-4;0.008
20.0;7.000000000000001E-4;0.007
21.0;0.0021000000000000003;0.021
22.0;0.004200000000000001;0.042
23.0;0.0041;0.041
24.0;0.0041;0.041
25.0;0.004200000000000001;0.042
26.0;0.004200000000000001;0.042
27.0;0.004200000000000001;0.042
28.0;0.0041;0.041
29.0;0.0079;0.079
30.0;0.008400000000000001;0.084
31.0;0.008400000000000001;0.084
32.0;0.008400000000000001;0.084
33.0;0.008400000000000001;0.084
34.0;0.008400000000000001;0.084
35.0;0.0085;0.085
36.0;0.0085;0.085
37.0;0.008400000000000001;0.084
38.0;0.008400000000000001;0.084
39.0;0.008400000000000001;0.084
40.0;0.0141;0.141
41.0;0.016900000000000002;0.169
42.0;0.017;0.17
43.0;0.017;0.17
44.0;0.016900000000000002;0.169
45.0;0.017;0.17
46.0;0.017;0.17
47.0;0.016800000000000002;0.168
48.0;0.017;0.17
49.0;0.017;0.17
50.0;0.016900000000000002;0.169
51.0;0.0211;0.211
52.0;0.025500000000000002;0.255
53.0;0.025500000000000002;0.255
54.0;0.025400000000000002;0.254
55.0;0.025500000000000002;0.255
56.0;0.025500000000000002;0.255
57.0;0.025500000000000002;0.255
58.0;0.0256;0.256
59.0;0.0256;0.256
60.0;0.025400000000000002;0.254
61.0;0.0333;0.333
62.0;0.0342;0.342
63.0;0.033800000000000004;0.338
64.0;0.034100000000000005;0.341
65.0;0.0342;0.342
66.0;0.0342;0.342
67.0;0.034100000000000005;0.341
68.0;0.034100000000000005;0.341
69.0;0.034300000000000004;0.343
70.0;0.0424;0.424
71.0;0.0427;0.427
72.0;0.0425;0.425
73.0;0.0425;0.425
74.0;0.0427;0.427
75.0;0.0427;0.427
76.0;0.0422;0.422
77.0;0.0426;0.426
78.0;0.0454;0.454
79.0;0.051000000000000004;0.51
80.0;0.051100000000000007;0.511
81.0;0.051100000000000007;0.511
82.0;0.051000000000000004;0.51
83.0;0.0512;0.512
84.0;0.051300000000000005;0.513
85.0;0.051000000000000004;0.51
86.0;0.0509;0.509
87.0;0.05500000000000001;0.55
88.0;0.0596;0.596
89.0;0.0591;0.591
90.0;0.0594;0.594
91.0;0.0597;0.597
92.0;0.0593;0.593
93.0;0.0595;0.595
94.0;0.0595;0.595
95.0;0.0593;0.593
96.0;0.062;0.62
97.0;0.06780000000000001;0.678
98.0;0.0671;0.671
99.0;0.06780000000000001;0.678
100.0;0.0679;0.679
101.0;0.06780000000000001;0.678
102.0;0.067;0.67
103.0;0.06760000000000001;0.676
104.0;0.06770000000000001;0.677
105.0;0.06730000000000001;0.673
106.0;0.06760000000000001;0.676
107.0;0.06760000000000001;0.676
108.0;0.0674;0.674
109.0;0.06780000000000001;0.678
110.0;0.06760000000000001;0.676
111.0;0.0742;0.742
112.0;0.07590000000000001;0.759
113.0;0.0761;0.761
114.0;0.0756;0.756
115.0;0.0756;0.756
116.0;0.07600000000000001;0.76
117.0;0.07600000000000001;0.76
118.0;0.0758;0.758
119.0;0.0758;0.758
120.0;0.07550000000000001;0.755
121.0;0.0753;0.753
122.0;0.07780000000000001;0.778
123.0;0.08310000000000001;0.831
124.0;0.0824;0.824
125.0;0.0832;0.832
126.0;0.0835;0.835
127.0;0.0828;0.828
128.0;0.083;0.83
129.0;0.08310000000000001;0.831
130.0;0.0832;0.832
131.0;0.083;0.83
